country,url,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014656,0.098928,0.190528,0.282128,0.388384,0.49464,0.648528,0.831728,1.124848,1.454608,1.839179,2.253063,2.743861,3.432455,4.139191,4.977742,5.984658,7.075817,8.357682,9.581072,10.522304,12.192701,14.086633,15.617799,17.255042,19.17072,21.295245,23.279471,25.666216,27.821636,30.05654,31.813562,33.792934,35.888474,38.408565,41.23098,44.732874,47.866946,50.981106,53.83819,56.603078,59.205485,61.631971,63.013493,64.34733,65.629819,66.860958,68.026093,69.110567,70.140029,70.949598,71.717793,72.529867,73.593942,74.781013,75.722468,77.042718,78.685964,80.954308,85.152637,91.912951,100.365175,112.591192,123.333249,133.333663,143.122849,153.230277,165.488185,178.502925
Albania,https://dynamospanish.com/wp-content/uploads/flags/images/Albania/2/large/Albania.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007328,0.014656,0.032976,0.161216,0.458,0.80608,1.238432,1.930928,2.557472,3.301264,3.762928,3.916816,4.037728,4.521376,5.448368,6.151856,7.166784,7.463568,7.866608,8.240336,8.654368,9.156336,9.81952,10.658576,12.16448,13.366272,14.809888,16.832416,19.111424,21.573632,23.654784,25.669984,27.842736,30.39288,33.071264,36.141696,39.384336,43.12528,47.474448,53.113344,58.400496,62.742336,67.333328,72.279728,77.995568,84.484512,92.065328,97.231568,104.566896,111.869248,119.494032,127.313008,135.186944,143.236752,150.674672,157.995344,166.972144,172.4828,176.766016,179.27952,181.613488,183.537088,185.621904,187.637104,189.179648,190.93104,193.913536,196.932672,200.153328,203.9016,208.192144,212.354448,216.604688,220.49952,224.423664,228.794816,233.169632,237.764288,243.000144,247.90624,252.966224,258.6784,264.626124,270.898982,277.278189
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003664,0.010992,0.029312,0.047632,0.069616,0.095264,0.120912,0.135568,0.16488,0.197856,0.23816,0.296784,0.370064,0.450672,0.534944,0.633872,0.747456,0.868368,1.0076,1.139504,1.1908,1.260416,1.293392,1.454608,1.692768,2.004208,2.502512,2.971504,3.469808,4.08536,4.847472,5.591264,6.39368,7.302352,11.087264,15.220256,19.111424,23.112512,27.267488,31.8768,36.874496,42.414464,47.632,53.289017,59.440258,65.496175,71.157183,76.576337,82.219382,88.807916,97.228778,105.660364,114.710602,125.973568,141.032528,159.682059,188.004699,226.2821,258.15876,290.159967,329.291037,371.13595,433.591216,479.136768,545.553235,591.895222,631.068251,683.572166,754.518696,827.127764,903.208153,987.091655,1070.799688,1150.607954,1227.344595,1306.149946,1386.031717,1467.974158,1554.120833,1649.102794,1745.888914,1832.89326,1939.51409,2031.182001,2118.624684,2202.405358,2291.812079,2382.860272,2470.713375,2577.186565,2677.387726,2785.7877,2894.819537,3015.005401,3132.819477,3252.626365,3380.736316,3513.170946,3656.347996,3806.940494,3957.318519,4107.869896
Andorra,https://dynamospanish.com/wp-content/uploads/flags/images/Andorra/2/large/Andorra.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406704,0.813408,1.220112,1.63048,2.037184,2.462208,2.916544,3.381872,3.872848,4.385808,4.90976,5.433712,5.964992,6.499936,7.060528,7.635776,8.181712,8.72032,9.258928,9.775552,10.292176,10.783152,11.270464,11.746784,12.208448,12.685687,13.197193,13.717377
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186864,0.436016,0.747456,1.022256,1.370336,1.784368,2.286336,2.905552,3.49912,4.117712,4.666658,5.12037,6.299495,7.449218,8.672132,9.858288,11.410754,12.402569,14.072105,16.855199,20.433115,23.838495,28.339025,33.212689,38.079084,42.487896,45.767938,49.295449,54.695257,60.184448,65.518805,70.785579,75.420749,80.521284,85.507145,90.183259,94.817099,100.603128,105.652433,110.575243,115.663928,120.726805,125.891849,131.640232,135.505828,146.454131,156.878956,164.226805,171.496411,180.626189,190.14125,199.812768,212.410314,221.398681,240.100613,259.107043,281.20945,306.185554,331.671559,359.237062,388.101534,418.243679,451.429495,483.802609,518.260251,553.02138,588.372383,623.762311
Antigua and Barbuda,https://dynamospanish.com/wp-content/uploads/flags/images/Antigua_and_Barbuda/2/large/Antigua_and_Barbuda.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021984,0.051296,0.080608,0.117248,0.16488,0.267472,0.351744,0.443344,0.593568,0.941648,1.505904,2.495184,3.751936,4.2136,4.638624,5.012352,5.342112,5.7708,6.477952,6.880992,7.34632,7.837296,8.244,8.386896,8.493152,8.786272,8.870544,9.017104,9.266256,9.515408,9.790208,10.076,10.361792,10.64392,10.911392,11.1752,11.446336,11.713808,11.988608,12.281728,12.589504,12.908272,13.238032,13.582448,13.930528,14.300592,14.703632,15.124992,15.55368,15.997024,16.466016,16.946,17.455296,17.979248,18.492208,19.01616,19.540112,20.071392,20.626024,21.191421,21.756717
Argentina,https://dynamospanish.com/wp-content/uploads/flags/images/Argentina/2/large/Argentina.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.084544,1.974896,3.729952,5.100288,6.038272,7.423264,8.9768,10.970016,13.234368,15.539024,17.620176,19.9688,22.889008,24.959168,27.450688,30.26464,33.126224,36.922128,40.904896,47.159344,53.413792,61.031248,66.966928,75.874112,85.818208,95.296976,105.442592,114.11528,121.054896,126.0416,128.272976,130.793808,134.520096,140.411808,145.951776,153.250464,161.695984,172.655008,183.892496,195.151968,208.525568,221.265296,234.397072,247.166112,260.012096,273.11456,286.348928,300.590896,314.59104,329.690384,346.405552,362.757984,380.14,396.008784,409.953968,423.437488,437.51824,451.474416,465.1448,478.851824,493.372256,510.768928,526.139408,556.06696,591.036176,627.137568,662.278992,699.03624,738.603776,782.908864,830.526208,874.728704,923.677503,972.442003,1023.568714,1077.208839,1127.241499,1182.911539,1241.716389,1304.789055,1370.265039,1439.274256,1516.523126,1599.171127,1688.015437,1778.076521,1872.0445,1967.513886,2062.345439,2162.011134,2262.662019,2365.138842,2475.649755,2584.169754,2685.989443,2789.19601,2894.174872,3000.457863,3100.824058,3204.757998,3319.369062,3440.498183,3557.300202,3669.19022,3786.035223,3907.051937,4024.616609,4146.626649,4274.225109,4408.868759,4546.426812,4685.781263,4832.291571,4974.008376,5107.318986,5231.701199,5366.321859,5523.355499,5684.780278,5859.397784,6033.630695,6221.671879,6400.539263,6587.225715,6777.473616,6968.518297,7156.946446,7359.617936,7565.985904,7773.049963,7977.373398
Armenia,https://dynamospanish.com/wp-content/uploads/flags/images/Armenia/2/large/Armenia.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.395128,4.888704,7.460146,10.158886,13.0531,16.131081,19.396132,22.844097,26.449402,30.155963,34.016113,38.076203,42.390624,46.93612,51.680231,56.612185,61.804025,67.198801,72.780399,78.555913,84.381002,90.437836,96.387225,102.451965,108.610306,114.830045,121.538355,128.272452,135.293399,142.511521,149.586475,156.229024,162.669665,168.389596,170.897861,173.581357,176.941449,179.438793,182.685236,186.096308,189.130008,192.621418,196.154118,199.230726,202.686288,206.377482,210.757312,215.162562,220.270324,225.852438,230.214768,234.474944,239.44382,245.192072,250.7415,256.322937,262.114667,268.07548,273.731872
Australia,https://dynamospanish.com/wp-content/uploads/flags/images/Australia/2/large/Australia.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278464,0.78776,1.143168,1.542544,1.810016,2.231376,2.927536,3.821552,4.554352,5.195552,5.796448,6.488944,7.196096,8.064464,8.954816,9.78288,10.713536,11.77976,12.747056,14.201664,16.407392,18.17344,20.184976,22.610544,25.182672,28.088224,30.975456,34.009248,37.53768,40.96352,44.510272,48.518688,52.67,56.634448,60.994608,65.5856,70.088656,75.064368,80.677616,86.463072,96.630672,108.06968,119.46472,130.683888,142.229152,154.276384,168.6356,184.112336,200.867808,215.421216,232.858192,252.097856,272.883728,295.274432,319.753616,341.547088,360.819728,381.579952,404.520256,426.258768,451.99104,475.143856,499.487472,524.33672,551.406352,579.641136,607.494864,636.389168,662.678368,686.333152,708.364784,727.912224,748.254752,769.835712,792.534192,817.764496,844.815808,873.673472,901.7104,933.854672,962.895536,997.443392,1033.947824,1068.939024,1103.149792,1135.847328,1171.27088,1209.288544,1247.712912,1285.364176,1340.108,1399.142368,1459.349216,1518.790288,1586.636576,1657.3188,1730.356976,1804.882736,1882.500912,1966.209069,2054.327969,2144.831866,2239.655321,2340.589585,2449.465351,2570.31802,2690.537322,2819.681534,2954.178434,3096.302236,3243.782004,3396.411541,3553.747086,3724.57448,3896.763867,4072.477793,4246.552489,4434.157356,4635.977535,4840.84711,5061.37811,5291.510753,5525.3994,5750.184413,5986.545606,6227.533578,6467.255797,6723.106021,6983.984817,7261.470424,7539.8948,7819.767164,8104.679288,8393.914145,8687.928755,8993.338555,9305.699765,9626.494461,9961.178567,10305.241904,10655.436485,11013.105228,11375.314322,11745.040157,12128.245102,12514.760314,12907.442187,13307.857916,13712.906454,14121.579085,14528.331858,14932.578429,15339.724486,15737.888284,16131.352524,16534.347977,16947.7179,17360.810555
Austria,https://dynamospanish.com/wp-content/uploads/flags/images/Austria/2/large/Austria.png,30.64936,32.983328,35.793616,39.017936,42.194624,45.895264,50.127184,55.000304,62.244032,68.110096,74.258288,80.637312,86.990688,92.867744,97.942384,103.295488,106.889872,111.803296,117.874544,124.359824,131.724464,141.866416,151.8728,162.600992,171.753664,179.612944,187.703056,194.987088,202.227152,211.090368,234.737824,245.051984,255.651936,267.413376,278.874368,290.9216,302.290992,314.547072,326.49904,339.374336,352.410848,367.356304,381.821776,399.52256,417.652032,438.023872,459.322704,482.343616,506.797152,531.613424,559.287616,587.65064,613.305968,638.85504,665.781776,693.88832,727.424912,769.542592,828.48536,870.654336,928.171808,976.210512,1026.150832,1085.778768,1134.61256,1169.51216,1177.543648,1180.995136,1184.33304,1187.348512,1201.876272,1221.214864,1239.802336,1257.580064,1277.67344,1296.663952,1315.2844,1335.407088,1356.599664,1380.774736,1399.640672,1417.744496,1432.91712,1447.148096,1460.902752,1474.825952,1488.419392,1503.679952,1509.469072,1515.807792,1523.154112,1531.13064,1539.678752,1549.293088,1558.68392,1563.2456,1576.007312,1593.63848,1618.128656,1644.707312,1665.606768,1688.876832,1710.952432,1732.672624,1757.184784,1786.262288,1814.475088,1843.662512,1871.758064,1899.667967,1930.452447,1962.276492,1996.141474,2033.090534,2071.98697,2110.127522,2149.33612,2189.251691,2231.548833,2276.187241,2326.818943,2378.888113,2434.959454,2494.975235,2552.269746,2606.483813,2664.688093,2720.682318,2777.909453,2839.231463,2891.257117,2947.090798,3000.656901,3052.326003,3106.540961,3160.908207,3214.637729,3272.012685,3324.951068,3378.648555,3440.940783,3506.840461,3567.27192,3628.059659,3689.250006,3753.455956,3821.129844,3888.582855,3955.637219,4021.258224,4087.519967,4157.910825,4230.057363,4307.821612,4385.874158,4465.240838,4541.929302,4615.96142,4689.767691,4757.25075,4829.633894,4899.749565,4967.410964,5035.412195,5099.665521,5166.369509,5233.771592,5303.713347
