country,url,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2392,2422,2462,2568,2576,2579,2644,2593,2684,2705,2744,2708,2695,2683,2673,2670,2633,2642,2670,2646,2632,2560,2086,2091,2149,2225,2286,2116,2215,2118,2108,2369,2628,2789,2766,2700,2779,2507,2280,2067,1992,1761,1629,1080,772,1101,1008,926,856,787,735,692,1088,1112,1107,1187,1257,1447,1464,1669,1685,1792,1945,2025,2022,1928,1929
Albania,https://dynamospanish.com/wp-content/uploads/flags/images/Albania/2/large/Albania.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,882,882,882,882,882,882,882,882,882,882,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1152,1152,1152,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1478,1542,1544,1607,1654,1743,1761,1873,1958,2038,2142,2159,2231,2307,2386,2473,2566,2662,2759,2852,2957,3064,3177,3312,3347,3363,3345,3380,3394,3363,3501,3445,3380,3484,3588,3593,3583,3710,3714,3687,4099,3799,3520,4054,4551,4685,5474,4406,4355,5016,5183,5409,5489,5804,6094,6499,7111,7673,8617,9373,9324,9484,10344,10138,10703,10947,11285
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6334,5984,6615,6993,8977,9525,9227,9969,10922,11511,11630,12258,12243,12299,12283,12809,10761,9717,8437,8381,8312,7692,7893,7171,6966,7079,7215,6897,7114,7359,8255,8153,8462,9071,9516,10795,11585,11751,12270,11172,12510,13204,13242,12998,12782,13024,13328
Andorra,https://dynamospanish.com/wp-content/uploads/flags/images/Andorra/2/large/Andorra.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3246,2917,2964,2887,2936,3120,3056,2658,2462,2235,2389,1771,1986,2006,2146,2400,1755,2226,1866,1855,1551,1955,1851,2097,1843,1647,1894,2133,2146,2538,3364,4558,5314,6318,5212,6408,8016,8074,8612,8615,8631,8397
Antigua and Barbuda,https://dynamospanish.com/wp-content/uploads/flags/images/Antigua_and_Barbuda/2/large/Antigua_and_Barbuda.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,https://dynamospanish.com/wp-content/uploads/flags/images/Argentina/2/large/Argentina.png,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2514,2514,2514,2514,2514,2801,2805,3031,2815,2863,2748,2731,3341,3624,3747,4196,4053,4128,4533,4608,4139,3903,4568,4738,5340,5786,6143,4835,5094,5815,4925,4934,4653,5126,5466,5959,6027,5926,6265,6336,6547,6417,6687,6505,5657,5556,5295,4779,5564,5666,5949,5946,6228,6677,6947,6714,6842,7119,7351,7481,6988,6358,6033,6203,6586,6766,6701,7067,6975,7105,7128,7373,7339,7164,7844,7462,7991,8718,8996,8646,8542,8425,7573,7985,8249,8681,8696,9069,9554,8665,8928,9455,9197,8877,9685,10458,10422,10598,10943,11761,12259,12699,12934,13551,14250,13953,13746,14399,13601,14400,14431,13441,12865,13179,13313,12313,13077,13276,12897,11979,11878,13006,14222,14993,15748,15192,15929,16353,16217,15150,14918,13913,11871,12636,13664,14832,15871,17303,18283,16893,18660,20003,19841,19876,19000,19316,18695
Armenia,https://dynamospanish.com/wp-content/uploads/flags/images/Armenia/2/large/Armenia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6480,6480,6480,6480,6480,6480,6480,6139,6309,6482,6519,6727,6929,6868,6468,6146,6954,6389,5684,3346,3186,2704,2891,3155,3303,2961,3276,3324,3509,3803,4347,4633,5172,5925,6751,7360,6906,7642,8465,8827,9006,9260,9552,9588
Aruba,https://dynamospanish.com/wp-content/uploads/flags/images/Aruba/2/large/Aruba.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Australia,https://dynamospanish.com/wp-content/uploads/flags/images/Australia/2/large/Australia.png,679,685,705,729,770,807,823,848,869,917,1113,1150,1176,1180,1241,1502,1476,1547,1528,1425,1802,1537,1402,1625,1847,1901,2101,2430,2781,2748,2590,3074,3605,3947,3457,3280,4003,3532,3012,3889,3796,3738,3592,3581,3797,3622,3729,4077,4139,4057,4292,4326,4660,5039,5079,5507,5359,5424,5776,5705,5842,6102,5591,6188,5979,6172,6071,6525,6374,6749,6366,6695,5758,5368,5476,5094,5406,5040,5759,5708,5992,5756,5757,6165,6524,6532,6905,7102,7251,7727,8117,8066,8171,8380,8282,8177,8255,8215,7993,8297,8491,8860,9249,9600,10138,10516,10677,10746,10690,10437,9302,8569,8949,9459,9847,10309,10652,11053,11280,11159,11725,12857,14160,14475,13780,12895,12246,12326,12834,13277,13542,12876,13235,13570,13912,14300,14542,14229,14770,15301,15196,15050,15506,16188,16666,16904,17152,17834,18546,19210,19990,20376,20601,21370,20744,20864,21477,21502,21745,22652,22883,23372,22821,22683,23458,24206,24308,25695,26988,27696,27767,26671,28053,28463,29582,30514,31419,32433,33260,34643,36001,36266,37409,37889,39031,41158,41311,42278,43965,42914,45398,46132,44871,44042,43887,44336,44783
