country,url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,20780000,21607000,22601000,23681000,24727000,25654000,26433000,27101000,27722000,28395000,29186000,30117000,31161000,32270000,33371000,34414000,35383000,36296000,37172000,38042000,38928000,39835000,40754000,41681000,42609000,43532000,44449000,45364000,46275000,47185000,48094000,49000000,49904000,50804000,51699000,52587000,53469000,54343000,55209000,56065000,56912000,57748000,58574000,59387000,60188000,60974000,61746000,62503000,63245000,63972000,64683000,65378000,66058000,66720000,67365000,67992000,68601000,69191000,69762000,70314000,70845000,71355000,71845000,72313000,72760000,73185000,73588000,73969000,74327000,74663000,74975000,75265000,75533000,75777000,75999000,76199000,76377000,76533000,76667000,76779000,76870000,76940000,76989000,77018000,77027000,77016000,76987000,76939000,76874000,76792000,76693000,76578000,76449000,76304000,76146000,75974000,75790000,75593000,75385000,75166000,74938000
Albania,https://dynamospanish.com/wp-content/uploads/flags/images/Albania/2/large/Albania.png,3129000,3130000,3126000,3118000,3105000,3087000,3063000,3034000,3003000,2973000,2948000,2929000,2914000,2904000,2896000,2891000,2886000,2884000,2883000,2881000,2878000,2873000,2866000,2858000,2850000,2840000,2831000,2821000,2810000,2799000,2787000,2775000,2763000,2750000,2736000,2721000,2705000,2689000,2671000,2653000,2634000,2615000,2595000,2575000,2555000,2534000,2512000,2491000,2469000,2446000,2424000,2401000,2379000,2356000,2332000,2309000,2286000,2262000,2239000,2215000,2191000,2167000,2143000,2119000,2094000,2069000,2045000,2019000,1994000,1968000,1942000,1916000,1889000,1862000,1834000,1806000,1777000,1749000,1719000,1690000,1660000,1630000,1599000,1569000,1538000,1508000,1478000,1448000,1418000,1388000,1359000,1330000,1301000,1273000,1246000,1218000,1192000,1165000,1139000,1114000,1088000
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,31042000,31452000,31855000,32264000,32692000,33150000,33641000,34167000,34731000,35334000,35977000,36661000,37384000,38140000,38924000,39728000,40551000,41389000,42228000,43053000,43851000,44617000,45350000,46053000,46731000,47388000,48022000,48634000,49226000,49801000,50361000,50908000,51444000,51971000,52494000,53016000,53537000,54059000,54583000,55110000,55640000,56174000,56711000,57250000,57789000,58326000,58859000,59388000,59911000,60423000,60923000,61409000,61881000,62336000,62772000,63190000,63587000,63964000,64321000,64660000,64979000,65281000,65565000,65833000,66086000,66326000,66553000,66768000,66972000,67168000,67357000,67540000,67718000,67891000,68060000,68227000,68390000,68551000,68710000,68866000,69019000,69169000,69315000,69458000,69596000,69730000,69858000,69981000,70097000,70206000,70306000,70396000,70477000,70547000,70607000,70656000,70692000,70716000,70727000,70723000,70705000
Andorra,https://dynamospanish.com/wp-content/uploads/flags/images/Andorra/2/large/Andorra.png,65000,67000,70000,73000,76000,79000,81000,83000,84000,84000,84000,84000,82000,81000,79000,78000,77000,77000,77000,77000,77000,77000,77000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,77000,77000,77000,77000,77000,76000,76000,76000,75000,75000,75000,74000,74000,73000,73000,72000,72000,71000,71000,70000,70000,69000,69000,68000,68000,67000,67000,67000,66000,66000,65000,65000,65000,65000,64000,64000,64000,64000,64000,64000,64000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,62000,62000
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,16395000,16946000,17519000,18121000,18758000,19434000,20150000,20905000,21696000,22514000,23356000,24221000,25108000,26016000,26942000,27884000,28842000,29817000,30810000,31825000,32866000,33934000,35027000,36149000,37299000,38478000,39688000,40929000,42200000,43502000,44835000,46198000,47593000,49017000,50471000,51953000,53462000,55000000,56566000,58160000,59782000,61432000,63110000,64814000,66544000,68298000,70075000,71877000,73701000,75549000,77420000,79314000,81231000,83170000,85131000,87114000,89118000,91143000,93190000,95256000,97343000,99451000,101577000,103721000,105882000,108059000,110249000,112454000,114672000,116904000,119149000,121407000,123676000,125956000,128245000,130543000,132847000,135159000,137475000,139795000,142116000,144438000,146761000,149084000,151410000,153738000,156069000,158401000,160733000,163064000,165392000,167715000,170034000,172347000,174654000,176953000,179243000,181523000,183791000,186045000,188283000
Antigua & Barbuda,https://dynamospanish.com/wp-content/uploads/flags/images/Antigua_and_Barbuda/2/large/Antigua_and_Barbuda.png,76000,77000,78000,79000,80000,81000,83000,84000,85000,87000,88000,89000,90000,92000,93000,94000,95000,95000,96000,97000,98000,99000,100000,100000,101000,102000,102000,103000,104000,104000,105000,105000,106000,106000,107000,107000,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,110000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,110000,110000,110000,110000,110000,110000,110000,109000,109000,109000,109000,109000,109000,108000,108000,108000,108000,108000,107000,107000,107000,107000,106000,106000,106000,106000,105000,105000,105000,105000,104000,104000,104000,104000,103000,103000,103000,102000,102000
Argentina,https://images.reference.com/amg-cms-reference-images/prod/argentina-flag-colors-meaning-of_b7cf58aa-cdaa-479b-867d-2b57d7a723da.jpg,36871000,37276000,37682000,38088000,38492000,38893000,39290000,39684000,40080000,40483000,40896000,41320000,41755000,42196000,42638000,43075000,43508000,43937000,44361000,44781000,45196000,45606000,46010000,46409000,46803000,47192000,47576000,47955000,48329000,48696000,49056000,49410000,49757000,50097000,50431000,50758000,51079000,51394000,51701000,52003000,52297000,52584000,52864000,53138000,53405000,53665000,53919000,54166000,54407000,54641000,54867000,55087000,55299000,55504000,55701000,55890000,56070000,56242000,56406000,56562000,56709000,56847000,56977000,57098000,57211000,57314000,57409000,57495000,57572000,57642000,57704000,57758000,57806000,57846000,57878000,57904000,57923000,57935000,57940000,57940000,57934000,57923000,57907000,57885000,57859000,57827000,57791000,57749000,57703000,57652000,57596000,57536000,57471000,57401000,57327000,57249000,57167000,57082000,56992000,56899000,56802000
Armenia,https://dynamospanish.com/wp-content/uploads/flags/images/Armenia/2/large/Armenia.png,3070000,3051000,3034000,3018000,3001000,2981000,2958000,2933000,2908000,2888000,2877000,2877000,2884000,2898000,2912000,2926000,2936000,2945000,2952000,2958000,2963000,2968000,2972000,2975000,2977000,2977000,2977000,2976000,2974000,2971000,2967000,2963000,2958000,2952000,2947000,2940000,2934000,2927000,2920000,2913000,2905000,2897000,2890000,2882000,2873000,2865000,2856000,2846000,2837000,2827000,2816000,2805000,2794000,2782000,2770000,2758000,2745000,2731000,2718000,2703000,2689000,2674000,2658000,2643000,2627000,2610000,2594000,2577000,2560000,2543000,2525000,2508000,2490000,2473000,2455000,2437000,2420000,2402000,2385000,2368000,2351000,2334000,2317000,2301000,2285000,2269000,2253000,2237000,2222000,2206000,2191000,2176000,2161000,2146000,2131000,2115000,2100000,2085000,2070000,2054000,2039000
Aruba,https://dynamospanish.com/wp-content/uploads/flags/images/Aruba/2/large/Aruba.png,91000,93000,95000,97000,99000,100000,101000,101000,101000,101000,102000,102000,103000,103000,104000,104000,105000,105000,106000,106000,107000,107000,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,110000,110000,110000,110000,109000,109000,109000,109000,108000,108000,108000,108000,108000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,106000,106000,106000,106000,106000,106000,106000,106000,106000,105000,105000,105000,105000,105000,105000,104000,104000,104000,104000,104000,104000,103000,103000,103000,103000,103000,103000,102000,102000
Australia,https://dynamospanish.com/wp-content/uploads/flags/images/Australia/2/large/Australia.png,18991000,19195000,19401000,19624000,19880000,20179000,20526000,20916000,21332000,21751000,22155000,22538000,22904000,23255000,23596000,23932000,24263000,24585000,24898000,25203000,25500000,25788000,26069000,26343000,26613000,26880000,27144000,27406000,27666000,27923000,28177000,28429000,28679000,28926000,29170000,29410000,29648000,29882000,30114000,30344000,30572000,30800000,31027000,31253000,31478000,31702000,31926000,32149000,32372000,32594000,32814000,33034000,33252000,33469000,33685000,33899000,34112000,34324000,34534000,34743000,34950000,35156000,35360000,35563000,35766000,35967000,36167000,36367000,36566000,36764000,36961000,37158000,37354000,37549000,37744000,37937000,38131000,38323000,38516000,38708000,38900000,39092000,39284000,39476000,39669000,39864000,40060000,40257000,40455000,40654000,40855000,41057000,41259000,41463000,41667000,41870000,42074000,42277000,42479000,42679000,42877000
