artist,url,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,9_0,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9,10_0,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,11_0,11_1,11_2,11_3,11_4,11_5,11_6,11_7,11_8,11_9,12_0,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_9,13_0,13_1,13_2,13_3,13_4,13_5,13_6,13_7,13_8,13_9,14_0,14_1,14_2,14_3,14_4,14_5,14_6,14_7,14_8,14_9,15_0,15_1,15_2,15_3,15_4,15_5,15_6,15_7,15_8,15_9,16_0,16_1,16_2,16_3,16_4,16_5,16_6,16_7,16_8,16_9,17_0,17_1,17_2,17_3,17_4,17_5,17_6,17_7,17_8,17_9,18_0,18_1,18_2,18_3,18_4,18_5,18_6,18_7,18_8,18_9,19_0,19_1,19_2,19_3,19_4,19_5,19_6,19_7,19_8,19_9,20_0,20_1,20_2,20_3,20_4,20_5,20_6,20_7,20_8,20_9,21_0,21_1,21_2,21_3,21_4,21_5,21_6,21_7,21_8,21_9,22_0,22_1,22_2,22_3,22_4,22_5,22_6,22_7,22_8,22_9,23_0,23_1,23_2,23_3,23_4,23_5,23_6,23_7,23_8,23_9,24_0,24_1,24_2,24_3,24_4,24_5,24_6,24_7,24_8,24_9,25_0,25_1,25_2,25_3,25_4,25_5,25_6,25_7,25_8,25_9,26_0,26_1,26_2,26_3,26_4,26_5,26_6,26_7,26_8,26_9,27_0,27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,28_0,28_1,28_2,28_3,28_4,28_5,28_6,28_7,28_8,28_9,29_0,29_1,29_2,29_3,29_4,29_5,29_6,29_7,29_8,29_9,30_0,30_1,30_2,30_3,30_4,30_5,30_6,30_7,30_8,30_9,31_0,31_1,31_2,31_3,31_4,31_5,31_6,31_7,31_8,31_9,32_0,32_1,32_2,32_3,32_4,32_5,32_6,32_7,32_8,32_9,33_0,33_1,33_2,33_3,33_4,33_5,33_6,33_7,33_8,33_9,34_0,34_1,34_2,34_3,34_4,34_5,34_6,34_7,34_8,34_9,35_0,35_1,35_2,35_3,35_4,35_5,35_6,35_7,35_8,35_9,36_0,36_1,36_2,36_3,36_4,36_5,36_6,36_7,36_8,36_9,37_0,37_1,37_2,37_3,37_4,37_5,37_6,37_7,37_8,37_9,38_0,38_1,38_2,38_3,38_4,38_5,38_6,38_7,38_8,38_9,39_0,39_1,39_2,39_3,39_4,39_5,39_6,39_7,39_8,39_9,end
#40 - Migos,https://www.billboard.com/files/styles/article_main_image/public/media/migos-press-2017-cr-David-Rams-billboard-1548.jpg,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000.0
#39 - U2,https://townsquare.media/site/295/files/2014/10/U21.jpg?w=980&q=75,,,,,,,,,,,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000000.0
#38 - Celine Dion,https://ticketcrusader.com/wp-content/uploads/2019/04/celine-dionn.jpg,,,,,,,,,,,,,,,,,,,,,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,37500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37500000.0
#37 - Shawn Mendes,https://www.much.com/wp-content/uploads/2018/06/Nervous_1-770x433.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000000.0
#36 - Zac Brown Band,https://consequenceofsound.net/wp-content/uploads/2018/11/zac-brown-band.jpg?quality=80&w=807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,38500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500000.0
#36 - Kendrick Lamar,https://compote.slate.com/images/d9a99820-5841-4b90-bc20-cb3b86af7f65.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,38500000.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500000.01
#36 - Calvin Harris,https://d3vhc53cl8e8km.cloudfront.net/hello-staging/wp-content/uploads/2014/05/11142308/main-972x597.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,38500000.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500000.011
#33 - Dave Matthews,https://www.ajc.com/rf/image_inline/Wires/w2/USAT_Life/2018/07/02/Images/750374002_636660810024104774-MJS-AMP03-DaveMatthewsBand-01wood.3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,39000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000000.0
#32 - Lady Gaga,https://wallpaperaccess.com/full/22800.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,39500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500000.0
#31 - DJ Khaled,https://www.billboard.com/files/styles/article_main_image/public/media/DJ-Khaled-press-photo-head-shot-2016-billboard-650.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000000.0
