Entity,Code,Day,Value
Afghanistan,AFG,35,0.026277796620417834
Afghanistan,AFG,36,0.026277796620417834
Afghanistan,AFG,37,0.026277796620417834
Afghanistan,AFG,38,0.026277796620417834
Afghanistan,AFG,39,0.026277796620417834
Afghanistan,AFG,40,0.026277796620417834
Afghanistan,AFG,41,0.026277796620417834
Afghanistan,AFG,42,0.026277796620417834
Afghanistan,AFG,43,0.026277796620417834
Afghanistan,AFG,44,0.026277796620417834
Afghanistan,AFG,45,0.026277796620417834
Afghanistan,AFG,46,0.026277796620417834
Afghanistan,AFG,47,0.10511118648167134
Afghanistan,AFG,48,0.10511118648167134
Afghanistan,AFG,49,0.10511118648167134
Afghanistan,AFG,50,0.10511118648167134
Afghanistan,AFG,51,0.18394457634292483
Afghanistan,AFG,52,0.18394457634292483
Afghanistan,AFG,53,0.18394457634292483
Afghanistan,AFG,54,0.2627779662041783
Afghanistan,AFG,55,0.42044474592668535
Afghanistan,AFG,56,0.5518337290287745
Albania,ALB,48,0.6798017969880702
Albania,ALB,49,0.6798017969880702
Albania,ALB,50,3.399008984940351
Albania,ALB,51,3.399008984940351
Albania,ALB,52,7.817720665362807
Albania,ALB,53,11.216729650303158
Albania,ALB,54,12.916234142773332
Albania,ALB,55,14.275837736749473
Albania,ALB,56,17.33494582319579
Algeria,DZA,36,0.023076964792974816
Algeria,DZA,37,0.023076964792974816
Algeria,DZA,38,0.023076964792974816
Algeria,DZA,39,0.023076964792974816
Algeria,DZA,40,0.023076964792974816
Algeria,DZA,41,0.023076964792974816
Algeria,DZA,42,0.11538482396487408
Algeria,DZA,43,0.11538482396487408
Algeria,DZA,44,0.2769235775156978
Algeria,DZA,45,0.2769235775156978
Algeria,DZA,46,0.3923084014805719
Algeria,DZA,47,0.3923084014805719
Algeria,DZA,48,0.4615392958594963
Algeria,DZA,49,0.4615392958594963
Algeria,DZA,50,0.4615392958594963
Algeria,DZA,51,0.5769241198243704
Algeria,DZA,52,0.5769241198243704
Algeria,DZA,53,0.6000010846173452
Algeria,DZA,54,0.8538476973400683
Algeria,DZA,55,1.1307712748557661
Algeria,DZA,56,1.3846178875784891
Antigua and Barbuda,ATG,53,9.513842641042718
Antigua and Barbuda,ATG,54,9.513842641042718
Antigua and Barbuda,ATG,55,9.513842641042718
Antigua and Barbuda,ATG,56,9.513842641042718
Argentina,ARG,43,0.021973000060931124
Argentina,ARG,44,0.021973000060931124
Argentina,ARG,45,0.021973000060931124
Argentina,ARG,46,0.04394600012186225
Argentina,ARG,47,0.19775700054838014
Argentina,ARG,48,0.26367600073117353
Argentina,ARG,49,0.26367600073117353
Argentina,ARG,50,0.37354100103582916
Argentina,ARG,51,0.4174870011576914
Argentina,ARG,52,0.6811630018888649
Argentina,ARG,53,0.7470820020716583
Argentina,ARG,54,0.9887850027419006
Argentina,ARG,55,1.230488003412143
Argentina,ARG,56,1.4282450039605232
Armenia,ARM,41,0.34028895296151773
Armenia,ARM,42,0.34028895296151773
Armenia,ARM,43,0.34028895296151773
Armenia,ARM,44,0.34028895296151773
Armenia,ARM,45,0.34028895296151773
Armenia,ARM,46,0.34028895296151773
Armenia,ARM,47,0.34028895296151773
Armenia,ARM,48,0.34028895296151773
Armenia,ARM,49,0.34028895296151773
Armenia,ARM,50,0.34028895296151773
Armenia,ARM,51,0.34028895296151773
Armenia,ARM,52,0.34028895296151773
Armenia,ARM,53,2.722311623692142
Armenia,ARM,54,2.722311623692142
Armenia,ARM,55,8.84751277699946
Armenia,ARM,56,17.69502555399892
Aruba,ABW,56,18.79028166632218
Australia,AUS,4,0.11811871379587596
Australia,AUS,5,0.1574916183945013
Australia,AUS,6,0.1574916183945013
Australia,AUS,7,0.1968645229931266
Australia,AUS,8,0.2756103321903772
Australia,AUS,9,0.2756103321903772
Australia,AUS,10,0.3543561413876279
Australia,AUS,11,0.47247485518350385
Australia,AUS,12,0.47247485518350385
Australia,AUS,13,0.47247485518350385
Australia,AUS,14,0.47247485518350385
Australia,AUS,15,0.5118477597821292
Australia,AUS,16,0.5512206643807545
Australia,AUS,17,0.5905935689793798
Australia,AUS,18,0.5905935689793798
Australia,AUS,19,0.5905935689793798
Australia,AUS,20,0.5905935689793798
Australia,AUS,21,0.5905935689793798
Australia,AUS,22,0.5905935689793798
Australia,AUS,23,0.5905935689793798
Australia,AUS,24,0.5905935689793798
Australia,AUS,25,0.5905935689793798
Australia,AUS,26,0.5905935689793798
Australia,AUS,27,0.5905935689793798
Australia,AUS,28,0.5905935689793798
Australia,AUS,29,0.5905935689793798
Australia,AUS,30,0.5905935689793798
Australia,AUS,31,0.6693393781766305
Australia,AUS,32,0.8268309965711317
Australia,AUS,33,0.8662039011697571
Australia,AUS,34,0.8662039011697571
Australia,AUS,35,0.8662039011697571
Australia,AUS,36,0.9055768057683824
Australia,AUS,37,0.9055768057683824
Australia,AUS,38,0.9055768057683824
Australia,AUS,39,0.9449497103670077
Australia,AUS,40,0.984322614965633
Australia,AUS,41,1.0630684241628836
Australia,AUS,42,1.2993058517546356
Australia,AUS,43,1.6930348977408887
Australia,AUS,44,2.2442555621216433
Australia,AUS,45,2.2442555621216433
Australia,AUS,46,2.44112008511477
Australia,AUS,47,2.9135949402982737
Australia,AUS,48,3.03171365409415
Australia,AUS,49,3.6223072230735296
Australia,AUS,50,4.409765315046036
Australia,AUS,51,4.803494361032289
Australia,AUS,52,5.512206643807545
Australia,AUS,53,7.756462205929188
Australia,AUS,54,9.803853245057704
Australia,AUS,55,11.733125570390346
Australia,AUS,56,14.764839224484495
Austria,AUT,36,0.22773311045852926
Austria,AUT,37,0.22773311045852926
Austria,AUT,38,0.4554662209170585
Austria,AUT,39,0.5693327761463232
Austria,AUT,40,1.1386655522926463
Austria,AUT,41,1.1386655522926463
Austria,AUT,42,2.0495979941267635
Austria,AUT,43,2.732797325502351
Austria,AUT,44,4.213062543482791
Austria,AUT,45,5.351728095775438
Austria,AUT,46,7.5151926451314655
Austria,AUT,47,11.84212174384352
Austria,AUT,48,12.753054185677637
Austria,AUT,49,14.916518735033666
Austria,AUT,50,20.72371305172616
Austria,AUT,51,34.38769967923792
Austria,AUT,52,41.10582643776453
Austria,AUT,53,57.38874383554937
Austria,AUT,54,91.0932441834117
Austria,AUT,55,109.19802646486478
Austria,AUT,56,128.89694051952756
Azerbaijan,AZE,40,0.2970372612451624
Azerbaijan,AZE,41,0.2970372612451624
Azerbaijan,AZE,42,0.2970372612451624
Azerbaijan,AZE,43,0.2970372612451624
Azerbaijan,AZE,44,0.2970372612451624
Azerbaijan,AZE,45,0.2970372612451624
Azerbaijan,AZE,46,0.8911117837354872
Azerbaijan,AZE,47,0.8911117837354872
Azerbaijan,AZE,48,0.8911117837354872
Azerbaijan,AZE,49,0.8911117837354872
Azerbaijan,AZE,50,0.8911117837354872
Azerbaijan,AZE,51,0.8911117837354872
Azerbaijan,AZE,52,1.0891366245655953
Azerbaijan,AZE,53,1.0891366245655953
Azerbaijan,AZE,54,1.8812359878860283
Azerbaijan,AZE,55,1.8812359878860283
Azerbaijan,AZE,56,1.8812359878860283
Bahamas,BHS,56,2.457974776262846
Bahrain,BHR,35,4.71207734874968
Bahrain,BHR,36,15.31425138343646
Bahrain,BHR,37,19.43731906359243
Bahrain,BHR,38,19.43731906359243
Bahrain,BHR,39,22.38236740656098
Bahrain,BHR,40,23.5603867437484
Bahrain,BHR,41,27.68345442390437
Bahrain,BHR,42,28.861473761091787
Bahrain,BHR,43,28.861473761091787
Bahrain,BHR,44,28.861473761091787
Bahrain,BHR,45,28.861473761091787
Bahrain,BHR,46,28.861473761091787
Bahrain,BHR,47,32.98454144124776
Bahrain,BHR,48,46.53176381890309
Bahrain,BHR,49,64.20205387671439
Bahrain,BHR,50,64.79106354530809
Bahrain,BHR,51,111.32282736421118
Bahrain,BHR,52,114.85688537577344
Bahrain,BHR,53,123.6920304046791
Bahrain,BHR,54,124.2810400732728
Bahrain,BHR,55,130.1711367592099
Bahrain,BHR,56,134.8832141079596
Bangladesh,BGD,48,0.01767041401762373
Bangladesh,BGD,49,0.01767041401762373
Bangladesh,BGD,50,0.01767041401762373
Bangladesh,BGD,51,0.01767041401762373
Bangladesh,BGD,52,0.01767041401762373
Bangladesh,BGD,53,0.01767041401762373
Bangladesh,BGD,54,0.01767041401762373
Bangladesh,BGD,55,0.029450690029372888
Bangladesh,BGD,56,0.04712110404699662
Belarus,BLR,38,0.10620862709311979
Belarus,BLR,39,0.10620862709311979
Belarus,BLR,40,0.10620862709311979
Belarus,BLR,41,0.10620862709311979
Belarus,BLR,42,0.10620862709311979
Belarus,BLR,43,0.10620862709311979
Belarus,BLR,44,0.6372517625587187
Belarus,BLR,45,0.6372517625587187
Belarus,BLR,46,0.6372517625587187
Belarus,BLR,47,0.6372517625587187
Belarus,BLR,48,0.6372517625587187
Belarus,BLR,49,0.6372517625587187
Belarus,BLR,50,0.9558776438380782
Belarus,BLR,51,1.2745035251174375
Belarus,BLR,52,1.2745035251174375
Belarus,BLR,53,2.2303811689555157
Belarus,BLR,54,2.2303811689555157
Belarus,BLR,55,3.8235105753523126
Belarus,BLR,56,3.8235105753523126
Belgium,BEL,15,0.08605872716388645
Belgium,BEL,16,0.08605872716388645
Belgium,BEL,17,0.08605872716388645
Belgium,BEL,18,0.08605872716388645
Belgium,BEL,19,0.08605872716388645
Belgium,BEL,20,0.08605872716388645
Belgium,BEL,21,0.08605872716388645
Belgium,BEL,22,0.08605872716388645
Belgium,BEL,23,0.08605872716388645
Belgium,BEL,24,0.08605872716388645
Belgium,BEL,25,0.08605872716388645
Belgium,BEL,26,0.08605872716388645
Belgium,BEL,27,0.08605872716388645
Belgium,BEL,28,0.08605872716388645
Belgium,BEL,29,0.08605872716388645
Belgium,BEL,30,0.08605872716388645
Belgium,BEL,31,0.08605872716388645
Belgium,BEL,32,0.08605872716388645
Belgium,BEL,33,0.08605872716388645
Belgium,BEL,34,0.08605872716388645
Belgium,BEL,35,0.08605872716388645
Belgium,BEL,36,0.08605872716388645
Belgium,BEL,37,0.08605872716388645
Belgium,BEL,38,0.08605872716388645
Belgium,BEL,39,0.08605872716388645
Belgium,BEL,40,0.08605872716388645
Belgium,BEL,41,0.08605872716388645
Belgium,BEL,42,0.6884698173110916
Belgium,BEL,43,0.6884698173110916
Belgium,BEL,44,1.9793507247693882
Belgium,BEL,45,4.302936358194322
Belgium,BEL,46,9.380401260863623
Belgium,BEL,47,14.54392489069681
Belgium,BEL,48,17.21174543277729
Belgium,BEL,49,20.56803579216886
Belgium,BEL,50,22.97768015275768
Belgium,BEL,51,27.022440329460345
Belgium,BEL,52,27.022440329460345
Belgium,BEL,53,51.54917757116798
Belgium,BEL,54,59.29446301591776
Belgium,BEL,55,93.3737189728168
Belgium,BEL,56,93.3737189728168
Benin,BEN,56,0.08248793510839121
Bhutan,BTN,45,1.197253500469922
Bhutan,BTN,46,1.197253500469922
Bhutan,BTN,47,1.197253500469922
Bhutan,BTN,48,1.197253500469922
Bhutan,BTN,49,1.197253500469922
Bhutan,BTN,50,1.197253500469922
Bhutan,BTN,51,1.197253500469922
Bhutan,BTN,52,1.197253500469922
Bhutan,BTN,53,1.197253500469922
Bhutan,BTN,54,1.197253500469922
Bhutan,BTN,55,1.197253500469922
Bhutan,BTN,56,1.197253500469922
Bolivia,BOL,50,0.17325044339119725
Bolivia,BOL,51,0.17325044339119725
Bolivia,BOL,52,0.2598756650867959
Bolivia,BOL,53,0.2598756650867959
Bolivia,BOL,54,0.2598756650867959
Bolivia,BOL,55,0.9528774386515849
Bolivia,BOL,56,0.9528774386515849
Bosnia and Herzegovina,BIH,44,0.5717209658653998
Bosnia and Herzegovina,BIH,45,0.5717209658653998
Bosnia and Herzegovina,BIH,46,0.5717209658653998
Bosnia and Herzegovina,BIH,47,0.5717209658653998
Bosnia and Herzegovina,BIH,48,0.5717209658653998
Bosnia and Herzegovina,BIH,49,0.5717209658653998
Bosnia and Herzegovina,BIH,50,1.1434419317307996
Bosnia and Herzegovina,BIH,51,1.1434419317307996
Bosnia and Herzegovina,BIH,52,1.1434419317307996
Bosnia and Herzegovina,BIH,53,3.144465312259699
Bosnia and Herzegovina,BIH,54,5.145488692788597
Bosnia and Herzegovina,BIH,55,5.145488692788597
Bosnia and Herzegovina,BIH,56,5.431349175721298
Brazil,BRA,37,0.004675889634528071
Brazil,BRA,38,0.004675889634528071
Brazil,BRA,39,0.004675889634528071
Brazil,BRA,40,0.009351779269056141
Brazil,BRA,41,0.009351779269056141
Brazil,BRA,42,0.009351779269056141
Brazil,BRA,43,0.009351779269056141
Brazil,BRA,44,0.014027668903584213
Brazil,BRA,45,0.032731227441696494
Brazil,BRA,46,0.06078656524886492
Brazil,BRA,47,0.08884190305603334
Brazil,BRA,48,0.11689724086320177
Brazil,BRA,49,0.11689724086320177
Brazil,BRA,50,0.1589802475739544
Brazil,BRA,51,0.2431462609954597
Brazil,BRA,52,0.36004350185866146
Brazil,BRA,53,0.4582371841837509
Brazil,BRA,54,0.5657826457778966
Brazil,BRA,55,0.9351779269056142
Brazil,BRA,56,1.0941581744795685
Brunei,BRN,49,2.249622625804521
Brunei,BRN,50,2.249622625804521
Brunei,BRN,51,26.995471509654255
Brunei,BRN,52,26.995471509654255
Brunei,BRN,53,56.24056564511303
Brunei,BRN,54,89.98490503218085
Brunei,BRN,55,112.48113129022606
Brunei,BRN,56,112.48113129022606
Bulgaria,BGR,47,0.28816255595576534
Bulgaria,BGR,48,0.5763251119115307
Bulgaria,BGR,49,0.5763251119115307
Bulgaria,BGR,50,0.864487667867296
Bulgaria,BGR,51,1.0085689458451788
Bulgaria,BGR,52,1.0085689458451788
Bulgaria,BGR,53,1.0085689458451788
Bulgaria,BGR,54,6.1954949530489545
Bulgaria,BGR,55,7.348145176872016
Bulgaria,BGR,56,9.653445624518138
Burkina Faso,BFA,50,0.09567846677170568
Burkina Faso,BFA,51,0.09567846677170568
Burkina Faso,BFA,52,0.09567846677170568
Burkina Faso,BFA,53,0.09567846677170568
Burkina Faso,BFA,54,0.1435177001575585
Burkina Faso,BFA,55,0.1435177001575585
Burkina Faso,BFA,56,0.7175885007877926
Cambodia,KHM,7,0.05982468495722654
Cambodia,KHM,8,0.05982468495722654
Cambodia,KHM,9,0.05982468495722654
Cambodia,KHM,10,0.05982468495722654
Cambodia,KHM,11,0.05982468495722654
Cambodia,KHM,12,0.05982468495722654
Cambodia,KHM,13,0.05982468495722654
Cambodia,KHM,14,0.05982468495722654
Cambodia,KHM,15,0.05982468495722654
Cambodia,KHM,16,0.05982468495722654
Cambodia,KHM,17,0.05982468495722654
Cambodia,KHM,18,0.05982468495722654
Cambodia,KHM,19,0.05982468495722654
Cambodia,KHM,20,0.05982468495722654
Cambodia,KHM,21,0.05982468495722654
Cambodia,KHM,22,0.05982468495722654
Cambodia,KHM,23,0.05982468495722654
Cambodia,KHM,24,0.05982468495722654
Cambodia,KHM,25,0.05982468495722654
Cambodia,KHM,26,0.05982468495722654
Cambodia,KHM,27,0.05982468495722654
Cambodia,KHM,28,0.05982468495722654
Cambodia,KHM,29,0.05982468495722654
Cambodia,KHM,30,0.05982468495722654
Cambodia,KHM,31,0.05982468495722654
Cambodia,KHM,32,0.05982468495722654
Cambodia,KHM,33,0.05982468495722654
Cambodia,KHM,34,0.05982468495722654
Cambodia,KHM,35,0.05982468495722654
Cambodia,KHM,36,0.05982468495722654
Cambodia,KHM,37,0.05982468495722654
Cambodia,KHM,38,0.05982468495722654
Cambodia,KHM,39,0.05982468495722654
Cambodia,KHM,40,0.05982468495722654
Cambodia,KHM,41,0.05982468495722654
Cambodia,KHM,42,0.05982468495722654
Cambodia,KHM,43,0.05982468495722654
Cambodia,KHM,44,0.05982468495722654
Cambodia,KHM,45,0.05982468495722654
Cambodia,KHM,46,0.05982468495722654
Cambodia,KHM,47,0.11964936991445307
Cambodia,KHM,48,0.11964936991445307
Cambodia,KHM,49,0.11964936991445307
Cambodia,KHM,50,0.1794740548716796
Cambodia,KHM,51,0.1794740548716796
Cambodia,KHM,52,0.2991234247861327
Cambodia,KHM,53,0.41877279470058576
Cambodia,KHM,54,0.41877279470058576
Cambodia,KHM,55,0.7178962194867184
Cambodia,KHM,56,1.435792438973437
Cameroon,CMR,45,0.038523496096645286
Cameroon,CMR,46,0.07704699219329057
Cameroon,CMR,47,0.07704699219329057
Cameroon,CMR,48,0.07704699219329057
Cameroon,CMR,49,0.07704699219329057
Cameroon,CMR,50,0.07704699219329057
Cameroon,CMR,51,0.07704699219329057
Cameroon,CMR,52,0.07704699219329057
Cameroon,CMR,53,0.07704699219329057
Cameroon,CMR,54,0.11557048828993587
Cameroon,CMR,55,0.11557048828993587
Cameroon,CMR,56,0.19261748048322644
