country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","",0.0,"","",0.0,"","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02568822544993633,0.02568822544993633,0.02568822544993633,0.02568822544993633,0.05137645089987266
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.3474876641879213,0.3474876641879213,0.3474876641879213,0.3474876641879213,0.3474876641879213,0.3474876641879213,0.3474876641879213,0.6949753283758426,0.6949753283758426,0.6949753283758426,0.6949753283758426,0.6949753283758426,1.3899506567516853,1.7374383209396065,1.7374383209396065,2.0849259851275277,3.1273889776912918
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,"","",0.0,"","",0.0,0.022804474684900884,0.04560894936980177,0.04560894936980177,0.09121789873960354,0.09121789873960354,0.11402237342450441,0.1368268481094053,0.15963132279430617,0.22804474684900883,0.22804474684900883,0.34206712027351327,0.387676069643315,0.387676069643315,0.387676069643315,0.47889396838291853,0.47889396838291853
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,"","","","","","","","","","",0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.82741215298,38.82741215298
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua & Barbuda,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,"","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,"",0.0,0.0,0.022125961016225035,0.022125961016225035,"",0.022125961016225035,"",0.022125961016225035,0.04425192203245007,0.04425192203245007,0.04425192203245007,0.04425192203245007,0.04425192203245007,0.04425192203245007,0.0663778830486751,0.0663778830486751,0.08850384406490014,0.08850384406490014,0.08850384406490014,0.1327557660973502,0.17700768812980028,0.2655115321947004,2.588737438898329
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3374691300113322,0.3374691300113322
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03921586928189979,0.03921586928189979,0.03921586928189979,0.03921586928189979,0.07843173856379958,0.07843173856379958,0.07843173856379958,0.11764760784569936,0.11764760784569936,0.11764760784569936,0.11764760784569936,0.11764760784569936,0.11764760784569936,0.11764760784569936,0.11764760784569936,0.19607934640949895,0.19607934640949895,0.19607934640949895,0.23529521569139872,0.23529521569139872,0.2745110849732985,0.2745110849732985,0.2745110849732985,0.2745110849732985,0.3137269542551983,0.3137269542551983,0.5098063006646972,0.5098063006646972
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11103215491206254,0.11103215491206254,0.11103215491206254,0.11103215491206254,0.33309646473618765,0.33309646473618765,0.4441286196482502,0.6661929294723753,0.6661929294723753,0.8882572392965004,1.7765144785930007,2.7758038728015637,3.3309646473618764,3.7750932670101265,5.7736720554272525,7.550186534020253
