Entity,Code,Date,Value
Afghanistan,AFG,"Feb 16, 2020",5
Afghanistan,AFG,"Feb 17, 2020",0
Afghanistan,AFG,"Feb 18, 2020",-1
Afghanistan,AFG,"Feb 19, 2020",-1
Afghanistan,AFG,"Feb 20, 2020",1
Afghanistan,AFG,"Feb 21, 2020",1
Afghanistan,AFG,"Feb 22, 2020",0
Afghanistan,AFG,"Feb 23, 2020",0
Afghanistan,AFG,"Feb 24, 2020",1
Afghanistan,AFG,"Feb 25, 2020",0
Afghanistan,AFG,"Feb 26, 2020",0
Afghanistan,AFG,"Feb 27, 2020",1
Afghanistan,AFG,"Feb 28, 2020",2
Afghanistan,AFG,"Feb 29, 2020",2
Afghanistan,AFG,"Mar 1, 2020",1
Afghanistan,AFG,"Mar 2, 2020",0
Afghanistan,AFG,"Mar 3, 2020",-1
Afghanistan,AFG,"Mar 4, 2020",0
Afghanistan,AFG,"Mar 5, 2020",1
Afghanistan,AFG,"Mar 6, 2020",1
Afghanistan,AFG,"Mar 7, 2020",1
Afghanistan,AFG,"Mar 8, 2020",1
Afghanistan,AFG,"Mar 9, 2020",0
Afghanistan,AFG,"Mar 10, 2020",6
Afghanistan,AFG,"Mar 11, 2020",1
Afghanistan,AFG,"Mar 12, 2020",1
Afghanistan,AFG,"Mar 13, 2020",1
Afghanistan,AFG,"Mar 14, 2020",0
Afghanistan,AFG,"Mar 15, 2020",0
Afghanistan,AFG,"Mar 16, 2020",0
Afghanistan,AFG,"Mar 17, 2020",1
Afghanistan,AFG,"Mar 18, 2020",0
Afghanistan,AFG,"Mar 19, 2020",1
Afghanistan,AFG,"Mar 20, 2020",2
Afghanistan,AFG,"Mar 21, 2020",1
Afghanistan,AFG,"Mar 22, 2020",6
Afghanistan,AFG,"Mar 23, 2020",1
Afghanistan,AFG,"Mar 24, 2020",2
Afghanistan,AFG,"Mar 25, 2020",3
Afghanistan,AFG,"Mar 26, 2020",6
Afghanistan,AFG,"Mar 27, 2020",7
Afghanistan,AFG,"Mar 28, 2020",5
Afghanistan,AFG,"Mar 29, 2020",11
Afghanistan,AFG,"Mar 30, 2020",10
Afghanistan,AFG,"Mar 31, 2020",11
Afghanistan,AFG,"Apr 1, 2020",12
Afghanistan,AFG,"Apr 2, 2020",11
Afghanistan,AFG,"Apr 3, 2020",13
Afghanistan,AFG,"Apr 4, 2020",6
Afghanistan,AFG,"Apr 5, 2020",10
Afghanistan,AFG,"Apr 6, 2020",12
Afghanistan,AFG,"Apr 7, 2020",11
Afghanistan,AFG,"Apr 8, 2020",10
Afghanistan,AFG,"Apr 9, 2020",14
Afghanistan,AFG,"Apr 10, 2020",17
Afghanistan,AFG,"Apr 11, 2020",11
Afghanistan,AFG,"Apr 12, 2020",16
Afghanistan,AFG,"Apr 13, 2020",15
Afghanistan,AFG,"Apr 14, 2020",14
Afghanistan,AFG,"Apr 15, 2020",15
Afghanistan,AFG,"Apr 16, 2020",14
Afghanistan,AFG,"Apr 17, 2020",16
Afghanistan,AFG,"Apr 18, 2020",11
Afghanistan,AFG,"Apr 19, 2020",14
Afghanistan,AFG,"Apr 20, 2020",13
Afghanistan,AFG,"Apr 21, 2020",12
Afghanistan,AFG,"Apr 22, 2020",11
Afghanistan,AFG,"Apr 23, 2020",11
Afghanistan,AFG,"Apr 24, 2020",13
Afghanistan,AFG,"Apr 25, 2020",14
Afghanistan,AFG,"Apr 26, 2020",18
Afghanistan,AFG,"Apr 27, 2020",17
Afghanistan,AFG,"Apr 28, 2020",16
Afghanistan,AFG,"Apr 29, 2020",13
Afghanistan,AFG,"Apr 30, 2020",14
Afghanistan,AFG,"May 1, 2020",17
Afghanistan,AFG,"May 2, 2020",13
Afghanistan,AFG,"May 3, 2020",16
Afghanistan,AFG,"May 4, 2020",16
Afghanistan,AFG,"May 5, 2020",14
Afghanistan,AFG,"May 6, 2020",15
Afghanistan,AFG,"May 7, 2020",15
Afghanistan,AFG,"May 8, 2020",16
Afghanistan,AFG,"May 9, 2020",10
Afghanistan,AFG,"May 10, 2020",12
Afghanistan,AFG,"May 11, 2020",14
Afghanistan,AFG,"May 12, 2020",12
Afghanistan,AFG,"May 13, 2020",13
Afghanistan,AFG,"May 14, 2020",13
Afghanistan,AFG,"May 15, 2020",13
Afghanistan,AFG,"May 16, 2020",10
Afghanistan,AFG,"May 17, 2020",12
Afghanistan,AFG,"May 18, 2020",13
Afghanistan,AFG,"May 19, 2020",11
Afghanistan,AFG,"May 20, 2020",11
Afghanistan,AFG,"May 21, 2020",11
Afghanistan,AFG,"May 22, 2020",13
Afghanistan,AFG,"May 23, 2020",8
Afghanistan,AFG,"May 24, 2020",17
Afghanistan,AFG,"May 25, 2020",14
Afghanistan,AFG,"May 26, 2020",13
Angola,AGO,"Feb 16, 2020",1
Angola,AGO,"Feb 17, 2020",2
Angola,AGO,"Feb 18, 2020",0
Angola,AGO,"Feb 19, 2020",-1
Angola,AGO,"Feb 20, 2020",1
Angola,AGO,"Feb 21, 2020",-1
Angola,AGO,"Feb 22, 2020",0
Angola,AGO,"Feb 23, 2020",0
Angola,AGO,"Feb 24, 2020",1
Angola,AGO,"Feb 25, 2020",12
Angola,AGO,"Feb 26, 2020",13
Angola,AGO,"Feb 27, 2020",-1
Angola,AGO,"Feb 28, 2020",-1
Angola,AGO,"Feb 29, 2020",0
Angola,AGO,"Mar 1, 2020",0
