country,category,url,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,12.0,8.0,14.0,16.0,20.0,27.0,31.0,22.0,15.0,26.0,27.0,26.0,29.0,31.0,22.0,17.0,27.0,28.0,26.0,30.0,32.0,22.0,15.0,26.0,26.0,24.0,27.0,30.0,20.0,15.0,35.0,27.0,25.0,27.0,30.0,22.0,15.0,24.0,25.0,23.0,25.0,28.0,19.0,13.0,23.0,24.0,23.0,25.0,37.0,19.0,13.0,21.0,21.0,19.0,22.0,24.0,15.0,10.0,19.0,19.0,18.0,19.0,21.0,13.0,9.0,16.0,16.0,13.0,25.0,23.0,13.0,9.0,15.0
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,0.0,1.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,1.0,8.0,10.0,6.0,1.0,1.0,3.0,5.0,0.0,-1.0,-1.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-1.0,-2.0,-2.0,1.0,3.0,1.0,4.0,7.0,10.0,13.0,16.0,17.0,20.0,22.0,23.0,22.0,23.0,19.0,17.0,20.0,19.0,20.0,20.0,20.0,16.0,15.0,18.0,17.0,18.0,16.0,27.0,16.0,13.0,17.0,18.0,18.0,18.0,19.0,15.0,14.0,17.0,23.0,17.0,18.0,18.0,15.0,14.0,17.0,13.0,17.0,14.0,25.0,15.0,13.0,15.0,16.0,16.0,16.0,16.0,13.0,10.0,16.0,16.0,17.0,16.0,18.0,15.0,14.0,16.0,16.0,17.0,17.0,17.0,15.0,14.0,18.0
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,0.0,-2.0,11.0,1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,4.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,10.0,14.0,16.0,17.0,20.0,13.0,11.0,20.0,22.0,23.0,25.0,26.0,17.0,14.0,23.0,23.0,24.0,25.0,27.0,17.0,14.0,23.0,24.0,24.0,24.0,33.0,17.0,14.0,26.0,24.0,24.0,25.0,27.0,16.0,14.0,22.0,23.0,24.0,24.0,25.0,14.0,13.0,21.0,16.0,22.0,23.0,23.0,14.0,11.0,20.0,20.0,20.0,21.0,22.0,13.0,10.0,19.0,20.0,19.0,20.0,21.0,10.0,8.0,24.0,18.0,17.0,18.0,18.0,9.0,6.0,16.0
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,-2.0,0.0,-1.0,-1.0,3.0,6.0,7.0,11.0,14.0,19.0,23.0,22.0,22.0,24.0,25.0,26.0,25.0,31.0,25.0,24.0,26.0,25.0,26.0,27.0,29.0,23.0,20.0,24.0,23.0,24.0,23.0,38.0,26.0,21.0,24.0,23.0,24.0,25.0,28.0,21.0,20.0,22.0,22.0,22.0,24.0,26.0,21.0,19.0,23.0,16.0,22.0,19.0,36.0,20.0,19.0,20.0,20.0,22.0,22.0,24.0,22.0,18.0,24.0,24.0,25.0,23.0,27.0,25.0,23.0,27.0,26.0,26.0,36.0,31.0,25.0,23.0,27.0
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,-1.0,-1.0,4.0,3.0,2.0,3.0,3.0,-1.0,-1.0,3.0,4.0,3.0,4.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,3.0,13.0,24.0,29.0,32.0,36.0,24.0,18.0,32.0,34.0,32.0,34.0,37.0,25.0,18.0,33.0,33.0,31.0,33.0,37.0,24.0,17.0,31.0,32.0,30.0,32.0,36.0,23.0,17.0,38.0,31.0,29.0,31.0,35.0,23.0,17.0,30.0,31.0,28.0,30.0,33.0,22.0,16.0,28.0,28.0,27.0,28.0,42.0,21.0,16.0,26.0,27.0,24.0,25.0,38.0,19.0,15.0,19.0,18.0,17.0,17.0,19.0,9.0,5.0,16.0,16.0,12.0,22.0,20.0,10.0,3.0,15.0
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,-1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,6.0,10.0,11.0,14.0,16.0,13.0,10.0,16.0,18.0,18.0,18.0,19.0,12.0,11.0,17.0,17.0,17.0,17.0,19.0,12.0,8.0,15.0,16.0,15.0,15.0,29.0,10.0,6.0,28.0,17.0,16.0,16.0,16.0,10.0,7.0,13.0,14.0,13.0,13.0,14.0,9.0,6.0,12.0,13.0,13.0,12.0,28.0,9.0,6.0,11.0,12.0,11.0,11.0,11.0,5.0,4.0,11.0,11.0,11.0,10.0,10.0,5.0,3.0,8.0,9.0,6.0,18.0,14.0,7.0,3.0,8.0
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,0.0,0.0,0.0,0.0,1.0,-1.0,5.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,1.0,0.0,1.0,4.0,3.0,3.0,3.0,4.0,5.0,7.0,8.0,21.0,20.0,25.0,30.0,30.0,31.0,29.0,22.0,30.0,29.0,29.0,30.0,30.0,28.0,21.0,30.0,28.0,29.0,30.0,32.0,30.0,22.0,31.0,30.0,29.0,30.0,31.0,28.0,22.0,30.0,29.0,29.0,30.0,30.0,29.0,22.0,31.0,28.0,29.0,29.0,30.0,27.0,21.0,27.0,26.0,25.0,26.0,26.0,25.0,19.0,25.0,24.0,23.0,23.0,23.0,22.0,17.0,22.0,21.0,21.0,21.0,21.0,19.0,15.0,22.0
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,-1.0,-2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,4.0,5.0,6.0,6.0,5.0,3.0,4.0,5.0,4.0,4.0,7.0,8.0,6.0,6.0,11.0,16.0,19.0,24.0,28.0,25.0,22.0,27.0,29.0,30.0,31.0,32.0,26.0,24.0,32.0,32.0,34.0,35.0,36.0,27.0,24.0,32.0,33.0,33.0,34.0,35.0,27.0,24.0,31.0,31.0,31.0,32.0,33.0,26.0,25.0,40.0,30.0,30.0,31.0,32.0,25.0,23.0,29.0,29.0,30.0,30.0,29.0,28.0,22.0,26.0,26.0,27.0,26.0,41.0,23.0,21.0,18.0,19.0,20.0,20.0,21.0,15.0,13.0,19.0,19.0,19.0,18.0,20.0,15.0,12.0,14.0,15.0,15.0,15.0,14.0,8.0,5.0,12.0
