Manchester United,38,28,6,4,44,90
Liverpool FC,38,25,11,2,50,86
Chelsea FC,38,25,8,5,44,83
Arsenal FC,38,20,12,6,31,72
Everton FC,38,17,12,9,18,63
Aston Villa,38,17,11,10,6,62
Fulham FC,38,14,11,13,5,53
Tottenham Hotspur,38,14,9,15,0,51
West Ham United,38,14,9,15,-3,51
Manchester City,38,15,5,18,8,50
Wigan Athletic,38,12,9,17,-11,45
Stoke City,38,12,9,17,-17,45
Bolton Wanderers,38,11,8,19,-12,41
Portsmouth FC,38,10,11,17,-19,41
Blackburn Rovers,38,10,11,17,-20,41
Sunderland AFC,38,9,9,20,-20,36
Hull City,38,8,11,19,-25,35
Newcastle United,38,7,13,18,-19,34
Middlesbrough FC,38,7,11,20,-29,32
West Bromwich Albion,38,8,8,22,-31,32
