country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,3152,10351,15981,13544,13175,13662,13000,10000,10474,12160,12669,14000,15000,13800,14000,13000,13000,14000,19000,18000,17700,17500,17500,19000,20000,24000,25000,14000,19000,14100,7000,12495,13488,3855,5741,6339,7854,7399,7300,6200,3600,2600,1416,2100,1900,2000,900,1300,1600,1700,1900,2000,2900,3000,2200,1980,1358,1693
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,3000,5500,7300,9000,3354,4743,6094,6135,5880,3862,4307,3366,2564,2343,3358,1933,2441,3254,2826,3282,4798,4470,3300,6339,4034,3947,4620,3507,3527,3578,3358,6181,6877,3720,2790,4045,8153,6650,5597,7153,7776,5847,5674,7600,6500,6889,6043,6374,7668,7604,8281,7630,7918,8707,8800,9840,10292,10686
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,1308,1400,2400,2739,5829,6950,6300,6804,4378,4120,4120,3970,3551,3032,6992,6850,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4000,5000,4000,4000,4000,3000,4000,3751,3900,3900,3900,3300,3300,3300,3300,3300,3285,3288,3273,3238,3203,3169,3134,3099,3065,3030,2995,2962,2964,2953,2928,2903
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,48400,47200,55000,48600,52500,44700,63000,62000,53500,66000,61700,73600,71000,97700,97800,94600,90000,63000,70000,62044,50889,68677,74254,78301,60243,66361,69765,72235,80459,67634,94504,109157,112305,81957,79011,98201,123206,116510,113400,114509,98110,132437,115837,157294,161064,144345,127740,130381,135531,132870,135241,115334,112348,127085,109106,93671,117154,104093
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1484,1600,500,200,23,40,200,1855,4577,2541,2714,1204,1052,481,171,268,538,1055,1376,2386,1817,1678,1253,1516,1132,1087,914
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,15035,11368,13669,17290,12643,13776,14049,12446,17155,18931,18830,16014,16963,16375,15462,14928,16120,15055,15004,15095,14546,13265,13400,14428,12475,10683,12160,12725,11397,12299,12614,11496,11321,8358,6777,8554,8648,8460,7050,7762,9000,9000,6461,3782,3605,4000,3983,3923,3651,3402,3164,2927,2689,2505,2596,2495,2354,2256
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,608,452,657,766,596,595,544,632,677,596,630,370,591,561,412,587,585,380,337,431,437,421,465,486,451,461,417,458,404,418,320,320,393,353,263,189,227,234,227,322,284,328,332,234,247,304,400,0,113,0,135,167,162,138,121,116,108,104
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52300,44900,20800,11713,11188,15087,14638,8626,17258,12738,3273,4685,6518,7135,4845,2914,2485,2609,3243,3587,4278,3452,2858,3466,3585,5316,6317
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,25900,31800,29100,28200,27200,27300,38100,39100,40600,41200,47700,34724,39877,41599,40370,45176,63534,49873,43744,39524,47378,51046,50447,47834,49334,46475,39990,41545,39301,37800,33775,34080,36380,37770,38000,39375,38100,36655,29000,35000,37000,38000,37000,39000,38000,42710,39180,40248,40265,55288,79234,85419,79000,85000,94221,87628,91000,89013
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
