country,category,url,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,3,2,3,2,1,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,7,6,6,6,6,7,7,7,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,6,6,6
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","",0,0,0,0,0,1,1,1,2,5,9,15,19,7,6,5,5,6,11,6,7,7,6,2,1,4,1,2,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","",3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,6,7,7,6,7,7,7,7,7,8,8,8,8,9,9,10,10,10,11,11,11,11,11,12,12,12,12,13,14,14,15,15,15,14,15,15,15,15,15,16,16,16,16,16,16,16,17,17,18,18,18,18,18,18,19,19,19,19,18,18,18,17,17,17,16,16,17,16,16
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,3,3,3,3,3,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,8,6,7,7,6,7,7,7,7,6,6,8,8,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7
