country,category,url,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","",""
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","",1.015661465,0.740638513,0.821391781,0.847525067,0.747529273,0.809237587,0.852637945,0.892786997,0.918984082,0.982817264,1.209870461,1.476333835,1.441868919,1.520324808,1.724531093,1.93807493,1.900588294,1.961336474,2.239576212,2.271373451,2.700352828,2.567085977,2.2380049,2.222107115
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,3.745344286,4.86987535,4.472236958,3.378528232,3.776482587,5.677998297,4.346007232,5.729705497,5.218161899,4.414220644,4.691427325,5.917166599,7.783578857,9.532935667,9.546435315,10.662975943,11.078876093,13.133243169,16.589404871,17.539185326,20.701889506,23.882244498,25.611926527,25.353517839,22.047558179,20.995678975
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","",7.319263288,7.488855631,7.849616047,8.427134426,5.930461711,3.907302773,2.909117483
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","",0.011368806,0.01132845,0.014814655,0.017694326,0.017638487,0.018273742,0.015893976,0.019236836,0.019495615,0.019814583,0.019935271,0.01826175,0.026238415,0.025441977,0.01773635,0.024995213,0.023928834,0.02364716,0.024511499,0.019154706,0.018921156
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,15.157578918,17.813766568,18.562332588,18.792745697,20.812251401,21.74393937,22.909996445,22.900529192,19.657496519,20.682638688,20.181916395,16.826276308,21.523798215,22.102123198,24.185752404,24.36413272,32.60501611,38.621204504,27.282208924,40.781151101,50.784268611,49.35302055,52.143884517,51.353386143,50.075255233,39.667717047
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","",0.460448533,0.534461555,0.477076048,0.412060269,0.47370004,0.478371557,0.560804037,0.809702173,1.417919051,1.652343482,2.15770857,2.75776395,2.066020471,1.697494502,2.782188641,2.814072171,2.772356976,2.554969694,2.1175997360000003,2.192724789
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,16.406061176,16.01493593,15.886146129,16.147275688,20.452889439,23.843631905,21.992982229,19.908025022,20.805486622,18.367447138,18.748304113,22.046574438,20.66218067,26.36597221,27.581920566,27.967534827,28.026559619,32.466415721,30.973176832,34.621769286,49.129208326,53.556458234,48.164564897,44.761392138,33.887523376999994,33.013120233
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,6.778903308,7.132593342,6.538974246,6.820501718,5.563211956,5.430890295,4.892678672,4.665087233,4.415359935,3.873413629,4.097953596999999,4.12426725,5.001009239,5.434661027,5.406817454,5.785774744,7.28450118,8.073561533,6.706200196,6.855894507,7.984046225,7.543349204,7.682357826,7.578021833,6.066770738,6.092895441
