country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,5616010,4563041,2839178,2629218,2292630,2462620,2868254,2189654,2512494,3676266,3757257,4014331,5093357,5622596,5353336,5732254,5429648,5496662,6129605,6369776,6139201,6348698,6059081,5870185,6290568,5656919,5491231,5646132
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,104426338,112514777,117773574,116027645,119739947,121612059,129402904,136162300,137901212,135421172,128159998,116692081,96146937,113799078,134149926,140040125,155823062,161271144,176627306,164654808,177110412,184698354,187103717,193255738,196745696,202438940,199919105,201722258
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,13688610,13409502,4112392,1987744,1934550,2832932,3087618,4120118,4238257,5343092,4019418,4456225,3691628,4345692,4508871,5396127,5329679,7463613,6499363,5923389,5533325,5727904,6326544,6166145,6112144,5628326,5697259,5551060
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,235129649,233255174,236168973,236775971,243673043,249350174,252503415,261343817,275686754,274341833,273783838,277848983,293368344,301174835,319653280,325817116,344713469,358094280,366485504,375279239,383407803,390370867,400423606,381234011,374563619,372273132,372885639,378343756
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,82530612,87441945,81667332,82455091,84104413,88736820,96899407,92225319,96510244,91659953,91748992,94591437,96613890,99326883,101557801,104145520,106191746,101052842,99332526,92462607,97086816,99122425,93988443,93049836,89759859,91466545,91984261,94587497
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,32365504,29830397,22232668,30566868,24855571,25117894,30658983,28336992,30554308,26109607,27351083,27725932,31484906,34375546,36960900,35662978,41043107,32146141,36281210,31905314,30748389,34077093,37302461,38456207,40475633,40547871,40109240,40396230
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,11016848,11335474,10786754,12980013,13258358,13172194,13588252,12486218,13706326,6572551,12168343,10671629,10177669,10264449,10458147,12957981,12007639,16528686,19967606,19528107,20968827,17845888,14525146,16976181,17922018,18631544,18635552,18932728
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,17429072,18797470,19469046,20533058,22612628,26157809,27548966,29267972,29167701,29905640,32448101,40328060,37565787,45702449,47460479,48438839,51497701,55421304,56368539,61739602,69922125,74975608,78375082,85186890,90188360,95967930,98815521,102794434
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,28649967,26497692,36653295,38230689,28466622,30896596,45749843,46721522,70812646,59875191,56836769,56663624,59103090,59608869,63113697,59350625,66961988,71536070,77535699,56455401,63282749,57464236,69745327,72021633,70411944,67230602,67926332,69464223
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,147259964,156418976,151174066,151707415,156106168,162127139,162723547,169075214,179480384,182274838,188104341,186281271,197565634,192836899,213329401,209090235,218114276,221871988,204893763,180588138,192959798,201868557,183292003,181789604,178513609,178614601,176052862,178094828
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,937950,1055916,1125944,1341395,1503295,1618566,1691385,1844083,2052337,2055919,2494815,2774605,3127924,3487635,3361692,4255540,5780741,6016064,6620577,6607369,6999102,8653193,7371851,7817398,7597023,7993475,7910274,8171700
