country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.46699999999999997,0.592,0.687,0.9390000000000001,0.8939999999999999,0.9339999999999999,0.837,0.946,0.72801,0.9381,0.9362999999999999,0.8472999999999999,0.9119999999999999,1.052,1.081,1.166,1.2099999999999997,1.254,1.254
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","",4.683,3.648,3.641,5.218,5.542999999999999,5.385,5.037999999999999,2.828,3.759,5.201,7.6745,4.091799999999999,4.725899999999999,6.96,4.727,5.867,7.138,4.481000000000001,4.481000000000001
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,12.274000000000001,12.981,12.722000000000001,13.966,15.324000000000002,16.104,17.345,18.285999999999998,19.414,19.883,19.715,20.654,21.497,23.261999999999997,24.756999999999998,25.412,26.625,27.648000000000003,29.528000000000002,31.249000000000002,33.915,35.227,37.31,40.236999999999995,43.111999999999995,45.735,53.074,57.397,59.89,64.241,68.798,70.997,76.017,76.663
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","",1.404,1.5909999999999997,1.7169999999999999,1.9380000000000002,2.186,2.73,3.2409999999999997,3.149,4.064,4.606,5.317,5.523,6.034,7.976,9.216999999999999,9.309,10.203,10.676,10.676
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.141,0.161,0.18,0.198,0.208,0.228,0.243,0.263,0.271,0.308,0.3192,0.3185,0.3105,0.3106,0.3166,0.325,0.329,0.331,0.331
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,45.303728,49.022193,52.115279,52.49952,50.862813,51.004894,53.85426999999999,56.107096999999996,61.868779,65.622035,67.16925400000001,69.75981999999999,72.46247,74.169556,80.74473499999999,88.977961,90.13777079,84.59000837,92.05944302,100.26082099999999,105.750115,113.423565,113.5250419,121.9052483,122.3260149,125.99205330000001,129.48330819999998,136.033625,139.441423,138.55114650000002,145.42155590000002,147.19282090000002,145.618454,146.7738755
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","",5.618,5.5680000000000005,5.215,5.212,5.904,5.978000000000001,5.617000000000001,5.585000000000001,5.465999999999999,5.377999999999999,6.176,7.071,7.622,7.305999999999999,7.334,7.392000000000001,6.9510000000000005,7.362,6.849
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,123.67299999999999,129.52700000000002,135.815,143.374,151.433,155.6535,157.9635,161.4005,165.3825,170.1425,175.2245,180.127,188.9795,199.47099999999998,206.8995,216.829,224.255,223.4952,225.9524,229.21705,230.73955,237.99095,243.1848,245.3709,249.90195,250.9617,256.30415,250.6716,249.5631,247.647344,255.1516594,258.4916194,259.1296991,263.0775663
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,44.535,44.653,50.518,49.023999999999994,50.174,50.413999999999994,51.483999999999995,51.18,52.675,53.309,56.586999999999996,54.835,56.851000000000006,57.437,60.369,61.798,62.25306178,62.45202827,60.61763381,64.85668220000001,66.73528596,64.36442955,64.85304131,66.92725546,69.06263581,71.07015613,65.85443541,72.3903452,68.03699449,65.10910418,64.94729551,67.91937508,70.71000928,67.98464633
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,20.701999999999998,21.541999999999998,22.909000000000002,23.572,23.3,23.151999999999997,23.4495,19.7626,19.051,17.570999999999998,17.044,17.085,16.836,17.995,18.176,18.7,18.969,18.701,21.285999999999998,21.744,22.872,24.543000000000003,21.846999999999998,21.642,18.869,18.7095,20.2938,22.9881,23.354,24.7277,24.6876,24.9529,24.3209,25.198610000000002
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","",1.565,1.626,1.716,1.81,1.795,1.894,1.928,2.045,2.05,1.945,1.8215,1.8626,1.7179,1.7039,1.739,1.817,1.783,1.747,1.747
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","",13.023,13.737,14.338,14.755,15.177,18.205,19.774,20.419,21.451,21.209,22.397,22.881,23.2898,24.3628,25.627,26.784,26.808,27.48,27.48
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,4.5280000000000005,4.8,5.587000000000001,6.541,7.115,7.732,8.27,8.894,9.206,9.783999999999999,10.806,11.474,11.857999999999999,12.882,14.45,15.770999999999999,17.392,18.6651,19.7129,24.6849,26.4504,29.538,31.0156,34.2361,37.2082,40.8414,44.2195,48.662,54.37848821,57.42684067,61.83274804,69.99112584,73.41770809,81.11510919
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.758,0.796,0.828,0.868,0.896,0.953,0.976,1.003,1.011,1.023,0.968,0.989,1.0639999999999998,0.959,0.969,0.982,1.013,1.03,1.03
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,33.175,36.282,37.453,38.15,38.489000000000004,39.525999999999996,38.735,37.595,33.369,31.397,24.918000000000003,23.728,26.057,23.491999999999997,26.516,26.101,25.063000000000002,26.456,26.627,31.211,30.961,31.811,31.829,35.054,30.405,34.89,32.203,30.794,31.495,34.736999999999995,34.232,33.571999999999996,34.515,38.927
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,57.321999999999996,58.676,63.367,65.34899999999999,67.547,70.923,71.936,72.225,70.834,72.179,74.408,76.09899999999999,78.833,83.18299999999999,84.514,84.012,79.821,82.069,84.63,85.64299999999999,87.025,85.617,88.822,84.93,91.235,95.189428,90.240934,82.92309300000001,83.47462,72.5822,69.7551,85.7054,86.64156700000001,74.93765668
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.181,0.149,0.151,0.175,0.16,0.165,0.22599999999999998,0.23099999999999998,0.22999999999999998,0.222,0.34990000000000004,0.347,0.318,0.34800000000000003,0.365,0.381,0.395,0.40900000000000003,0.40900000000000003
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.079,0.062,0.059000000000000004,0.075,0.076,0.101,0.146,0.208,0.216,0.121,0.109,0.097,0.047,0.089,0.228,0.312,0.2601,0.311,0.311
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","",1.793,1.921,2.178,2.5039999999999996,2.33,2.621,4.4750000000000005,6.4959999999999996,6.892,6.929,7.2565,6.9767,6.746700000000001,7.5327,7.15071,7.73301,7.88101,7.652020000000001,7.652020000000001
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","","","","","",3.7750000000000004,3.851,4.045999999999999,4.175,4.363,4.694,5.08,5.512,5.599,5.9030000000000005,6.486000000000001,6.912,7.325,7.718999999999999,8.171,8.711,8.951,9.499,9.873000000000001
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","",10.058,10.259,10.401,10.815000000000001,12.263,12.146,12.803,11.277,14.177,15.04,16.497999999999998,14.583000000000002,13.449000000000002,16.767,15.488000000000001,15.004000000000001,17.022,15.689,18.258000000000003
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.89,0.949,0.842,0.681,0.74,0.815,0.746,0.578,0.552,0.417,0.5,0.449,0.329,0.869,2.175,2.7899999999999996,2.5269999999999997,2.8409999999999997,2.8409999999999997
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,193.68223390000003,202.12889950000002,203.3314719,214.9528483,221.7390205,222.82011519999998,234.3763176,241.76195189999999,252.00312160000001,260.04061040000005,275.60144269999995,291.27873989999995,307.98078280000004,321.7486383,334.72623369999997,348.92093880000004,328.51946569999996,345.6788247,364.339838,387.45241569999996,403.0307723,419.3834992,445.1488142,462.9385772,466.15812300000005,515.7986876,531.7584973,552.4993262,570.8346535000001,590.5421177999999,581.2279552,578.8983089,589.3273274000001,601.3964877000001
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","",2.39,2.424,2.539,3.0,3.068,3.068,3.1,3.191,3.218,3.395,3.564,3.5,3.694,4.138,4.236,3.948,4.014,3.908,3.908
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,41.632,41.82,43.473,45.021,44.331,42.141000000000005,40.861999999999995,35.61,37.997,38.133,41.788999999999994,42.716,42.803000000000004,41.711000000000006,38.248000000000005,40.924,43.968,42.678999999999995,42.6,41.621,44.365,45.843,43.297,45.037,42.964,46.653,50.797,47.32899999999999,43.784,47.485,49.228,45.277,45.578783,46.8377
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.318,0.327,0.365,0.44499999999999995,0.472,0.489,0.52,0.581,0.589,0.664,0.543,0.538,0.634,0.7411,0.8812,1.0115,0.991,1.1159999999999999,1.1159999999999999
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.1,0.116,0.128,0.10200000000000001,0.092,0.097,0.094,0.11800000000000001,0.113,0.122,0.1489,0.14700000000000002,0.15000000000000002,0.167,0.18200000000000002,0.17400000000000002,0.178,0.22,0.22
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.46699999999999997,0.509,0.686,0.7200000000000001,0.769,0.9099999999999999,1.109,1.404,1.3940000000000001,1.1843,0.9433,1.0003,1.3753,1.7232999999999996,2.9722999999999997,4.2363,5.3923000000000005,6.7193000000000005,6.7193000000000005
