,team_url,category,1888/89,1888/89,1889/90,1890/91,1891/92,1892/93,1893/94,1894/95,1895/96,1896/97,1897/98,1898/99,1899/00,1900/01,1901/02,1902/03,1903/04,1904/05,1905/06,1906/07,1907/08,1908/09,1909/10,1910/11,1911/12,1912/13,1913/14,1914/15,1919/20,1920/21,1921/22,1922/23,1923/24,1924/25,1925/26,1926/27,1927/28,1928/29,1929/30,1930/31,1931/32,1932/33,1933/34,1934/35,1935/36,1936/37,1937/38,1938/39,1946/47,1947/48,1948/49,1949/50,1950/51,1951/52,1952/53,1953/54,1954/55,1955/56,1956/57,1957/58,1958/59,1959/60,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Accrington FC,https://s.hs-data.com/bilder/wappen/mittel/0.png,white,0,26,59,81,109,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
AFC Bournemouth,https://s.hs-data.com/bilder/wappen/mittel/2248.gif,red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,88,132,177
Arsenal FC,https://s.hs-data.com/bilder/wappen/mittel/555.gif,red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,97,161,209,261,303,354,407,428,428,428,485,544,596,654,699,746,820,880,934,995,1048,1142,1218,1301,1385,1466,1526,1596,1669,1735,1792,1874,1941,2009,2075,2149,2224,2282,2342,2406,2477,2532,2603,2657,2713,2772,2836,2898,2956,3005,3067,3128,3206,3260,3354,3428,3508,3564,3614,3663,3722,3795,3860,3930,4002,4073,4131,4194,4260,4329,4399,4465,4541,4603,4688,4760,4816,4887,4938,5001,5069,5147,5225,5298,5368,5455,5533,5623,5706,5773,5841,5924,5996,6071,6139,6209,6282,6361,6436,6507,6582,6645,6715
Aston Villa,https://s.hs-data.com/bilder/wappen/mittel/559.gif,red_dark,0,41,67,92,137,188,251,307,372,440,487,551,623,663,710,770,828,889,946,1009,1069,1121,1197,1270,1328,1397,1460,1510,1570,1631,1700,1764,1831,1883,1943,2004,2064,2137,2205,2289,2354,2431,2485,2540,2588,2588,2588,2645,2708,2774,2832,2889,2938,3004,3059,3116,3183,3229,3286,3341,3382,3382,3442,3504,3557,3602,3655,3706,3746,3746,3746,3746,3746,3746,3746,3746,3746,3796,3869,3933,3994,4056,4142,4199,4267,4327,4383,4427,4463,4463,4503,4573,4614,4674,4748,4805,4853,4916,4977,5034,5089,5147,5201,5251,5296,5352,5399,5441,5491,5551,5613,5677,5725,5763,5804,5842,5880,5897,5897,5897,5897
Barnsley FC,https://s.hs-data.com/bilder/wappen/mittel/3181.gif,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Birmingham City,https://s.hs-data.com/bilder/wappen/mittel/2244.gif,blue_light,0,0,0,0,0,0,0,34,62,62,62,62,62,62,103,103,144,200,258,311,350,350,350,350,350,350,350,350,350,350,402,452,504,567,623,678,732,787,844,893,955,1008,1056,1105,1161,1215,1263,1307,1307,1307,1355,1390,1390,1390,1390,1390,1390,1453,1507,1560,1626,1675,1723,1775,1818,1858,1893,1893,1893,1893,1893,1893,1893,1893,1950,1999,2050,2096,2147,2204,2232,2232,2283,2327,2377,2425,2425,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2502,2552,2597,2631,2631,2666,2666,2716,2755,2755,2755,2755,2755,2755,2755,2755,2755
Blackburn Rovers,https://s.hs-data.com/bilder/wappen/mittel/557.gif,blue,0,36,75,110,146,183,233,276,317,353,384,434,477,522,573,614,653,691,747,796,844,899,962,1012,1081,1142,1213,1274,1324,1378,1429,1483,1545,1591,1647,1700,1757,1819,1883,1942,1996,2048,2109,2162,2207,2207,2207,2207,2257,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2361,2414,2472,2525,2582,2646,2704,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2732,2803,2887,2976,3037,3079,3137,3172,3172,3172,3218,3278,3322,3364,3427,3479,3537,3578,3628,3671,3702,3702,3702,3702,3702,3702,3702,3702
Blackpool FC,https://s.hs-data.com/bilder/wappen/mittel/2873.gif,blue_light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,88,135,135,135,135,135,191,241,313,374,423,489,559,622,688,755,807,876,951,1014,1079,1134,1179,1235,1288,1336,1383,1434,1461,1461,1461,1461,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1527,1527,1527,1527,1527,1527,1527,1527,1527
Bolton Wanderers,https://s.hs-data.com/bilder/wappen/mittel/554.gif,white,0,32,60,97,150,195,229,263,316,358,395,429,429,475,519,546,546,546,604,666,713,713,746,746,809,867,925,966,1032,1103,1170,1224,1292,1369,1430,1497,1556,1610,1664,1718,1773,1818,1818,1818,1873,1917,1977,2037,2084,2137,2189,2233,2297,2364,2418,2484,2536,2597,2657,2709,2779,2847,2894,2952,3002,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3087,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117,3146,3146,3186,3186,3186,3186,3226,3270,3323,3381,3437,3493,3530,3571,3610,3656,3692,3692,3692,3692,3692,3692,3692,3692
Bradford City,https://s.hs-data.com/bilder/wappen/mittel/2241.gif,blue_light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,105,170,223,270,320,373,426,477,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,556,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582
Bradford Park Avenue,https://s.hs-data.com/bilder/wappen/mittel/4195.gif,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,115,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
Brentford FC,https://s.hs-data.com/bilder/wappen/mittel/3271.gif,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,127,190,240,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
Brighton & Hove Albion,https://s.hs-data.com/bilder/wappen/mittel/3050.gif,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,97,149,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,229,265
Bristol City,https://s.hs-data.com/bilder/wappen/mittel/3277.gif,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,116,167,211,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,295,341,396,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436
Burnley FC,https://s.hs-data.com/bilder/wappen/mittel/3185.gif,red_dark,0,24,41,71,108,151,200,237,274,299,299,353,391,391,391,391,391,391,391,391,391,391,391,391,391,391,439,500,572,654,725,779,827,872,921,987,1042,1095,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1217,1267,1328,1384,1439,1505,1572,1632,1694,1758,1826,1893,1972,2045,2119,2195,2256,2314,2393,2447,2499,2553,2604,2638,2638,2638,2700,2762,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2829,2829,2829,2829,2829,2862,2862,2902,2956,2996
