country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,17,28,37,35,46,49,52,56,58,62,67
Albania,https://dynamospanish.com/wp-content/uploads/flags/images/Albania/2/large/Albania.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,35,40,49,62,76,62,83,91,105,119,126,115,116,115,119
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,41,62,80,77,92,90,96,99,103,110,108,115,120
Andorra,https://dynamospanish.com/wp-content/uploads/flags/images/Andorra/2/large/Andorra.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,8,13,22,32,36,43,46,70,76,81,85,76,76,76,77,77,77,79,83,91,98,104
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,15,23,31,35,40,49,50,51,52,49,45,44
Antigua and Barbuda,https://dynamospanish.com/wp-content/uploads/flags/images/Antigua_and_Barbuda/2/large/Antigua_and_Barbuda.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,26,29,44,52,61,96,122,122,147,144,177,183,131,116,121,176,178,0
Argentina,https://dynamospanish.com/wp-content/uploads/flags/images/Argentina/2/large/Argentina.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,10,17,17,17,20,34,56,79,101,115,128,138,145,152,158,142,142,145,139
Armenia,https://dynamospanish.com/wp-content/uploads/flags/images/Armenia/2/large/Armenia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,10,42,63,49,75,134,111,115,115,119,118,117,119
Aruba,https://dynamospanish.com/wp-content/uploads/flags/images/Aruba/2/large/Aruba.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,13,16,57,65,72,99,103,108,112,119,126,129,0,131,134,134,135,0,0
Australia,https://dynamospanish.com/wp-content/uploads/flags/images/Australia/2/large/Australia.png,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,12,21,24,26,33,44,57,65,72,82,91,96,101,103,102,101,105,106,107,106,108,110,112
