country,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,0,1349,1963,2072,2232,2612,2681,2855,9977,10046,10046,10049,11334,11471,11489,12050,12432,12728,12728,12828,13177,13238,13571,13725,14299,14490,14567,14722
Albania,https://dynamospanish.com/wp-content/uploads/flags/images/Albania/2/large/Albania.png,0,0,11,11,12,15,16,17,17,17,17,17,23,23,24,27,27,27,27,27,28,28,28,28,28,28,29,29
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,0,0,21,57,268,268,272,276,276,309,356,1276,1324,3653,3674,3695,3700,3781,3873,3921,3921,3931,3999,3999,4005,4016,4016,4016
Andorra,https://dynamospanish.com/wp-content/uploads/flags/images/Andorra/2/large/Andorra.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,0,0,0,0,0,0,0,0,0,0,58,114,121,135,163,163,163,267,273,335,360,489,489,497,497,570,682,693
Antigua & Barbuda,https://dynamospanish.com/wp-content/uploads/flags/images/Antigua_and_Barbuda/2/large/Antigua_and_Barbuda.png,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
Argentina,https://images.reference.com/amg-cms-reference-images/prod/argentina-flag-colors-meaning-of_b7cf58aa-cdaa-479b-867d-2b57d7a723da.jpg,21,21,66,81,81,86,86,104,126,136,154,186,207,238,244,257,259,273,284,305,311,312,316,374,381,397,399,400
Armenia,https://dynamospanish.com/wp-content/uploads/flags/images/Armenia/2/large/Armenia.png,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,4,5,6,7,8,10,10,10,10,10,10
Aruba,https://dynamospanish.com/wp-content/uploads/flags/images/Aruba/2/large/Aruba.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,https://dynamospanish.com/wp-content/uploads/flags/images/Australia/2/large/Australia.png,15,28,37,40,40,45,68,107,113,124,127,130,131,133,135,138,141,145,149,155,159,192,199,202,205,213,219,230
Austria,https://dynamospanish.com/wp-content/uploads/flags/images/Austria/2/large/Austria.png,2,11,11,11,12,18,18,20,20,72,85,85,103,123,127,154,171,179,195,210,234,235,248,269,274,292,301,301
Azerbaijan,https://dynamospanish.com/wp-content/uploads/flags/images/Azerbaijan/2/large/Azerbaijan.png,0,0,0,0,0,4,4,15,16,17,59,59,59,59,60,60,60,60,60,60,63,63,63,63,63,63,63,63
Bahamas,https://dynamospanish.com/wp-content/uploads/flags/images/Bahamas/2/large/Bahamas.png,0,0,3,3,3,3,3,3,3,4,4,4,4,4,15,16,16,16,16,16,18,18,18,18,18,51,51,51
Bahrain,https://dynamospanish.com/wp-content/uploads/flags/images/Bahrain/2/large/Bahrain.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,https://dynamospanish.com/wp-content/uploads/flags/images/Bangladesh/2/large/Bangladesh.png,904,140156,140195,140841,141161,142405,143085,143611,144981,145311,145453,145700,145831,146121,147123,147354,147507,153011,153079,153101,153208,153248,153519,153569,153648,153806,153976,154139
Barbados,https://dynamospanish.com/wp-content/uploads/flags/images/Barbados/2/large/Barbados.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Belarus,https://dynamospanish.com/wp-content/uploads/flags/images/Belarus/2/large/Belarus.png,0,0,0,0,0,0,0,4,4,5,5,5,8,11,11,11,11,13,18,23,26,32,32,34,36,36,36,36
Belgium,https://dynamospanish.com/wp-content/uploads/flags/images/Belgium/2/large/Belgium.png,16,16,16,16,16,22,22,22,22,24,24,24,26,26,26,27,27,28,28,28,32,37,37,37,37,37,39,39
Belize,https://dynamospanish.com/wp-content/uploads/flags/images/Belize/2/large/Belize.png,0,0,0,0,0,0,0,0,9,9,22,51,51,51,51,54,54,54,62,62,62,62,62,62,62,62,62,62
Benin,https://dynamospanish.com/wp-content/uploads/flags/images/Benin/2/large/Benin.png,0,3,3,3,3,23,33,33,33,35,35,35,35,35,35,35,35,44,59,68,114,114,118,118,118,118,118,118
Bermuda,https://dynamospanish.com/wp-content/uploads/flags/images/Bermuda/2/large/Bermuda.png,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bhutan,https://dynamospanish.com/wp-content/uploads/flags/images/Bhutan/2/large/Bhutan.png,0,0,0,0,38,38,38,38,38,38,237,237,237,237,237,237,237,237,237,259,259,259,259,259,259,259,259,259
Bolivia,https://dynamospanish.com/wp-content/uploads/flags/images/Bolivia/2/large/Bolivia.png,0,0,3,3,8,8,48,104,258,258,259,300,395,503,537,537,562,639,676,676,702,754,766,847,1002,1021,1021,1021
Bosnia & Herzegovina,https://dynamospanish.com/wp-content/uploads/flags/images/Bosnia/2/large/Bosnia.png,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,10,10,10,10,10,12,12,12,12,39,39,39,39
Botswana,https://dynamospanish.com/wp-content/uploads/flags/images/Botswana/2/large/Botswana.png,0,0,0,0,0,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,34,34,34,34,34
Brazil,https://dynamospanish.com/wp-content/uploads/flags/images/Brazil/2/large/Brazil.png,34,89,264,268,289,514,667,778,819,860,947,1072,1178,1436,1608,1697,1786,1925,2277,2444,3153,6784,6861,7043,7150,7229,7322,7336
Brunei,https://dynamospanish.com/wp-content/uploads/flags/images/Brunei/2/large/Brunei.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
Bulgaria,https://dynamospanish.com/wp-content/uploads/flags/images/Bulgaria/2/large/Bulgaria.png,1,3,6,7,10,10,10,12,14,18,28,30,31,32,39,39,39,51,54,54,54,54,59,59,63,67,67,67
Burkina Faso,https://dynamospanish.com/wp-content/uploads/flags/images/Burkina_Faso/2/large/Burkina_Faso.png,0,0,0,0,21,21,21,21,21,26,26,26,26,26,26,26,26,78,83,92,107,107,125,126,126,134,148,149
Burundi,https://dynamospanish.com/wp-content/uploads/flags/images/Burundi/2/large/Burundi.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,28,37,37,45,56,56,56,152,189,214,220
Cambodia,https://dynamospanish.com/wp-content/uploads/flags/images/Cambodia/2/large/Cambodia.png,0,99,99,99,605,605,663,687,687,694,1041,1096,1125,1125,1125,1141,1145,1146,1146,1165,1172,1419,1432,1632,1676,1676,1676,1676
Cameroon,https://dynamospanish.com/wp-content/uploads/flags/images/Cameroon/2/large/Cameroon.png,0,1,1,1,6,6,6,6,6,30,33,63,63,83,83,84,84,91,100,100,112,112,137,137,137,140,140,143
Canada,https://dynamospanish.com/wp-content/uploads/flags/images/Canada/2/large/Canada.png,25,27,34,40,47,61,80,92,140,160,173,193,200,223,226,232,241,259,279,292,303,322,327,333,333,333,333,337
Cape Verde,https://dynamospanish.com/wp-content/uploads/flags/images/Cape_Verde/2/large/Cape_Verde.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,10,10,10
Central African Rep.,https://dynamospanish.com/wp-content/uploads/flags/images/Central_African_Republic/2/large/Central_African_Republic.png,0,0,0,0,0,0,7,7,7,7,7,10,10,10,13,14,14,15,15,18,20,21,21,21,21,21,21,21
Chad,https://dynamospanish.com/wp-content/uploads/flags/images/Chad/2/large/Chad.png,0,39,39,39,39,40,40,40,40,40,40,139,139,139,139,139,191,219,219,224,248,248,268,268,268,268,268,268
Chile,https://dynamospanish.com/wp-content/uploads/flags/images/Chile/2/large/Chile.png,0,81,81,201,203,232,232,265,269,269,284,292,313,313,318,375,392,406,416,419,926,927,928,931,933,1154,1166,1194
China,https://dynamospanish.com/wp-content/uploads/flags/images/China/2/large/China.png,1324,3462,4917,6490,9590,11997,17386,19074,23576,25089,25564,26485,27904,28997,29776,30524,31481,32624,121562,122141,129227,130070,130912,132372,133990,134484,135469,136043
Colombia,https://dynamospanish.com/wp-content/uploads/flags/images/Colombia/2/large/Colombia.png,42,196,219,479,644,775,798,863,918,1830,2042,2138,2271,2425,2486,2621,2883,3195,3342,3481,3835,4527,4700,4802,4924,5098,5120,5470
Comoros,https://dynamospanish.com/wp-content/uploads/flags/images/Comoros/2/large/Comoros.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,6,6,6,6,6,6
Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/255px-Flag_of_the_Republic_of_the_Congo.svg.png,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,9,9,9,9,9,9,27,27,27,27,27,27
Costa Rica,https://dynamospanish.com/wp-content/uploads/flags/images/Costa_Rica/2/large/Costa_Rica.png,0,48,48,59,61,61,121,125,138,155,156,157,167,170,180,186,186,205,212,234,285,288,295,295,295,295,303,322
Cote d'Ivoire,https://dynamospanish.com/wp-content/uploads/flags/images/Cote_d'Ivoire/2/large/Cote_d'Ivoire.png,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,33,60,77,77,77,77,123,138,157,172
Croatia,https://dynamospanish.com/wp-content/uploads/flags/images/Croatia/2/large/Croatia.png,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,5,6,7,7,7,7,9,9,9,9
Cuba,https://dynamospanish.com/wp-content/uploads/flags/images/Cuba/2/large/Cuba.png,3,3,3,54,67,68,70,70,74,86,87,92,93,94,97,113,121,125,135,138,142,142,159,160,160,162,162,172
Cyprus,https://dynamospanish.com/wp-content/uploads/flags/images/Cyprus/2/large/Cyprus.png,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Czech Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Czech_Republic/2/large/Czech_Republic.png,0,1,1,1,1,1,2,20,25,25,25,25,32,32,35,36,43,43,47,57,73,73,73,74,74,74,74,74
DR Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/227px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,22,22,31,31,69,69,69,69,69,70,70,132,372,401,401,414,417,449,484,484,529,529,530,530,694,727,776,1306
Denmark,https://dynamospanish.com/wp-content/uploads/flags/images/Denmark/2/large/Denmark.png,1,1,1,1,1,1,1,1,1,7,7,7,8,8,8,9,9,9,9,9,9,9,9,11,11,11,11,11
Djibouti,https://dynamospanish.com/wp-content/uploads/flags/images/Djibouti/2/large/Djibouti.png,0,0,0,0,145,145,145,145,145,145,145,145,145,145,196,196,196,196,196,196,196,196,196,196,196,196,196,196
Dominica,https://dynamospanish.com/wp-content/uploads/flags/images/Dominica/2/large/Dominica.png,0,0,0,0,0,2,2,2,2,2,2,2,2,3,4,4,4,7,7,7,10,10,10,10,10,16,16,16
Dominican Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Dominican_Republic/2/large/Dominican_Republic.png,0,9,9,38,38,48,78,83,444,451,454,459,462,482,1186,1187,1188,1206,1208,1218,1226,1238,1246,1247,1247,1249,1263,1263
Ecuador,https://dynamospanish.com/wp-content/uploads/flags/images/Ecuador/2/large/Ecuador.png,4,4,26,485,485,488,523,588,619,636,713,821,890,911,938,962,1011,1028,1093,1126,1170,1204,1256,1292,1312,1346,2028,2028
Egypt,https://dynamospanish.com/wp-content/uploads/flags/images/Egypt/2/large/Egypt.png,0,0,551,584,1184,1200,1211,1232,1232,1232,1234,1235,1260,1261,1277,1283,1284,1288,1385,1387,1448,1449,1454,1461,1465,1506,1531,1531
El Salvador,https://dynamospanish.com/wp-content/uploads/flags/images/El_Salvador/2/large/El_Salvador.png,0,0,2,23,23,30,30,40,523,532,539,1706,1712,1715,1717,1820,1824,1837,1872,1990,2002,2051,2052,2057,2066,2079,2079,2079
Equatorial Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Equatorial_Guinea/2/large/Equatorial_Guinea.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,https://dynamospanish.com/wp-content/uploads/flags/images/Eritrea/2/large/Eritrea.png,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Estonia,https://dynamospanish.com/wp-content/uploads/flags/images/Estonia/2/large/Estonia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2
Ethiopia,https://dynamospanish.com/wp-content/uploads/flags/images/Ethiopia/2/large/Ethiopia.png,0,12,12,14,40,67,106,431,431,479,551,556,577,695,695,906,1856,1878,1923,1923,1941,1941,1941,1941,1941,1941,2069,2184
Fiji,https://dynamospanish.com/wp-content/uploads/flags/images/Fiji/2/large/Fiji.png,0,0,1,22,22,22,22,46,46,57,60,62,69,69,69,69,73,78,85,100,101,101,103,103,103,103,148,148
Finland,https://dynamospanish.com/wp-content/uploads/flags/images/Finland/2/large/Finland.png,0,0,0,0,0,0,0,0,2,2,5,7,7,7,7,7,7,9,9,10,10,12,12,13,13,13,13,13
France,https://dynamospanish.com/wp-content/uploads/flags/images/France/2/large/France.png,33,65,124,141,179,195,225,247,289,536,558,586,635,660,686,716,763,788,805,831,901,922,934,961,979,1001,1001,1002
Gabon,https://dynamospanish.com/wp-content/uploads/flags/images/Gabon/2/large/Gabon.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Gambia,https://dynamospanish.com/wp-content/uploads/flags/images/Gambia/2/large/Gambia.png,0,0,0,0,0,0,0,0,0,52,52,53,53,55,56,56,56,56,56,60,68,68,68,70,70,70,70,70
Georgia,https://dynamospanish.com/wp-content/uploads/flags/images/Georgia/2/large/Georgia.png,0,277,277,277,277,278,278,284,284,284,284,284,289,289,289,289,296,297,297,298,300,307,308,309,314,320,320,320
Germany,https://dynamospanish.com/wp-content/uploads/flags/images/Germany/2/large/Germany.png,63,63,63,74,87,93,94,94,97,115,115,123,156,158,160,166,174,194,199,207,213,222,222,233,243,250,257,257
Ghana,https://dynamospanish.com/wp-content/uploads/flags/images/Ghana/2/large/Ghana.png,0,4,4,4,4,149,149,149,149,200,200,212,215,215,215,215,215,270,270,310,373,387,387,391,391,416,426,445
Gibraltar,https://dynamospanish.com/wp-content/uploads/flags/images/Gibraltar/2/large/Gibraltar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,https://dynamospanish.com/wp-content/uploads/flags/images/Greece/2/large/Greece.png,4,6,6,7,22,34,35,43,47,162,163,175,176,176,176,176,176,178,180,180,180,180,180,180,186,193,197,221
Greenland,https://dynamospanish.com/wp-content/uploads/flags/images/Greenland/2/large/Greenland.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Grenada,https://dynamospanish.com/wp-content/uploads/flags/images/Grenada/2/large/Grenada.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Guatemala,https://dynamospanish.com/wp-content/uploads/flags/images/Guatemala/2/large/Guatemala.png,0,37,37,37,47,78,78,78,512,525,566,572,575,602,607,930,949,972,1034,1035,1037,1112,1119,1130,1143,1149,1159,1178
Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea/2/large/Guinea.png,0,0,0,0,0,0,0,0,0,0,3,12,12,12,12,12,12,12,12,14,22,22,22,22,22,38,38,38
Guinea-Bissau,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea_Bissau/2/large/Guinea_Bissau.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4,4,4,4,4,4,4
Guyana,https://dynamospanish.com/wp-content/uploads/flags/images/Guyana/2/large/Guyana.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34
Haiti,https://dynamospanish.com/wp-content/uploads/flags/images/Haiti/2/large/Haiti.png,0,0,0,12,12,12,95,95,284,297,313,339,375,438,3105,3180,3196,3359,4056,4077,226735,226771,226826,226832,226843,226853,227445,227475
Honduras,https://dynamospanish.com/wp-content/uploads/flags/images/Honduras/2/large/Honduras.png,4,4,4,416,566,584,592,592,15191,15225,15225,15245,15256,15266,15266,15273,15276,15282,15348,15355,15498,15531,15531,15531,15534,15534,15535,15548
Hong Kong,https://dynamospanish.com/wp-content/uploads/flags/images/Hong_Kong/2/large/Hong_Kong.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,https://dynamospanish.com/wp-content/uploads/flags/images/Hungary/2/large/Hungary.png,0,0,0,0,0,0,2,2,2,90,91,91,91,97,97,101,106,106,106,106,106,106,106,106,106,106,106,106
Iceland,https://dynamospanish.com/wp-content/uploads/flags/images/Iceland/2/large/Iceland.png,0,1,1,1,1,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
India,https://dynamospanish.com/wp-content/uploads/flags/images/India/2/large/India.png,2070,4699,5604,16852,19055,21422,24263,26706,32602,43487,45729,66493,67376,68009,85727,89476,90857,92908,94642,96292,97282,98106,98440,104996,105862,106983,107790,109769
Indonesia,https://dynamospanish.com/wp-content/uploads/flags/images/Indonesia/2/large/Indonesia.png,229,402,3034,3168,3777,4007,4300,4321,4359,4409,4873,5452,5700,6159,172200,173398,180699,181388,181519,183015,184309,184437,184527,184700,184942,184995,185186,185291
Iran,https://dynamospanish.com/wp-content/uploads/flags/images/Iran/2/large/Iran.png,40042,40427,40494,41298,41351,41378,41435,44215,44425,44527,44541,45222,45513,72330,73034,73770,73850,73873,73931,73931,73950,73952,74275,74344,74361,74424,74427,75271
Iraq,https://dynamospanish.com/wp-content/uploads/flags/images/Iraq/2/large/Iraq.png,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,38,38,42,43,43,49,54,65,65,122,122,131
Ireland,https://dynamospanish.com/wp-content/uploads/flags/images/Ireland/2/large/Ireland.png,1,1,1,3,3,3,4,4,5,6,6,6,6,6,6,8,8,8,8,8,8,9,9,9,10,11,11,11
Israel,https://dynamospanish.com/wp-content/uploads/flags/images/Israel/2/large/Israel.png,0,4,4,4,4,4,4,21,21,23,25,27,28,28,28,28,28,28,28,28,29,29,29,32,32,32,32,32
Italy,https://dynamospanish.com/wp-content/uploads/flags/images/Italy/2/large/Italy.png,33,66,74,80,181,184,211,225,357,375,442,451,476,509,531,543,562,572,589,967,1007,1034,1078,1117,1148,1184,1483,1525
Jamaica,https://dynamospanish.com/wp-content/uploads/flags/images/Jamaica/2/large/Jamaica.png,0,14,14,22,25,25,25,25,25,25,25,26,38,38,39,43,43,47,59,59,59,59,59,59,59,59,59,59
Japan,https://dynamospanish.com/wp-content/uploads/flags/images/Japan/2/large/Japan.png,146,321,360,839,861,6378,6445,6504,6594,6745,6789,6831,6858,6918,7136,7176,7262,7312,7364,7415,7451,26510,26597,26687,26946,26976,27057,27107
Jordan,https://dynamospanish.com/wp-content/uploads/flags/images/Jordan/2/large/Jordan.png,0,10,10,10,10,10,10,12,12,12,21,21,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28
Kazakhstan,https://dynamospanish.com/wp-content/uploads/flags/images/Kazakhstan/2/large/Kazakhstan.png,0,0,0,10,10,122,122,122,122,122,122,122,122,124,131,138,144,144,150,154,159,164,169,171,179,183,183,183
Kenya,https://dynamospanish.com/wp-content/uploads/flags/images/Kenya/2/large/Kenya.png,44,44,44,44,44,44,44,130,170,170,170,173,273,313,368,393,605,623,688,724,948,980,1052,1179,1179,1260,1318,1343
