country,url,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,https://dynamospanish.com/wp-content/uploads/flags/images/Afghanistan/2/large/Afghanistan.png,Asia & the Pacific,2044000,1891000,1910000,1820000,1844000,1843000,1874000,1903000,1852000,1790000,1737000,1826000,1892000,1967000,1948000,1966000,2046000,2041000,2081000,2104000,2107000,2100000,2090000
Albania,https://dynamospanish.com/wp-content/uploads/flags/images/Albania/2/large/Albania.png,Europe,2572000,2654000,2795000,2877000,2717000,2843000,2725000,2725000,2797000,2734000,2803000,2864000,2772000,2792000,2874000,2855000,2860000,2947000,2993000,3076000,3132000,3184000,3193000
Algeria,https://dynamospanish.com/wp-content/uploads/flags/images/Algeria/2/large/Algeria.png,Africa,2733000,2865000,2865000,2763000,2785000,2784000,2733000,2792000,2843000,2812000,2886000,2925000,2970000,2987000,2958000,3047000,3041000,3048000,3110000,3142000,3217000,3272000,3296000
Andorra,https://dynamospanish.com/wp-content/uploads/flags/images/Andorra/2/large/Andorra.png,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,https://dynamospanish.com/wp-content/uploads/flags/images/Angola/2/large/Angola.png,Africa,1611000,1625000,1564000,1644000,1687000,1731000,1732000,1752000,1805000,1792000,1833000,1915000,1983000,2030000,2077000,2119000,2173000,2245000,2303000,2345000,2407000,2384000,2473000
Antigua & Barbuda,https://dynamospanish.com/wp-content/uploads/flags/images/Antigua_and_Barbuda/2/large/Antigua_and_Barbuda.png,Latin America & the Caribbean,2532000,2545000,2376000,2255000,2188000,2190000,2163000,2154000,2158000,2150000,2085000,2069000,2071000,2107000,2331000,2328000,2411000,2380000,2322000,2316000,2369000,2293000,2417000
Argentina,https://images.reference.com/amg-cms-reference-images/prod/argentina-flag-colors-meaning-of_b7cf58aa-cdaa-479b-867d-2b57d7a723da.jpg,Latin America & the Caribbean,3010000,3077000,3116000,3155000,3163000,3156000,3132000,3163000,3265000,3260000,3212000,2977000,3009000,3028000,3107000,3114000,3145000,3158000,3132000,3155000,3161000,3197000,3229000
Armenia,https://dynamospanish.com/wp-content/uploads/flags/images/Armenia/2/large/Armenia.png,Europe,3032000,2184000,2099000,2181000,2270000,2320000,2330000,2320000,2288000,2236000,2239000,2259000,2432000,2554000,2668000,2757000,2761000,2869000,2819000,2768000,2788000,2882000,2928000
Aruba,https://dynamospanish.com/wp-content/uploads/flags/images/Aruba/2/large/Aruba.png,Latin America & the Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,https://dynamospanish.com/wp-content/uploads/flags/images/Australia/2/large/Australia.png,Oceania,3121000,3125000,3042000,3054000,3099000,3077000,3096000,3015000,3014000,2991000,3048000,3077000,3104000,3052000,3099000,3156000,3198000,3199000,3205000,3213000,3237000,3257000,3276000
Austria,https://dynamospanish.com/wp-content/uploads/flags/images/Austria/2/large/Austria.png,Europe,3556000,3546000,3508000,3557000,3510000,3551000,3494000,3608000,3673000,3726000,3728000,3652000,3609000,3606000,3640000,3719000,3737000,3717000,3723000,3724000,3735000,3739000,3768000
Azerbaijan,https://dynamospanish.com/wp-content/uploads/flags/images/Azerbaijan/2/large/Azerbaijan.png,Asia & the Pacific,3032000,2318000,2235000,2159000,2126000,2223000,2021000,2119000,2185000,2282000,2371000,2461000,2554000,2639000,2837000,3006000,3019000,3026000,2995000,2973000,3039000,3055000,3118000
