country,url,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
China,https://dynamospanish.com/wp-content/uploads/flags/images/China/2/large/China.png,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008
Chad,https://dynamospanish.com/wp-content/uploads/flags/images/Chad/2/large/Chad.png,,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119
Indonesia,https://dynamospanish.com/wp-content/uploads/flags/images/Indonesia/2/large/Indonesia.png,,,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238
Bangladesh,https://dynamospanish.com/wp-content/uploads/flags/images/Bangladesh/2/large/Bangladesh.png,,,,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244
Myanmar,https://dynamospanish.com/wp-content/uploads/flags/images/Myanmar/2/large/Myanmar.png,,,,,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,1280
Spain,https://dynamospanish.com/wp-content/uploads/flags/images/Spain/2/large/Spain.png,,,,,,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,,,,,,,,,,,,,,,,,,,,,,,,,,1288
Mali,https://dynamospanish.com/wp-content/uploads/flags/images/Mali/2/large/Mali.png,,,,,,,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,,,,,,,,,,,,,,,,,,,,,,,,,1432
Niger,https://dynamospanish.com/wp-content/uploads/flags/images/Niger/2/large/Niger.png,,,,,,,,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,,,,,,,,,,,,,,,,,,,,,,,,1474
Palestine,http://www.think-israel.org/jan12pix/palestine.flag.jpg,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,1500
Iran,https://dynamospanish.com/wp-content/uploads/flags/images/Iran/2/large/Iran.png,,,,,,,,,,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,,,,,,,,,,,,,,,,,,,,,,1673
Israel,https://dynamospanish.com/wp-content/uploads/flags/images/Israel/2/large/Israel.png,,,,,,,,,,,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,,,,,,,,,,,,,,,,,,,,,1703
Ethiopia,https://dynamospanish.com/wp-content/uploads/flags/images/Ethiopia/2/large/Ethiopia.png,,,,,,,,,,,,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,,,,,,,,,,,,,,,,,,,,1765
Kenya,https://dynamospanish.com/wp-content/uploads/flags/images/Kenya/2/large/Kenya.png,,,,,,,,,,,,,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,,,,,,,,,,,,,,,,,,,1948
