item,value
London 2012 Summer Olympics,"3600000000.1"
Rio 2016 Summer Olympics,"3600000000"
Russia 2018 FIFA World Cup,"3572000000"
Beijing 2008 Summer Olympics,"3510000000"
Atlanta 1996 Summer Olympics,"3500000000.11"
Sydney 2000 Summer Olympics,"3500000000.1"
Athens 2004 Summer Olympics,"3500000000"
France 1998 FIFA World Cup,"3400000000"
South Africa 2010 FIFA World Cup,"3200000000.1"
Brazil 2014 FIFA World Cup,"3200000000"
Korea & Japan 2002 FIFA World Cup,"3000000000.1"
Germany 2006 FIFA World Cup,"3000000000"
2019 ICC Cricket World Cup (England & Wales),"2600000000"
2015 ICC Cricket World Cup (Australia & New Zealand),"2200000000"
Salt Lake 2002 Winter Olympics,"2100000000.111"
Torino 2006 Winter Olympics,"2100000000.11"
Vancouver 2010 Winter Olympics,"2100000000.1"
Sochi 2014 Winter Olympics,"2100000000"
PyeongChang 2018 Winter Olympics,"2020000000"
Muhammad Ali vs Leon Spinks II - 1978,"2000000000.1111111"
Moscow 1980 Summer Olympics,"2000000000.111111"
Muhammad Ali vs Larry Holmes: The Last Hurrah - 1980,"2000000000.11111"
Los Angeles 1984 Summer Olympics,"2000000000.1111"
Seoul 1988 Summer Olympics,"2000000000.111"
Barcelona 1992 Summer Olympics,"2000000000.11"
1998 FIFA World Cup Final: France vs Brazil,"2000000000.1"
2002 FIFA World Cup Final: Brazil vs Germany,"2000000000"
Montreal 1976 Summer Olympics,"1500000000"
Muhammad Ali vs Antonio Inoki - 1976,"1400000000"
2014 FIFA World Cup Final: Argentina vs Germany,"1013000000"
Muhammad Ali vs George Foreman: The Rumble in the Jungle - 1974,"1000000002"
Muhammad Ali vs Joe Frazier III: Thrilla in Manila - 1975,"1000000001"
1990 FIFA World Cup Italia,"1000000000.11111111"
1994 FIFA World Cup USA,"1000000000.1111111"
2006 FIFA World Cup Final: France vs Italy,"1000000000.111111"
2010 FIFA World Cup Final: Spain vs Netherlands,"1000000000.11111"
2011 ICC Cricket World Cup Final: India vs Sri Lanka,"1000000000.1111"
2015 ICC Cricket World Cup: India vs Pakistan,"1000000000.111"
2016 Wimbledon Championships,"1000000000.11"
2018 FIFA World Cup Final: France vs Croatia,"1000000000.01"
2019 ICC Cricket World Cup: India vs Pakistan,"1000000000"
