Rank,Team,Sport,League,Value
50,New Orleans Saints,American football,NFL,$2.080
49,Jacksonville Jaguars,American football,NFL,$2.080
47,Kansas City Chiefs,American football,NFL,$2.100
47,St. Louis Cardinals,Baseball,MLB,$2.100
46,Arizona Cardinals,American football,NFL,$2.150
45,Liverpool,Association football,EPL,$2.180
44,Los Angeles Clippers,Basketball,NBA,$2.200
43,Dallas Mavericks,Basketball,NBA,$2.225
42,Arsenal,Association football,EPL,$2.270
41,Los Angeles Chargers,American football,NFL,$2.280
38,Houston Rockets,Basketball,NBA,$2.300
38,Carolina Panthers,American football,NFL,$2.300
38,New York Mets,Baseball,MLB,$2.300
37,Brooklyn Nets,Basketball,NBA,$2.350
36,Indianapolis Colts,American football,NFL,$2.380
35,Minnesota Vikings,American football,NFL,$2.400
34,Oakland Raiders,American football,NFL,$2.420
33,Miami Dolphins,American football,NFL,$2.580
32,Chelsea,Association football,EPL,$2.580
31,Seattle Seahawks,American football,NFL,$2.580
30,Pittsburgh Steelers,American football,NFL,$2.585
29,Baltimore Ravens,American football,NFL,$2.590
28,Atlanta Falcons,American football,NFL,$2.600
27,Green Bay Packers,American football,NFL,$2.630
26,Denver Broncos,American football,NFL,$2.650
25,Manchester City,Association football,EPL,$2.690
24,Philadelphia Eagles,American football,NFL,$2.750
22,Houston Texans,American football,NFL,$2.800
22,Boston Celtics,Basketball,NBA,$2.800
21,New York Jets,American football,NFL,$2.850
19,Chicago Bears,American football,NFL,$2.900
19,Chicago Bulls,Basketball,NBA,$2.900
18,San Francisco Giants,Baseball,MLB,$3.000
17,Bayern Munich,Association football,Bundesliga,$3.020
16,San Francisco 49ers,American football,NFL,$3.050
14,Washington Redskins,American football,NFL,$3.100
14,Chicago Cubs,Baseball,MLB,$3.100
12,Boston Red Sox,Baseball,MLB,$3.200
12,Los Angeles Rams,American football,NFL,$3.200
10,New York Giants,American football,NFL,$3.300
10,Los Angeles Dodgers,Baseball,MLB,$3.300
9,Golden State Warriors,Basketball,NBA,$3.500
8,Los Angeles Lakers,Basketball,NBA,$3.700
7,New England Patriots,American football,NFL,$3.800
6,Manchester United,Association football,EPL,$3.810
5,New York Knicks,Basketball,NBA,$4.000
4,FC Barcelona,Association football,La Liga,$4.020
3,Real Madrid,Association football,La Liga,$4.240
2,New York Yankees,Baseball,MLB,$4.600
1,Dallas Cowboys,American football,NFL,$5.000
