country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"","","","","",3,"","",3,"","","",3,6,5,1,0,0,2,0,10,6,2,33,0,16,15,8,27,25,26,43,0
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,4,4,1,12,10,5,4,9,4,4,11,0,6,13,11,23,23,28,12,11,15,11,20,16,18,27
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"",2,7,5,"","",3,"","",0,4,2,11,11,12,0,13,9,12,0,8,87,42,33,41,0,104,45,57,73,263,0,139
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","",1,"",3,9,0,39,22,0,13,25,20,31,24,36,43,41,26,36,6,14,38,11
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,0,0,0,0,1,1,0,3,0,0,1,0,0
Antigua & Barbuda,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","",0,0,0,0,2,0,4,0,0,0,0,0,0,2,6
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",1,6,1,3,"",7,"",12,3,11,11,9,14,18,31,30,67,41,35,86,115,87,101,55,75,146,0,167,0,132
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","","","","","","","","",3,2,7,7,10,22,26,37,7,14,24,30,4,71,25,39,43,52,0,58,50,39,92,73
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,0,0,0,0,1,3,0,0,0,2,1,2,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,1,0,0,0,1,0,2,1,3,4,8,11,7,4,11,6,20,12,14,30,41,52,49,77,79,111,144,165,224,611,114,600,376,367,212,431,284,464,150,269,248,324
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,3,4,4,6,5,12,33,25,3,29,51,64,115,143,151,205,156,316,314,550,453,375,607,855,796,606,1141,668,594,522,805,564,529,418,396
