country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"","","","","",4,"","",7,"","","",10,16,21,22,22,22,24,24,34,40,42,75,75,91,106,114,141,166,192,235,235,270,299,337
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,6,10,11,23,33,38,42,51,55,59,70,70,76,89,100,123,146,174,186,197,212,223,243,259,277,304,333,361,377
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,"",5,12,17,"","",20,"","",20,24,26,37,48,60,60,73,82,94,94,102,189,231,264,305,305,409,454,511,584,847,847,986,1300,1320,1423
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","",2,"",5,14,14,53,75,75,88,113,133,164,188,224,267,308,334,370,376,390,428,439,466,501,526
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,2,2,2,2,3,4,4,7,7,7,8,8,8,10,14,16
Antigua & Barbuda,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","",1,1,1,1,3,3,7,7,7,7,7,7,7,9,15,15,15,15
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",2,8,9,12,"",19,"",31,34,45,56,65,79,97,128,158,225,266,301,387,502,589,690,745,820,966,966,1133,1133,1265,1451,1554,1628
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","","","","","","","","",4,6,13,20,30,52,78,115,122,136,160,190,194,265,290,329,372,424,424,482,532,571,663,736,770,822,833
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,0,0,0,0,1,4,4,4,4,6,7,9,11,11,11,12,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,17,21,22,22,22,22,23,23,25,26,29,33,41,52,59,63,74,80,100,112,126,156,197,249,298,375,454,565,709,874,1098,1709,1823,2423,2799,3166,3378,3809,4093,4557,4707,4976,5224,5548,5687,5744,5844
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,7,10,14,18,24,29,41,74,99,102,131,182,246,361,504,655,860,1016,1332,1646,2196,2649,3024,3631,4486,5282,5888,7029,7697,8291,8813,9618,10182,10711,11129,11525,11766,11983,12297
