country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"","","","","",4.0,"","",7.0,"","","",10.0,16.0,21.0,22.0,22.0,22.0,24.0,24.0,34.0,40.0,42.0,75.0,75.0,91.0,106.0,114.0,141.0,166.0,192.0,235.0,235.0,270.0,299.0,337.0,367.0,423.0,484.0,521.0,555.0,607.0,665.0,714.0,784.0,794.0,845.0
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,6.0,10.0,11.0,23.0,33.0,38.0,42.0,51.0,55.0,59.0,70.0,70.0,76.0,89.0,100.0,123.0,146.0,174.0,186.0,197.0,212.0,223.0,243.0,259.0,277.0,304.0,333.0,361.0,377.0,383.0,400.0,409.0,416.0,433.0,446.0,467.0,475.0,494.0,518.0,539.0
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,"",5.0,12.0,17.0,"","",20.0,"","",20.0,25.0,26.0,37.0,48.0,58.0,60.0,72.0,90.0,102.0,139.0,201.0,230.0,264.0,302.0,367.0,409.0,454.0,511.0,584.0,716.0,847.0,986.0,1171.0,1251.0,1320.0,1423.0,1468.0,1572.0,1666.0,1761.0,1825.0,1914.0,1983.0,2070.0,2160.0,2268.0,2418.0
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","","","","","","","","","",2.0,"",5.0,14.0,14.0,53.0,75.0,75.0,88.0,113.0,133.0,164.0,188.0,224.0,267.0,308.0,334.0,370.0,376.0,390.0,428.0,439.0,466.0,501.0,526.0,545.0,564.0,583.0,601.0,622.0,638.0,646.0,659.0,673.0,682.0,696.0
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,14.0,16.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Antigua & Barbuda,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","","","","",1.0,1.0,1.0,1.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"",2.0,8.0,9.0,12.0,"",19.0,"",31.0,34.0,45.0,56.0,65.0,79.0,97.0,128.0,158.0,225.0,266.0,301.0,387.0,502.0,589.0,690.0,745.0,820.0,966.0,966.0,1133.0,1133.0,1265.0,1451.0,1554.0,1628.0,1715.0,1795.0,1894.0,1975.0,2137.0,2203.0,2272.0,2432.0,2432.0,2560.0,2658.0
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"","","","","","","","","",4.0,6.0,13.0,20.0,30.0,52.0,78.0,115.0,122.0,136.0,160.0,190.0,194.0,265.0,290.0,329.0,372.0,424.0,424.0,482.0,532.0,571.0,663.0,736.0,770.0,822.0,833.0,853.0,881.0,921.0,937.0,967.0,1013.0,1039.0,1111.0,1159.0,1201.0,1248.0
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,6.0,7.0,9.0,11.0,11.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,21.0,22.0,22.0,22.0,22.0,23.0,23.0,25.0,26.0,29.0,33.0,41.0,52.0,59.0,63.0,74.0,80.0,100.0,112.0,126.0,156.0,197.0,249.0,298.0,375.0,454.0,565.0,709.0,874.0,1098.0,1709.0,1823.0,2423.0,2799.0,3166.0,3378.0,3809.0,4093.0,4557.0,4707.0,4976.0,5224.0,5548.0,5687.0,5744.0,5844.0,5956.0,6052.0,6152.0,6238.0,6289.0,6322.0,6366.0,6416.0,6458.0,6497.0,6533.0
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,7.0,10.0,14.0,18.0,24.0,29.0,41.0,74.0,99.0,102.0,131.0,182.0,246.0,361.0,504.0,655.0,860.0,1016.0,1332.0,1646.0,2196.0,2649.0,3024.0,3631.0,4486.0,5282.0,5888.0,7029.0,7697.0,8291.0,8813.0,9618.0,10182.0,10711.0,11129.0,11525.0,11766.0,11983.0,12297.0,12640.0,12969.0,13248.0,13560.0,13807.0,13937.0,14043.0,14234.0,14370.0,14448.0,14603.0
