Entity,Code,Date,Value
Africa,AFR,"Dec 31, 2019",0
Africa,AFR,"Jan 1, 2020",0
Africa,AFR,"Jan 2, 2020",0
Africa,AFR,"Jan 3, 2020",0
Africa,AFR,"Jan 4, 2020",0
Africa,AFR,"Jan 5, 2020",0
Africa,AFR,"Jan 6, 2020",0
Africa,AFR,"Jan 7, 2020",0
Africa,AFR,"Jan 8, 2020",0
Africa,AFR,"Jan 9, 2020",0
Africa,AFR,"Jan 10, 2020",0
Africa,AFR,"Jan 11, 2020",0
Africa,AFR,"Jan 12, 2020",0
Africa,AFR,"Jan 13, 2020",0
Africa,AFR,"Jan 14, 2020",0
Africa,AFR,"Jan 15, 2020",0
Africa,AFR,"Jan 16, 2020",0
Africa,AFR,"Jan 17, 2020",0
Africa,AFR,"Jan 18, 2020",0
Africa,AFR,"Jan 19, 2020",0
Africa,AFR,"Jan 20, 2020",0
Africa,AFR,"Jan 21, 2020",0
Africa,AFR,"Jan 22, 2020",0
Africa,AFR,"Jan 23, 2020",0
Africa,AFR,"Jan 24, 2020",0
Africa,AFR,"Jan 25, 2020",0
Africa,AFR,"Jan 26, 2020",0
Africa,AFR,"Jan 27, 2020",0
Africa,AFR,"Jan 28, 2020",0
Africa,AFR,"Jan 29, 2020",0
Africa,AFR,"Jan 30, 2020",0
Africa,AFR,"Jan 31, 2020",0
Africa,AFR,"Feb 1, 2020",0
Africa,AFR,"Feb 2, 2020",0
Africa,AFR,"Feb 3, 2020",0
Africa,AFR,"Feb 4, 2020",0
Africa,AFR,"Feb 5, 2020",0
Africa,AFR,"Feb 6, 2020",0
Africa,AFR,"Feb 7, 2020",0
Africa,AFR,"Feb 8, 2020",0
Africa,AFR,"Feb 9, 2020",0
Africa,AFR,"Feb 10, 2020",0
Africa,AFR,"Feb 11, 2020",0
Africa,AFR,"Feb 12, 2020",0
Africa,AFR,"Feb 13, 2020",0
Africa,AFR,"Feb 14, 2020",0
Africa,AFR,"Feb 15, 2020",0
Africa,AFR,"Feb 16, 2020",0
Africa,AFR,"Feb 17, 2020",0
Africa,AFR,"Feb 18, 2020",0
Africa,AFR,"Feb 19, 2020",0
Africa,AFR,"Feb 20, 2020",0
Africa,AFR,"Feb 21, 2020",0
Africa,AFR,"Feb 22, 2020",0
Africa,AFR,"Feb 23, 2020",0
Africa,AFR,"Feb 24, 2020",0
Africa,AFR,"Feb 25, 2020",0
Africa,AFR,"Feb 26, 2020",0
Africa,AFR,"Feb 27, 2020",0
Africa,AFR,"Feb 28, 2020",0
Africa,AFR,"Feb 29, 2020",0
Africa,AFR,"Mar 1, 2020",0
Africa,AFR,"Mar 2, 2020",0
Africa,AFR,"Mar 3, 2020",0
Africa,AFR,"Mar 4, 2020",0
Africa,AFR,"Mar 5, 2020",0
Africa,AFR,"Mar 6, 2020",0
Africa,AFR,"Mar 7, 2020",0
Africa,AFR,"Mar 8, 2020",0
Africa,AFR,"Mar 9, 2020",1
Africa,AFR,"Mar 10, 2020",1
Africa,AFR,"Mar 11, 2020",1
Africa,AFR,"Mar 12, 2020",2
Africa,AFR,"Mar 13, 2020",4
Africa,AFR,"Mar 14, 2020",5
Africa,AFR,"Mar 15, 2020",6
Africa,AFR,"Mar 16, 2020",8
Africa,AFR,"Mar 17, 2020",8
Africa,AFR,"Mar 18, 2020",12
Africa,AFR,"Mar 19, 2020",16
Africa,AFR,"Mar 20, 2020",17
Africa,AFR,"Mar 21, 2020",24
Africa,AFR,"Mar 22, 2020",35
Africa,AFR,"Mar 23, 2020",44
Africa,AFR,"Mar 24, 2020",52
Africa,AFR,"Mar 25, 2020",64
Africa,AFR,"Mar 26, 2020",72
Africa,AFR,"Mar 27, 2020",84
Africa,AFR,"Mar 28, 2020",103
Africa,AFR,"Mar 29, 2020",124
Africa,AFR,"Mar 30, 2020",143
Africa,AFR,"Mar 31, 2020",166
Africa,AFR,"Apr 1, 2020",189
Africa,AFR,"Apr 2, 2020",224
Africa,AFR,"Apr 3, 2020",256
Africa,AFR,"Apr 4, 2020",305
Africa,AFR,"Apr 5, 2020",379
Africa,AFR,"Apr 6, 2020",434
Africa,AFR,"Apr 7, 2020",477
Africa,AFR,"Apr 8, 2020",522
Africa,AFR,"Apr 9, 2020",573
Africa,AFR,"Apr 10, 2020",630
Africa,AFR,"Apr 11, 2020",691
Africa,AFR,"Apr 12, 2020",743
Africa,AFR,"Apr 13, 2020",789
Africa,AFR,"Apr 14, 2020",835
Africa,AFR,"Apr 15, 2020",876
Africa,AFR,"Apr 16, 2020",911
Africa,AFR,"Apr 17, 2020",965
Africa,AFR,"Apr 18, 2020",1016
Africa,AFR,"Apr 19, 2020",1057
Africa,AFR,"Apr 20, 2020",1120
Africa,AFR,"Apr 21, 2020",1155
Africa,AFR,"Apr 22, 2020",1189
Africa,AFR,"Apr 23, 2020",1232
Africa,AFR,"Apr 24, 2020",1286
Africa,AFR,"Apr 25, 2020",1334
Africa,AFR,"Apr 26, 2020",1382
Asia,ASA,"Dec 31, 2019",0
Asia,ASA,"Jan 1, 2020",0
Asia,ASA,"Jan 2, 2020",0
Asia,ASA,"Jan 3, 2020",0
Asia,ASA,"Jan 4, 2020",0
Asia,ASA,"Jan 5, 2020",0
Asia,ASA,"Jan 6, 2020",0
Asia,ASA,"Jan 7, 2020",0
Asia,ASA,"Jan 8, 2020",0
Asia,ASA,"Jan 9, 2020",0
Asia,ASA,"Jan 10, 2020",0
Asia,ASA,"Jan 11, 2020",1
Asia,ASA,"Jan 12, 2020",1
Asia,ASA,"Jan 13, 2020",1
Asia,ASA,"Jan 14, 2020",1
Asia,ASA,"Jan 15, 2020",2
Asia,ASA,"Jan 16, 2020",2
Asia,ASA,"Jan 17, 2020",2
Asia,ASA,"Jan 18, 2020",2
Asia,ASA,"Jan 19, 2020",3
Asia,ASA,"Jan 20, 2020",3
Asia,ASA,"Jan 21, 2020",6
Asia,ASA,"Jan 22, 2020",17
Asia,ASA,"Jan 23, 2020",17
Asia,ASA,"Jan 24, 2020",26
Asia,ASA,"Jan 25, 2020",41
Asia,ASA,"Jan 26, 2020",56
Asia,ASA,"Jan 27, 2020",81
Asia,ASA,"Jan 28, 2020",106
Asia,ASA,"Jan 29, 2020",132
Asia,ASA,"Jan 30, 2020",170
Asia,ASA,"Jan 31, 2020",213
Asia,ASA,"Feb 1, 2020",259
Asia,ASA,"Feb 2, 2020",305
Asia,ASA,"Feb 3, 2020",362
Asia,ASA,"Feb 4, 2020",427
Asia,ASA,"Feb 5, 2020",493
Asia,ASA,"Feb 6, 2020",565
Asia,ASA,"Feb 7, 2020",638
Asia,ASA,"Feb 8, 2020",724
Asia,ASA,"Feb 9, 2020",813
Asia,ASA,"Feb 10, 2020",910
Asia,ASA,"Feb 11, 2020",1018
Asia,ASA,"Feb 12, 2020",1115
Asia,ASA,"Feb 13, 2020",1370
Asia,ASA,"Feb 14, 2020",1383
Asia,ASA,"Feb 15, 2020",1526
Asia,ASA,"Feb 16, 2020",1668
Asia,ASA,"Feb 17, 2020",1774
Asia,ASA,"Feb 18, 2020",1872
Asia,ASA,"Feb 19, 2020",2011
Asia,ASA,"Feb 20, 2020",2125
Asia,ASA,"Feb 21, 2020",2244
Asia,ASA,"Feb 22, 2020",2356
Asia,ASA,"Feb 23, 2020",2458
Asia,ASA,"Feb 24, 2020",2613
Asia,ASA,"Feb 25, 2020",2688
Asia,ASA,"Feb 26, 2020",2746
Asia,ASA,"Feb 27, 2020",2782
Asia,ASA,"Feb 28, 2020",2834
Asia,ASA,"Feb 29, 2020",2892
Asia,ASA,"Mar 1, 2020",2940
Asia,ASA,"Mar 2, 2020",2999
Asia,ASA,"Mar 3, 2020",3049
Asia,ASA,"Mar 4, 2020",3101
Asia,ASA,"Mar 5, 2020",3150
Asia,ASA,"Mar 6, 2020",3204
Asia,ASA,"Mar 7, 2020",3251
Asia,ASA,"Mar 8, 2020",3305
Asia,ASA,"Mar 9, 2020",3383
Asia,ASA,"Mar 10, 2020",3448
Asia,ASA,"Mar 11, 2020",3534
Asia,ASA,"Mar 12, 2020",3622
Asia,ASA,"Mar 13, 2020",3710
Asia,ASA,"Mar 14, 2020",3826
Asia,ASA,"Mar 15, 2020",3937
Asia,ASA,"Mar 16, 2020",4072
Asia,ASA,"Mar 17, 2020",4222
Asia,ASA,"Mar 18, 2020",4384
Asia,ASA,"Mar 19, 2020",4551
Asia,ASA,"Mar 20, 2020",4738
Asia,ASA,"Mar 21, 2020",4915
Asia,ASA,"Mar 22, 2020",5089
Asia,ASA,"Mar 23, 2020",5276
Asia,ASA,"Mar 24, 2020",5448
Asia,ASA,"Mar 25, 2020",5607
Asia,ASA,"Mar 26, 2020",5800
Asia,ASA,"Mar 27, 2020",6041
Asia,ASA,"Mar 28, 2020",6244
Asia,ASA,"Mar 29, 2020",6470
Asia,ASA,"Mar 30, 2020",6670
Asia,ASA,"Mar 31, 2020",6889
Asia,ASA,"Apr 1, 2020",7124
Asia,ASA,"Apr 2, 2020",7402
Asia,ASA,"Apr 3, 2020",7697
Asia,ASA,"Apr 4, 2020",7847
Asia,ASA,"Apr 5, 2020",8291
Asia,ASA,"Apr 6, 2020",8619
Asia,ASA,"Apr 7, 2020",8898
Asia,ASA,"Apr 8, 2020",9214
Asia,ASA,"Apr 9, 2020",9502
Asia,ASA,"Apr 10, 2020",9853
Asia,ASA,"Apr 11, 2020",10182
Asia,ASA,"Apr 12, 2020",10568
Asia,ASA,"Apr 13, 2020",10956
Asia,ASA,"Apr 14, 2020",11298
Asia,ASA,"Apr 15, 2020",11687
Asia,ASA,"Apr 16, 2020",12027
Asia,ASA,"Apr 17, 2020",13658
Asia,ASA,"Apr 18, 2020",14022
Asia,ASA,"Apr 19, 2020",14331
