country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","",0.026,0.026,0.026,0.026,0.051,0.077,0.103,0.103,0.103,0.103,0.103,0.103,0.128,0.18,0.18,0.283,0.36,0.385,0.385,0.462,0.462,0.539,0.591,0.642,0.745,0.771,0.771,0.848,0.899,0.925,1.028,1.079,1.105,1.207,1.464,1.464,1.541,1.541,1.644,1.747
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","",0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.695,0.695,0.695,0.695,0.695,1.39,1.737,1.737,2.085,3.127,3.475,3.475,4.17,5.212,5.212,5.56,5.907,6.602,7.297,7.645,7.645,7.645,7.992,7.992,7.992,7.992,7.992,8.34,8.687,9.035,9.035,9.035,9.035,9.035,9.035,9.382,9.382,9.382,9.382,9.73,9.73,10.425,10.772,10.772,10.772
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,"","","","","","","","","","","","",0.023,0.046,0.046,0.091,0.091,0.114,0.137,0.16,0.228,0.342,0.388,0.388,0.433,0.479,0.57,0.593,0.661,0.707,0.798,1.003,1.323,1.437,2.394,2.965,3.466,3.945,4.401,4.675,5.359,5.838,6.271,6.682,7.138,7.411,7.662,7.936,8.301,8.369,8.552,8.757,8.939,9.167,9.281,9.464,9.555,9.692,9.852,9.966,10.125,10.262,10.33
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","",38.827,38.827,51.77,77.655,103.54,155.31,181.195,194.137,207.08,220.022,232.964,271.792,284.734,297.677,323.562,336.504,362.389,375.332,375.332,401.217,427.102,427.102,452.986,452.986,465.929,465.929,478.871,478.871,478.871,517.699,517.699,517.699,517.699,530.641,543.584,543.584,556.526
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
Antigua & Barbuda,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",20.423,20.423,20.423,20.423,20.423,20.423,20.423,20.423,20.423,20.423,20.423,30.635,30.635,30.635,30.635,30.635,30.635,30.635,30.635,30.635,30.635,30.635,30.635
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","",0.022,0.022,"",0.022,"",0.022,0.044,0.044,0.044,0.044,0.044,0.044,0.066,0.066,0.089,0.089,0.089,0.133,0.177,0.266,0.376,0.42,0.443,0.531,0.531,0.686,0.752,0.819,0.951,1.018,1.173,1.328,1.438,1.748,1.814,1.969,2.102,2.168,2.323,2.412,2.544,2.699,2.921,2.965,3.142,3.341,3.518,3.651,3.695,4.093,4.115,4.359,4.58,4.735,4.823,4.978
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.337,0.337,1.012,1.012,1.012,1.012,1.012,1.35,2.362,2.362,2.362,2.7,2.7,3.037,3.375,3.712,4.387,4.387,4.725,5.737,6.074,6.412,6.749,6.749,7.424,8.099,8.099,8.099,9.112,9.449,9.449,9.787,10.124,10.124,10.124,10.799,11.136
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,0.039,0.039,0.039,0.039,0.078,0.078,0.078,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.196,0.196,0.196,0.235,0.235,0.275,0.275,0.275,0.275,0.314,0.431,0.51,0.51,0.549,0.627,0.745,0.784,0.824,0.902,1.176,1.333,1.412,1.647,1.765,1.961,2.039,2.118,2.235,2.392,2.392,2.392,2.471,2.471,2.627,2.706,2.745,2.784,2.902,2.902,2.941,3.098,3.176,3.255,3.294,3.451,3.529,3.608,3.647
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,"","","","","","","","","","","","",0.111,0.111,0.111,0.111,0.333,0.333,0.444,0.666,0.666,0.888,1.777,2.776,3.331,3.775,5.774,7.55,7.55,9.549,11.991,14.212,16.211,17.543,18.653,20.652,22.651,24.427,26.981,30.312,32.754,35.419,37.418,38.861,40.86,42.636,43.636,45.523,47.855,49.187,50.187,51.297,51.408,54.85,56.404,56.959,59.513,60.179,60.957,63.177,64.399,64.843,65.398
