team,url,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20
Liverpool FC,https://s.hs-data.com/bilder/wappen/mittel/550.gif,86,149,207,259,320,404,466,526,602,677,774,856
Arsenal FC,https://s.hs-data.com/bilder/wappen/mittel/555.gif,72,147,215,285,358,437,512,583,658,721,791,831
Everton FC,https://s.hs-data.com/bilder/wappen/mittel/560.gif,63,124,178,234,297,369,416,463,524,573,627,664
Manchester United,https://s.hs-data.com/bilder/wappen/mittel/543.gif,90,175,255,344,433,497,567,633,702,783,849,894
Aston Villa,https://s.hs-data.com/bilder/wappen/mittel/559.gif,62,126,174,212,253,291,329,346,346,346,346,372
Manchester City,https://s.hs-data.com/bilder/wappen/mittel/750.gif,50,117,188,277,355,441,520,586,664,764,862,922
Tottenham Hotspur,https://s.hs-data.com/bilder/wappen/mittel/552.gif,51,121,183,252,324,393,457,527,613,690,761,802
Chelsea FC,https://s.hs-data.com/bilder/wappen/mittel/544.gif,83,169,240,304,379,461,548,598,691,761,833,881
Newcastle United,https://s.hs-data.com/bilder/wappen/mittel/546.gif,34,34,80,145,186,235,274,311,311,355,400,435
Sunderland AFC,https://s.hs-data.com/bilder/wappen/mittel/547.gif,36,80,127,172,211,249,287,326,350,350,350,350
West Bromwich Albion,https://s.hs-data.com/bilder/wappen/mittel/748.gif,32,32,79,126,175,211,255,298,343,374,374,374
Blackburn Rovers,https://s.hs-data.com/bilder/wappen/mittel/557.gif,41,91,134,165,165,165,165,165,165,165,165,165
Bolton Wanderers,https://s.hs-data.com/bilder/wappen/mittel/554.gif,41,80,126,162,162,162,162,162,162,162,162,162
Sheffield Wednesday,https://s.hs-data.com/bilder/wappen/mittel/745.gif,0,0,0,0,0,0,0,0,0,0,0,0
Wolverhampton Wanderers,https://s.hs-data.com/bilder/wappen/mittel/749.gif,0,38,78,103,103,103,103,103,103,103,160,203
Derby County,https://s.hs-data.com/bilder/wappen/mittel/542.gif,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield United,https://s.hs-data.com/bilder/wappen/mittel/2309.gif,0,0,0,0,0,0,0,0,0,0,0,44
West Ham United,https://s.hs-data.com/bilder/wappen/mittel/553.gif,51,86,119,119,165,205,252,314,359,401,453,480
Middlesbrough FC,https://s.hs-data.com/bilder/wappen/mittel/548.gif,32,32,32,32,32,32,32,32,60,60,60,60
Leeds United,https://s.hs-data.com/bilder/wappen/mittel/541.gif,0,0,0,0,0,0,0,0,0,0,0,0
Burnley FC,https://s.hs-data.com/bilder/wappen/mittel/3185.gif,0,30,30,30,30,30,63,63,103,157,197,236
Nottingham Forest,https://s.hs-data.com/bilder/wappen/mittel/743.gif,0,0,0,0,0,0,0,0,0,0,0,0
Stoke City,https://s.hs-data.com/bilder/wappen/mittel/2807.gif,45,92,138,183,225,275,329,380,424,457,457,457
Birmingham City,https://s.hs-data.com/bilder/wappen/mittel/2244.gif,0,50,89,89,89,89,89,89,89,89,89,89
Leicester City,https://s.hs-data.com/bilder/wappen/mittel/549.gif,0,0,0,0,0,0,41,122,166,213,265,318
Preston North End,https://s.hs-data.com/bilder/wappen/mittel/2249.gif,0,0,0,0,0,0,0,0,0,0,0,0
Southampton FC,https://s.hs-data.com/bilder/wappen/mittel/545.gif,0,0,0,0,41,97,157,220,266,302,341,375
Huddersfield Town,https://s.hs-data.com/bilder/wappen/mittel/3017.gif,0,0,0,0,0,0,0,0,0,37,53,53
Portsmouth FC,https://s.hs-data.com/bilder/wappen/mittel/2220.gif,41,60,60,60,60,60,60,60,60,60,60,60
Coventry City,https://s.hs-data.com/bilder/wappen/mittel/2240.gif,0,0,0,0,0,0,0,0,0,0,0,0
Blackpool FC,https://s.hs-data.com/bilder/wappen/mittel/2873.gif,0,0,39,39,39,39,39,39,39,39,39,39
Ipswich Town,https://s.hs-data.com/bilder/wappen/mittel/556.gif,0,0,0,0,0,0,0,0,0,0,0,0
Charlton Athletic,https://s.hs-data.com/bilder/wappen/mittel/551.gif,0,0,0,0,0,0,0,0,0,0,0,0
Notts County,https://s.hs-data.com/bilder/wappen/mittel/3106.gif,0,0,0,0,0,0,0,0,0,0,0,0
Norwich City,https://s.hs-data.com/bilder/wappen/mittel/744.gif,0,0,0,47,91,124,124,158,158,158,158,179
Fulham FC,https://s.hs-data.com/bilder/wappen/mittel/558.gif,53,99,148,200,243,275,275,275,275,275,301,301
Queens Park Rangers,https://s.hs-data.com/bilder/wappen/mittel/746.gif,0,0,0,37,62,62,92,92,92,92,92,92
Bury FC,https://s.hs-data.com/bilder/wappen/mittel/2238.gif,0,0,0,0,0,0,0,0,0,0,0,0
Cardiff City,https://s.hs-data.com/bilder/wappen/mittel/3182.gif,0,0,0,0,0,30,30,30,30,30,64,64
Crystal Palace,https://s.hs-data.com/bilder/wappen/mittel/2242.gif,0,0,0,0,0,45,93,135,176,220,269,308
Luton Town,https://s.hs-data.com/bilder/wappen/mittel/3123.gif,0,0,0,0,0,0,0,0,0,0,0,0
Milton Keynes Dons,https://s.hs-data.com/bilder/wappen/mittel/2243.gif,0,0,0,0,0,0,0,0,0,0,0,0
Oldham Athletic,https://s.hs-data.com/bilder/wappen/mittel/2897.gif,0,0,0,0,0,0,0,0,0,0,0,0
Grimsby Town,https://s.hs-data.com/bilder/wappen/mittel/3180.gif,0,0,0,0,0,0,0,0,0,0,0,0
Watford FC,https://s.hs-data.com/bilder/wappen/mittel/747.gif,0,0,0,0,0,0,0,45,85,126,176,203
Bradford City,https://s.hs-data.com/bilder/wappen/mittel/2241.gif,0,0,0,0,0,0,0,0,0,0,0,0
Bristol City,https://s.hs-data.com/bilder/wappen/mittel/3277.gif,0,0,0,0,0,0,0,0,0,0,0,0
Swansea City,https://s.hs-data.com/bilder/wappen/mittel/3183.gif,0,0,0,47,93,135,191,238,279,312,312,312
Wigan Athletic,https://s.hs-data.com/bilder/wappen/mittel/3116.gif,45,81,123,166,202,202,202,202,202,202,202,202
Brighton & Hove Albion,https://s.hs-data.com/bilder/wappen/mittel/3050.gif,0,0,0,0,0,0,0,0,0,40,76,105
Brentford FC,https://s.hs-data.com/bilder/wappen/mittel/3271.gif,0,0,0,0,0,0,0,0,0,0,0,0
AFC Bournemouth,https://s.hs-data.com/bilder/wappen/mittel/2248.gif,0,0,0,0,0,0,0,42,88,132,177,204
Hull City,https://s.hs-data.com/bilder/wappen/mittel/3111.gif,35,65,65,65,65,102,137,137,171,171,171,171
Bradford Park Avenue,https://s.hs-data.com/bilder/wappen/mittel/4195.gif,0,0,0,0,0,0,0,0,0,0,0,0
