country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","",9131,10066,8870,9035,9617,10361,10742,11755,10050,13369,11504,11242,11631,11842,10659,11210,10721,10789,10425,9458,6661,4864,4795,5131,4850,5208,4472,4962,6701,6751,6946,7676,7538,8320,8368,8220,7906,8266,8516,8480,8896,8000,9319,9402,""
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,"","","","","","","","","","","",2693,3040,3548,3712,3842,4262,4636,5544,6819,6739,7104,8969,9395,9028,9144,10029,9624,9882,9540,9957,10277,10277,10089,9528,9754,9282,9360,9544,10045,10067,9957,10517,11036,11028,11326,11952,12490,12434,13367,12908,13208,14230,14433,15364,""
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","",6464,6795,6600,6566,6238,5994,5742,6132,6026,5942,5778,5499,5453,5323,5470,5375,5359,5433,5407,5621,5580,5432,5443,5343,5179,5179,5149,4998,5104,5086,5140,5197,5414,5374,5011,5306,5461,5704,5982,6055,6068,6427,6211,6338,""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",17232,"","","","","","","","","","","","","",17789,17851,18417,18581,"","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","",16060,16047,16415,16464,16032,16337,16521,16595,17265,17300,16636,16474,16513,16838,15824,16532,17178,17501,16764,16367,16636,17256,17075,17929,17960,18400,18769,19193,19305,19318,18174,17468,18486,19976,19882,21404,21458,22366,21525,22193,22486,22330,22695,23436,""
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",25336,26957,13953,7582,4882,5944,6537,6911,7094,6902,7632,7646,7192,7635,8119,9800,10057,11311,12013,10508,10037,10982,11987,11657,11840,""
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,35629,36236,36901,38193,38953,40277,41246,42947,43770,44111,47257,46399,46929,49593,49941,50542,51238,54326,53842,54473,55096,54599,56027,52976,54099,53532,53774,55502,54694,58162,58865,57310,57675,59865,59194,59652,62727,63611,64588,65248,65640,63348,64774,64764,65105,64710,66399,68248,69369,68181,67373,66817,64814,63548,61967,63683
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,17983,18073,19490,21213,21574,21536,22129,22332,23792,25372,28123,29174,30555,32923,31754,30875,33342,32534,33645,36505,35669,33692,32915,33068,34351,35490,35606,36922,37269,36506,37682,39718,37746,37864,37617,39235,41640,41291,41944,41772,41524,43710,43887,46213,46608,47515,47436,46747,46893,44172,47115,45611,45203,45578,43767,44197
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",36814,35911,28663,25298,22651,21040,17604,16797,17272,15922,16321,16409,16450,17172,17901,18607,18137,16416,17681,15516,14881,15925,17129,17142,17469,""
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",29278,"","","","","","","","","","","","","",23943,24584,24449,24087,"","","","","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","",74370,69448,98800,104775,93047,111465,95235,91229,102508,90653,96471,105496,98888,102729,115388,119340,110763,122039,119188,122757,117560,126042,129585,134390,132681,129205,141667,144290,137833,139428,136514,134309,134518,126708,135784,134957,130653,131637,120249,118717,115274,112317,121147,123208,""
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,"","","","","","","","","","","",995,1010,1075,1091,1097,1139,1136,1143,1155,1199,1191,1224,1221,1206,1241,1294,1240,1327,1358,1395,1343,1385,1431,1462,1557,1533,1568,1602,1590,1614,1732,1741,1803,1806,1848,1953,2016,2093,2177,2332,2391,2480,2503,2584,""
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14382,"","","","","","","","","","","","","",15969,16553,16829,16888,"","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",51932,50572,42109,35782,30421,28233,29090,29140,28681,28046,28637,28907,29657,30746,32014,32201,34487,33935,34100,32449,33727,36025,37477,33511,34058,""
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,29301,29898,32681,35393,35141,36239,35486,37017,41751,45090,48092,47682,52031,54902,53701,50217,53756,53376,56132,57879,55165,51350,48942,48337,50414,52033,53892,54982,55486,55811,55938,58219,58622,57013,60315,61263,64389,64237,65164,65275,65934,65525,62694,65012,65046,64611,63621,62068,63437,60436,64424,59172,56245,57998,54756,54518
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6586,"","","","","","","","","","","","","",6529,6609,6880,6937,"","","","","","","",""
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","",4317,4422,4416,4408,4429,4189,4228,4281,4241,4231,4110,4136,4134,4116,4193,4112,4048,4031,3930,3880,3809,3769,3725,3678,3637,4104,4131,3956,4007,3358,3465,3605,3689,3737,3641,4173,4410,4382,4471,4618,4614,4648,4724,4847,""
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1211,"","","","","","","","","","","","","",3269,3613,3650,4130,"","","","","","","",""
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","",2580,2792,2892,3031,3437,3684,3854,4086,4402,5086,5224,5377,4994,4877,4718,4371,3970,4068,4249,4428,4475,4648,4872,5258,5785,6099,6522,6465,6231,6840,5224,6149,6279,6176,6620,8144,6524,6824,6993,7495,7790,8815,8725,9173,""
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18285,16804,12205,10544,4226,4520,5369,8350,10384,10252,13419,12952,13571,13537,14791,15500,16309,16345,18421,19300,20251,22528,21307,20821,25516,""
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",8453,8550,8339,8231,8418,8937,8624,9857,10236,10282,10185,11422,11159,10723,10727,10237,10521,11649,11816,12080,12037,12055,11854,11498,11696,11905,12110,12605,11558,12432,11731,13063,13560,14568,""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,"","","","","","","","","","","",8304,8686,9293,9656,9844,10089,10181,10580,10986,10928,10241,10173,10191,10608,11088,11370,11579,11513,11530,10917,10932,10861,10951,11342,11543,11964,12374,12476,12567,12436,12478,12637,12681,13222,13397,13710,14335,14980,14348,15712,15806,16337,16877,17269,""
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","",15188,14362,26965,44525,53258,67487,70228,63289,63595,80932,75535,78827,80900,90617,92322,78813,78594,63507,71673,77607,85288,89133,83431,75333,87931,86335,87069,84750,84541,83218,75491,72334,82437,74294,70638,98993,100123,108638,92210,96961,114315,111428,87204,100393,""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,"","","","","","","","","","","",25919,26316,27659,28647,30999,32335,34358,35872,37221,37257,37047,38486,39194,39393,39771,40134,39670,40568,39855,37650,29501,27865,30121,29305,31943,31932,29122,28213,25942,26485,28157,28039,28963,28385,30213,31301,31006,30806,27349,28106,30437,29230,27087,28815,""
