country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","",22,27,30,39,36,36,31,34,26,33,32,28,29,32,32,33,34,34,33
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","",1496,1165,1164,1673,1785,1744,1644,932,1251,1749,2603,1396,1621,2396,1632,2029,2473,1553,1554
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,547,561,535,571,610,625,657,676,702,704,685,705,722,770,808,818,846,867,915,955,1023,1047,1091,1158,1220,1271,1447,1535,1570,1650,1731,1750,1836,1809
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","",1855,2090,2307,2506,2599,2814,2927,3130,3188,3540,3627,3578,3450,3376,3404,3457,3463,3484,3447
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,1499,1596,1671,1657,1582,1563,1628,1673,1821,1907,1928,1979,2032,2056,2214,2413,2418,2244,2417,2604,2719,2886,2860,3041,3021,3080,3133,3257,3304,3249,3376,3383,3314,3304
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","",1829,1824,1718,1726,1967,2005,1898,1904,1879,1862,2146,2457,2642,2521,2518,2526,2367,2499,2320
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,7895,8137,8392,8714,9060,9177,9189,9274,9395,9559,9738,9903,10277,10731,11012,11417,11682,11519,11514,11530,11434,11594,11626,11502,11489,11327,11372,10944,10731,10495,10626,10653,10536,10499
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,5848,5856,6613,6400,6527,6526,6623,6535,6674,6708,7082,6838,7077,7143,7498,7658,7687,7677,7414,7892,8085,7768,7800,8022,8248,8450,7789,8514,7951,7557,7483,7764,8029,7669
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,3105,3177,3323,3362,3269,3196,3186,2644,2512,2286,2192,2174,2124,2252,2256,2302,2314,2259,2545,2573,2678,2843,2504,2453,2114,2071,2218,2481,2488,2601,2565,2562,2470,2532
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","",5251,5366,5571,5782,5626,5827,5824,6068,5959,5557,5130,5173,4719,4642,4687,4858,4716,4573,4525
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,49,51,58,66,70,74,78,82,83,86,93,97,98,105,115,123,133,140,146,180,190,209,217,237,254,276,296,322,355,371,395,443,466,490
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","",2786,2926,3032,3167,3258,3452,3523,3594,3610,3640,3432,3494,3746,3376,3400,3445,3541,3601,3588
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,3350,3640,3735,3784,3801,3893,3812,3702,3292,3106,2472,2362,2603,2356,2671,2643,2554,2714,2751,3245,3237,3342,3357,3708,3223,3703,3420,3270,3341,3682,3626,3554,3652,4103
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,5780,5909,6373,6561,6768,7087,7165,7166,7000,7107,7304,7454,7710,8125,8241,8170,7735,7917,8122,8172,8251,8062,8302,7879,8401,8701,8193,7480,7485,6476,6187,7548,7572,6498
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","",732,584,576,650,577,580,776,772,749,704,1086,1051,940,1005,1033,1055,1073,1087,1067
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","","","","","",11,8,8,9,9,12,17,24,24,13,11,10,4,8,22,29,23,27,27
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","",3033,3180,3535,3987,3646,4038,6811,9768,10255,10219,10577,10067,9610,10609,9945,10622,10693,10257,10148
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","",2681,2731,2766,2874,3257,3226,3400,2996,3776,4025,4452,3983,3730,4732,4448,4375,5027,4680,5492
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","",541,566,493,392,419,453,406,308,288,213,251,222,161,421,1041,1315,1169,1288,1260
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,1431,1463,1443,1496,1515,1495,1545,1567,1606,1631,1701,1769,1841,1895,1942,1996,1853,1925,2003,2105,2165,2228,2341,2410,2404,2635,2692,2772,2839,2912,2842,2807,2829,2807
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,4638,4660,4851,5037,4982,4766,4660,4104,4430,4499,4987,5151,5212,5125,4741,5116,5543,5425,5458,5373,5771,6007,5714,5985,5748,6283,6883,6453,6006,6553,6837,6330,6417,6635
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","",27,27,29,35,36,36,37,40,40,43,34,33,38,43,50,55,53,58,56
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","",15,17,19,14,12,13,12,15,13,14,17,16,16,17,18,17,16,20,19
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","",38,41,54,56,58,68,82,102,100,84,65,68,93,114,194,272,342,419,413
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","",221,219,199,216,235,222,276,273,288,285,283,277,215,268,305,330,338,338,330
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,17829,17969,18779,18876,18326,17450,18179,18375,18573,19162,19128,19404,19243,18719,19066,19740,19033,19237,18682,18812,19408,18810,19346,19150,18195,17773,18479,18227,18769,18518,18421,18246,18042,17649
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","",322,355,386,415,450,479,503,532,561,577,659,693,710,751,787,763,796,834,823
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","",28,28,27,27,37,39,40,38,37,36,36,38,39,31,37,37,37,32,32
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
