country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,Jun 01,Jun 02,Jun 03,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,Jun 30,Jul 01,Jul 02,Jul 03,Jul 04,Jul 05,Jul 06,Jul 07,Jul 08,Jul 09,Jul 10,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","",3.0,"","",3.0,"","","",3.0,6.0,5.0,1.0,0.0,0.0,2.0,0.0,10.0,6.0,2.0,33.0,0.0,16.0,15.0,8.0,27.0,25.0,26.0,43.0,0.0,35.0,29.0,38.0,30.0,56.0,61.0,37.0,34.0,52.0,58.0,49.0,70.0,10.0,51.0,63.0,88.0,35.0,61.0,84.0,105.0,70.0,112.0,68.0,172.0,124.0,122.0,222.0,164.0,134.0,235.0,190.0,330.0,168.0,171.0,215.0,255.0,369.0,285.0,280.0,259.0,113.0,1063.0,0.0,262.0,408.0,581.0,492.0,531.0,540.0,782.0,584.0,591.0,658.0,625.0,580.0,623.0,866.0,680.0,545.0,759.0,758.0,787.0,915.0,582.0,791.0,575.0,542.0,684.0,747.0,656.0,556.0,664.0,761.0,783.0,564.0,658.0,346.0,546.0,409.0,310.0,338.0,234.0,460.0,276.0,165.0,351.0,271.0,279.0,319.0,186.0,302.0,348.0,279.0,433.0,210.0,59.0,255.0,458.0,85.0,0.0,4.0,285.0,254.0,76.0,219.0,12.0,174.0,140.0,112.0,188.0,13.0,108.0
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,4.0,4.0,1.0,12.0,10.0,5.0,4.0,9.0,4.0,4.0,11.0,0.0,6.0,13.0,11.0,23.0,23.0,28.0,12.0,11.0,15.0,11.0,20.0,16.0,18.0,27.0,29.0,28.0,16.0,6.0,17.0,9.0,7.0,17.0,13.0,21.0,8.0,19.0,24.0,21.0,9.0,14.0,22.0,25.0,25.0,29.0,15.0,34.0,14.0,10.0,14.0,16.0,7.0,9.0,7.0,6.0,8.0,17.0,12.0,10.0,8.0,6.0,12.0,4.0,4.0,4.0,18.0,18.0,17.0,13.0,2.0,1.0,15.0,5.0,12.0,8.0,9.0,6.0,25.0,21.0,26.0,23.0,23.0,15.0,6.0,21.0,20.0,13.0,15.0,20.0,14.0,17.0,36.0,42.0,44.0,31.0,48.0,57.0,69.0,82.0,50.0,66.0,50.0,53.0,36.0,68.0,52.0,67.0,78.0,77.0,61.0,72.0,64.0,69.0,45.0,82.0,90.0,67.0,74.0,71.0,74.0,68.0,82.0,90.0,93.0,83.0,117.0,96.0,85.0,99.0,55.0,102.0,82.0,81.0,119.0,68.0,108.0,104.0
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"",2.0,7.0,5.0,"","",3.0,"","",0.0,5.0,1.0,11.0,11.0,10.0,2.0,12.0,18.0,12.0,37.0,62.0,29.0,34.0,38.0,65.0,42.0,45.0,57.0,73.0,132.0,131.0,139.0,185.0,80.0,69.0,103.0,45.0,104.0,94.0,95.0,64.0,89.0,69.0,87.0,90.0,108.0,150.0,117.0,94.0,89.0,93.0,99.0,97.0,120.0,129.0,126.0,135.0,132.0,199.0,158.0,148.0,141.0,179.0,174.0,190.0,159.0,185.0,187.0,189.0,165.0,168.0,176.0,186.0,189.0,187.0,192.0,198.0,182.0,176.0,165.0,186.0,190.0,195.0,193.0,197.0,194.0,160.0,140.0,137.0,133.0,127.0,119.0,113.0,0.0,205.0,104.0,115.0,104.0,111.0,117.0,102.0,105.0,109.0,112.0,109.0,112.0,116.0,121.0,117.0,119.0,127.0,140.0,149.0,156.0,172.0,197.0,240.0,283.0,305.0,298.0,336.0,365.0,385.0,413.0,430.0,441.0,463.0,475.0,469.0,460.0,0.0,904.0,483.0,494.0,527.0,554.0,585.0,593.0,601.0,535.0,607.0,587.0,594.0,612.0,675.0
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","","","","","","","","","",1.0,"",3.0,9.0,0.0,39.0,22.0,0.0,13.0,25.0,20.0,31.0,24.0,36.0,43.0,41.0,26.0,36.0,6.0,14.0,38.0,11.0,27.0,35.0,25.0,19.0,19.0,19.0,18.0,21.0,16.0,8.0,13.0,14.0,9.0,14.0,8.0,9.0,4.0,0.0,6.0,1.0,7.0,2.0,7.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,15.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,9.0,0.0,2.0,0.0,2.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,17.0,5.0,12.0,8.0,2.0,2.0,0.0,13.0,0.0,11.0,6.0,4.0,7.0,3.0,3.0,8.0,15.0,32.0,23.0,9.0,8.0,7.0,24.0,13.0,18.0,0.0,7.0,0.0,33.0,10.0,62.0,25.0,23.0,0.0,19.0,51.0,31.0,31.0,49.0,18.0,44.0,0.0,30.0,33.0,39.0
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","","","","",0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,3.0,0.0,7.0,0.0,12.0,3.0,11.0,11.0,9.0,14.0,18.0,31.0,30.0,67.0,41.0,35.0,86.0,115.0,87.0,101.0,55.0,75.0,146.0,0.0,167.0,0.0,132.0,186.0,103.0,74.0,87.0,80.0,99.0,81.0,162.0,66.0,69.0,160.0,0.0,128.0,98.0,170.0,102.0,90.0,112.0,144.0,147.0,0.0,344.0,0.0,223.0,124.0,158.0,143.0,104.0,149.0,102.0,104.0,133.0,188.0,163.0,240.0,165.0,13.0,245.0,529.0,316.0,255.0,345.0,326.0,0.0,566.0,438.0,474.0,648.0,718.0,704.0,723.0,552.0,600.0,705.0,769.0,717.0,795.0,637.0,564.0,904.0,949.0,0.0,1769.0,983.0,774.0,826.0,1141.0,1239.0,1373.0,1391.0,1531.0,1282.0,1208.0,1374.0,1393.0,0.0,4018.0,1634.0,1581.0,2146.0,0.0,4920.0,2606.0,0.0,5287.0,0.0,4524.0,2262.0,2667.0,2744.0,2845.0,0.0,2590.0,2439.0,2632.0,2979.0,3604.0,3663.0,3367.0,3449.0,2657.0,3099.0,3645.0,4250.0,3623.0,4518.0,3223.0,4231.0,4019.0,5344.0,5782.0,6127.0
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"","","","","","","","","",3.0,2.0,7.0,7.0,10.0,22.0,26.0,37.0,7.0,14.0,24.0,30.0,4.0,71.0,25.0,39.0,43.0,52.0,0.0,58.0,50.0,39.0,92.0,73.0,34.0,52.0,11.0,20.0,28.0,40.0,16.0,30.0,46.0,26.0,72.0,48.0,42.0,47.0,43.0,48.0,62.0,72.0,50.0,73.0,81.0,69.0,62.0,59.0,65.0,0.0,134.0,82.0,125.0,113.0,121.0,112.0,163.0,102.0,145.0,146.0,138.0,79.0,146.0,180.0,142.0,184.0,239.0,189.0,351.0,218.0,230.0,335.0,322.0,374.0,359.0,452.0,289.0,372.0,442.0,460.0,251.0,355.0,210.0,517.0,515.0,697.0,596.0,547.0,766.0,195.0,350.0,428.0,566.0,612.0,723.0,663.0,397.0,425.0,544.0,665.0,459.0,551.0,880.0,0.0,1129.0,0.0,1530.0,662.0,736.0,482.0,0.0,415.0,523.0,593.0,662.0,580.0,706.0,330.0,349.0,535.0,526.0,557.0,489.0,577.0,182.0,339.0,515.0,554.0,442.0,461.0,415.0,104.0,712.0,469.0,451.0,383.0
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,"","","","","","","","","",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,8.0,11.0,7.0,4.0,11.0,6.0,20.0,12.0,14.0,30.0,41.0,52.0,49.0,77.0,79.0,111.0,144.0,165.0,224.0,611.0,114.0,600.0,376.0,367.0,212.0,431.0,284.0,464.0,150.0,269.0,248.0,324.0,139.0,57.0,100.0,112.0,96.0,100.0,86.0,51.0,33.0,44.0,50.0,42.0,39.0,36.0,53.0,26.0,13.0,22.0,7.0,13.0,20.0,16.0,10.0,12.0,13.0,8.0,16.0,5.0,16.0,18.0,24.0,24.0,26.0,21.0,18.0,15.0,12.0,7.0,16.0,11.0,14.0,30.0,17.0,9.0,15.0,8.0,11.0,2.0,14.0,11.0,3.0,9.0,15.0,6.0,11.0,23.0,12.0,10.0,9.0,17.0,8.0,11.0,11.0,4.0,5.0,5.0,2.0,9.0,9.0,5.0,12.0,18.0,15.0,12.0,23.0,21.0,18.0,27.0,25.0,13.0,18.0,29.0,37.0,37.0,46.0,45.0,81.0,67.0,86.0,81.0,254.0,107.0,87.0,137.0,169.0,131.0,173.0,300.0,194.0,244.0,183.0,271.0,244.0,315.0,425.0,206.0,361.0,267.0,359.0,468.0,410.0,289.0
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,4.0,4.0,6.0,5.0,12.0,33.0,25.0,3.0,29.0,51.0,64.0,115.0,143.0,151.0,205.0,156.0,316.0,314.0,550.0,453.0,375.0,607.0,855.0,796.0,606.0,1141.0,668.0,594.0,522.0,805.0,564.0,529.0,418.0,396.0,241.0,217.0,314.0,343.0,329.0,279.0,312.0,247.0,130.0,106.0,191.0,136.0,78.0,155.0,59.0,48.0,73.0,50.0,91.0,61.0,83.0,66.0,55.0,67.0,58.0,50.0,60.0,34.0,12.0,68.0,31.0,17.0,65.0,22.0,62.0,42.0,10.0,87.0,36.0,54.0,41.0,63.0,72.0,14.0,25.0,78.0,18.0,57.0,29.0,46.0,32.0,20.0,38.0,18.0,28.0,51.0,44.0,4.0,21.0,11.0,31.0,36.0,62.0,19.0,46.0,21.0,13.0,34.0,28.0,30.0,20.0,24.0,27.0,33.0,17.0,40.0,30.0,62.0,38.0,35.0,31.0,33.0,47.0,67.0,64.0,63.0,41.0,111.0,37.0,138.0,121.0,123.0,73.0,57.0,89.0,101.0,97.0,74.0,108.0,52.0,12.0,201.0,55.0,153.0,138.0,102.0,63.0,108.0,0.0,359.0,110.0,81.0
