country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,15100,15100,15100,18400,20400,22800,27600,27900,28200,27300,21500,26600,27600,27800,27900,26200,15500,22700,21600,22300,22100,21400,20800,20000,19100,19400,16600,16900,16900,16867,17507,17200,17000,17500,19669,23341,27727,32386,35928,40540,39542,35630,28043,16692,20239,52500,59500,56061,72765,59850,62041,70000,78597,89403,89733,140903,175000,217192
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,10004,8039,7931,8498,8000,9000,10000,10000,11000,9000,10000,11000,14000,13000,14000,15000,13000,14000,15000,15000,15000,23000,21000,21000,18200,15000,16000,14000,18000,13100,10000,10000,10000,9500,10000,10000,11300,11500,11800,12000,15794,15800,13300,15000,16000,27566,36000,45000,47202,54604,64000,71300,75730,82060,91736,101532,96338,108375
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,15400,14000,13000,12441,13151,11208,11364,10490,11877,12900,13506,11480,10062,14568,21575,14624,19179,15577,13656,21818,23386,24476,23916,38852,42400,40699,43688,39980,51395,38941,47827,61984,63409,49297,64140,73869,65525,75385,87318,96517,104900,121038,135542,165372,199712,283242,190010,260967,267469,378637,404105,397529,455937,462815,451472,500855,494239,487808
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,415000,397000,474000,371000,544000,414000,516000,469600,436400,445000,423900,512300,233300,786000,608000,576500,820000,810000,972000,958000,908000,804000,817000,872000,922400,593900,1074600,940000,847800,975600,1067500,1053500,951170,1006300,1146000,1219000,1117690,1033520,1116000,833322,1428802,1156830,1307460,1262440,1206210,1100000,1000000,950000,894000,720000,1150000,1050000,970000,930000,950000,458908,458908,510478
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",68800,25300,65900,75500,80400,49470,40700,23522,23230,35380,35200,52800,63504,90798,96268,111836,117199,120844,56487,77602,110289,111946,132627,126995,62574,116051,109939
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,295034,326282,349571,367397,360002,376878,369924,373688,422445,424057,442636,360167,426362,331302,362778,274831,301551,258360,344948,298812,306921,294476,300825,266998,352000,288000,324741,299807,323045,319403,288730,316101,327792,306920,316555,280147,353069,308856,334353,319652,302668,290264,326072,285282,452650,301251,377980,265481,295134,264401,299778,289064,288878,266771,295196,308298,313730,268355
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,456000,431000,436000,447000,222000,366654,360937,328675,327690,308809,243658,156358,287462,324203,303746,329261,263508,291186,326357,329932,243199,428819,326547,353195,293152,368585,263532,413049,321264,337741,276848,268719,375222,334248,383876,367553,477277,416493,409671,490363,409719,478486,422912,484096,452607,509139,477882,551356,485609,270805,302810,262108,234585,310339,287599,101667,185244,387954
