country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,0.035,"","","","",0.063,"","","","",0.065,"","","","","","","","","","",0.077,"","","","",0.183,0.179,"",0.129,0.109,"","",0.143,"","","",0.11,"","","",0.2,"","","","",0.168,0.183,0.182,0.222,0.247,0.263,0.253,0.299,0.315,0.302,0.295
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,0.276,"","","","",0.481,"","","","",0.739,0.911,0.845,"","","","",1.036,"","",1.367,"","",1.415,1.407,1.406,"","","",1.403,1.374,1.47,1.65,1.425,"",1.306,1.354,1.295,1.289,1.282,1.389,"",1.305,"","","","",1.146,"",1.144,1.254,1.24,1.283,1.286,"","",""
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,0.173,"","","","",0.116,"","","","",0.123,"","","","","","","","",0.38,"","","","",0.427,"","","",0.429,"",0.942,"","",0.821,"",0.846,"","",1.0,"","","",1.106,"","",1.021,"",1.192,"","",1.207,"","","","","",""
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.231,"",2.435,2.47,2.594,2.549,2.594,"",3.263,"","",3.64,3.716,"",3.112,4.0,"","","","",3.69,""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,0.067,"","","","",0.076,"","","","",0.116,"","","","","","","","","","","","","",0.059,"","","","","",0.042,"","","","","","",0.064,"","","","","","",0.067,"","","","",0.144,"","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,0.294,"","","","","","","","","",0.349,"","","","","","","","","","","","","","","","","","","",0.76,0.919,"",3.03,"",0.76,1.141,"","",0.158,"","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,1.351,"","","","",1.667,"","","","",1.892,"","","","",1.869,"","","","","","","","",2.683,2.705,2.984,"",3.032,"",2.68,"",2.639,"","",2.68,"","",3.002,"","",3.231,"","",3.166,3.21,"","","","",3.21,"","",3.907,"","",""
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",3.211,3.278,3.406,3.454,3.501,3.577,3.674,3.736,3.763,3.881,3.924,3.701,3.597,3.345,3.122,3.042,3.591,3.156,3.156,3.051,2.987,3.526,"",3.588,"","",3.7,3.697,"",2.677,2.759,2.779,2.805,2.811,2.803,"",""
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,"",1.1,"","","","",1.2,"","","","",1.2,"","","","",1.5,"","","","",1.8,"","",1.8,1.9,2.0,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.513,2.4,2.4,2.4,2.5,2.479,2.5,"","","",2.672,"","",2.885,"",3.287,3.285,3.371,3.44,3.496,""
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.1,3.2,3.3,3.3,3.378,"","",3.66,3.794,"","",4.779,4.824,4.881,4.984,5.064,5.15,5.23
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",3.362,"","","","",3.799,3.877,3.906,3.964,3.99,3.917,3.916,3.881,3.928,3.896,3.925,3.899,3.831,3.602,3.521,3.607,3.536,"",3.547,"","",3.63,3.794,"",3.782,3.636,3.407,3.454,3.415,3.402,"",""
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,0.496,"","","","","","","","","",0.76,"","","","","","","","","",0.938,"","","",0.943,"","","","","",1.29,"","",1.446,"",1.49,1.518,"",1.076,"","","","","","","","","",2.717,"","",2.263,"","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,0.45,"","","","","","","","","",0.429,"","","","","","","","","",1.087,"","","","",1.219,"","","","","",1.315,"",0.11,"","","",1.0,"","",1.017,1.068,1.092,1.071,0.994,1.07,1.033,1.025,0.989,0.96,0.934,0.925,0.933,0.929,0.939,0.922,""
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,"","","","","",0.123,"","","","",0.119,"","","","","","","","","",0.12,"","","","",0.154,0.144,"","","",0.177,0.188,"","","",0.201,"",0.2,"","","",0.243,"",0.264,0.273,0.3,0.308,0.32,0.333,0.345,0.354,0.374,0.389,"",0.475,0.472,""
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,0.329,"","","","","","","","","",0.523,"","","","","","","","","","","","","",0.891,"","","","","",1.14,"","",1.254,"",1.351,"","","",1.21,1.353,1.552,"","","",1.785,"","","","",1.811,"","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",2.962,"","","","",3.329,3.375,3.445,3.512,3.576,3.56,3.576,3.638,4.076,4.142,4.155,4.286,4.365,4.431,4.551,4.579,4.497,4.526,4.55,4.622,4.68,4.78,4.869,4.98,3.702,3.511,3.788,3.873,3.925,4.07,"",""
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,"",1.5,1.6,1.7,1.8,1.9,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.8,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,"","",2.045,2.093,"","","",2.911,2.924,2.941,2.959,2.971,3.011,""
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,0.242,"","","","","","","","","",0.342,"","","","","","","","","","","","","",0.272,"",0.451,"",0.472,"",0.639,"","",0.493,"",0.6,0.548,"","","",1.015,"","","","","","","","",0.768,0.828,"","","","","",""
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,0.04,"","","","",0.03,"","","","",0.034,"","","","","","","","","",0.059,0.059,"",0.075,"",0.073,"","","",0.071,0.051,0.042,0.055,0.057,0.061,0.058,"","","","","","","","",0.039,"","","",0.06,"",0.059,"",0.159,0.146,"","",0.153
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",0.125,0.102,"","","","","","","",0.333,"","","",0.17,0.16,"","","",0.051,"","","","",0.186,"","",0.211,0.246,"",0.023,"",0.261,0.269,0.319,0.324,0.381
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,0.267,"","","","",0.311,"","","","",0.509,"","","","",0.49,"","","","","",0.523,"","",0.697,"","","","","",0.45,"","",0.426,"",0.34,"",1.299,"","","",1.216,"","","","","",0.336,"","",0.444,0.473,"","","","",""
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",1.033,1.089,1.17,1.207,1.28,1.362,1.419,1.485,1.52,1.557,1.57,1.555,"","","","","","",1.427,1.401,1.422,1.338,"",1.34,"",1.418,"","","",1.65,1.738,1.796,1.835,1.886,"","",""
