country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,Jun 01,Jun 02,Jun 03,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,Jun 30,Jul 01,Jul 02,Jul 03,Jul 04,Jul 05,Jul 06,Jul 07,Jul 08,Jul 09,Jul 10,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,Aug 01,Aug 02,Aug 03,Aug 04,Aug 05,Aug 06,Aug 07,Aug 08,Aug 09,Aug 10,Aug 11,Aug 12,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,Aug 30,Aug 31,Sep 01,Sep 02,Sep 03,Sep 04,Sep 05,Sep 06,Sep 07,Sep 08,Sep 09,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,Oct 01,Oct 02,Oct 03,Oct 04,Oct 05,Oct 06,Oct 07,Oct 08,Oct 09,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,Oct 30,Oct 31,Nov 01,Nov 02,Nov 03,Nov 04,Nov 05,Nov 06,Nov 07,Nov 08,Nov 09,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30,Dec 01,Dec 02,Dec 03,Dec 04,Dec 05,Dec 06,Dec 07,Dec 08,Dec 09,Dec 10,Dec 11,Dec 12,Dec 13,Dec 14,Dec 15,Dec 16,Dec 17
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","",0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,0.0,,0.001,0.001,,,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.007,0.008,0.01,0.012,0.015,0.019,0.022,0.027,0.033,0.038,0.044,0.053,0.062,0.073,0.081,0.09,0.104,0.116,0.129,0.149,0.178,0.205,0.229,0.248,0.272,0.302,0.336,0.368,0.396,0.425,0.449,0.48,0.517,0.555,0.593,0.631,0.667,0.693,0.733,0.784,0.828,0.876,0.931,0.976,1.008,1.047,1.094,1.146,1.195,1.249,1.291,1.331,1.384,1.457,1.527,1.597,1.664,1.731,1.773,1.837,1.905,1.987,2.064,2.146,2.218,2.27,2.347,2.453,2.562,2.675,2.782,2.87,2.943,3.024,3.116,3.222,3.331,3.453,3.554,3.624,3.718,3.822,3.94,4.052,4.172,4.286,4.345,4.452,4.58,4.721,4.868,5.032,5.176,5.274,5.379,5.522,5.693,5.876,6.062,6.244,6.368,6.536,6.74,6.939,7.152,7.375,7.558,7.677,7.849,8.046,8.233,8.417,8.62,8.818,8.936,9.11,9.315,9.553,9.772,9.971,10.162,10.289,10.489,10.733,10.986,11.235,11.51,11.752,11.916,12.169,12.456,12.766,13.074,13.397,13.661,13.844,14.123,14.456,14.799,15.136,15.498,15.778,16.023,16.364,16.773,17.206,17.643,18.09,18.476,18.731,19.124,19.595,20.063,20.52,20.99,21.395,21.652,21.97,22.353,22.79,23.25,23.713,24.109,24.373,24.807,25.288,25.804,26.347,26.887,27.323,27.67,28.12,28.646,29.167,29.688,30.209,30.679,30.975,31.444,31.986,32.576,33.145,33.755,34.239,34.57,35.085,35.626,36.189,36.777,37.373,37.84,38.133,38.597,39.142,39.73,40.316,40.922,41.376,41.7,42.213,42.833,43.469,44.11,44.777,45.308,45.604,46.151,46.833,47.495,48.182,48.921,49.445,49.781,50.144,50.746,51.479,52.197,52.911,53.543,53.847,54.516,55.204,55.975,56.72,57.422,57.929,58.232,58.81,59.445,60.099,60.708,61.323,61.763,62.043,62.542,63.134,63.696,64.356,64.954,65.375,65.645,66.128,66.699,67.267,67.831,68.415,68.835,69.073,69.551,70.077,70.64,71.199,71.754,72.121,72.338,72.587,73.067,73.588,74.114,74.61,74.974,75.172,75.607,76.094,76.567,77.045,77.46,77.795,77.955,78.193,78.399,78.848,79.342,79.817,80.164,,,,,
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,"","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,,,,,,,8.285,,,,,,,11.653,11.869,12.184,12.524,12.946,13.269,13.641,13.88,14.201,14.372,14.564,14.902,15.354,15.942,16.51,16.931,17.249,17.743,18.3,18.917,19.383,19.861,20.277,20.811,21.35,22.104,23.093,23.984,24.828,25.499,26.069,27.006,28.335,29.696,31.194,32.466,33.534,34.429,35.648,36.999,38.581,39.83,40.868,41.649,42.583,43.591,44.615,45.909,46.756,48.031,48.792,50.519,52.483,53.626,54.809,56.021,57.042,57.734,58.447,59.322,60.641,61.929,62.376,63.43,64.06,64.733,65.881,67.107,68.453,69.908,71.073,71.692,72.485,73.574,75.588,77.263,78.643,80.052,82.661,83.64,85.507,87.543,89.484,91.611,93.301,94.734,96.313,98.272,100.541,102.662,104.629,106.41,108.203,109.848,112.016,114.151,116.482,118.49,120.608,122.267,124.01,126.359,128.931,131.391,133.876,136.333,138.606,140.814,143.159,145.877,148.841,151.354,154.319,156.357,,160.716,163.313,,168.912,170.447,172.037,175.751,178.514,181.651,185.257,186.833,190.488,192.885,195.302,197.701,200.385,203.154,205.64,207.748,209.26,211.005,213.354,216.034,,,223.789,225.806,228.029,230.841,234.224,,,241.892,243.705,245.327,247.836,250.62,,,261.074,262.489,263.938,266.25,268.606,,,275.142,276.356,277.513,279.389,281.521,,,286.129,287.048,288.287,289.95,291.818,,,295.932,296.602,297.622,299.507,301.164,,,,,306.647,307.932,309.612,,,314.045,315.121,316.197,318.021,319.732,,,324.552,325.624,326.756,328.551,330.348,,,334.74,335.963,337.2,339.227,341.214,,,346.087,347.272,348.518,350.337,352.046,,,356.779,357.917,359.226,361.281,363.472,,,367.819,368.699,370.251,372.474,374.87,,,380.754,381.993,383.364,385.403,387.139,,,391.061,392.011,393.117,,396.147,,,399.288,400.176,401.06,402.504,403.965,,,406.941,,408.601,409.851,410.977
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.869,10.236,10.919,11.562,12.038,12.357,12.795,13.408,14.022,14.961,15.653,16.086,16.479,16.854,17.41,18.078,18.795,19.534,19.902,20.313,20.987,22.406,22.854,23.615,24.548,25.274,25.819,26.601,27.509,28.469,29.321,29.936,30.462,30.986,31.742,32.45,33.076,33.761,34.608,35.143,35.473,36.564,37.335,38.262,39.011,39.682,40.25,40.645,41.352,42.147,42.818,43.357,44.009,44.619,45.006,45.655,46.49,47.452,48.221,49.092,49.802,50.167,50.673,51.403,52.348,53.234,53.952,54.361,54.934,55.618,56.22,56.661,57.357,57.845,58.274,58.588,59.147,60.026,60.615,61.304,61.979,62.243,62.822,63.563,64.241,64.87,65.558,66.341,66.899,67.327,68.036,68.936,69.806,70.561,71.358,71.927,72.627,73.298,74.194,75.027,75.889,76.802,77.361,77.791,78.625,79.532,80.648,81.543,82.507,83.126,88.652,89.448,90.456,91.716,92.583,93.366,94.144,94.729,95.622,96.665,97.712,98.87,99.687,100.519,101.088,101.792,102.583,104.068,105.181,106.062,106.798,107.23,108.202,109.147,110.089,111.413,112.071,113.085,113.704,115.239,116.492,117.854,119.405,120.709,121.579,122.269,123.256,124.267,125.826,127.459,128.88,130.14,131.097,132.475,134.412,135.71,137.29,138.547,139.437,140.591,141.73,143.016,144.678,146.209,147.839,149.012,150.05,151.504,153.206,154.902,156.996,159.009,160.406,161.895,163.511,165.356,167.412,169.678,171.615,172.71,174.32,176.161,179.649,181.712,184.137,185.853,187.242,188.562,190.587,192.651,195.068,197.13,199.346,200.886,202.404,204.814,206.705,208.905,210.695,213.483,215.183,216.799,218.961,221.301,224.108,227.219,229.905,231.875,234.453,236.02,239.06,241.781,244.714,247.905,250.494,253.098,255.972,259.24,262.363,266.035,269.345,272.328,275.256,278.203,281.708,285.953,289.542,293.214,296.22,299.133,302.359,306.037,309.514,313.199,316.62,319.932,322.199,325.316,328.71,332.41,335.413,339.877,342.341,344.013,346.588,349.682,353.156,356.34,358.566,360.578,362.197,364.378,366.637,369.737,372.556,375.989,378.343,380.293,382.629,385.821,
