country,category,url,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,Jun 01,Jun 02,Jun 03,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,Jun 30,Jul 01,Jul 02,Jul 03,Jul 04,Jul 05,Jul 06,Jul 07,Jul 08,Jul 09,Jul 10,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,Aug 01,Aug 02,Aug 03,Aug 04,Aug 05,Aug 06,Aug 07,Aug 08,Aug 09,Aug 10,Aug 11,Aug 12,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,Aug 30,Aug 31,Sep 01,Sep 02,Sep 03,Sep 04,Sep 05,Sep 06,Sep 07,Sep 08,Sep 09,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,Oct 01,Oct 02,Oct 03,Oct 04,Oct 05,Oct 06,Oct 07,Oct 08,Oct 09,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,Oct 30,Oct 31,Nov 01,Nov 02,Nov 03,Nov 04,Nov 05,Nov 06,Nov 07,Nov 08,Nov 09,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30,Dec 01,Dec 02,Dec 03,Dec 04,Dec 05,Dec 06,Dec 07,Dec 08,Dec 09,Dec 10,Dec 11,Dec 12,Dec 13,Dec 14,Dec 15,Dec 16,Dec 17,Dec 18,Dec 19,Dec 20,Dec 21,Dec 22,Dec 23
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",856.0,823.0,829.0,826.0,712.0,824.0,857.0,829.0,820.0,771.0,790.0,792.0,742.0,759.0,769.0,729.0,682.0,647.0,613.0,611.0,560.0,524.0,508.0,495.0,460.0,449.0,439.0,425.0,386.0,372.0,348.0,314.0,308.0,309.0,314.0,321.0,268.0,258.0,230.0,219.0,211.0,205.0,188.0,180.0,165.0,158.0,149.0,151.0,143.0,137.0,156.0,128.0,116.0,108.0,108.0,95.0,84.0,77.0,78.0,75.0,70.0,68.0,62.0,66.0,65.0,55.0,55.0,52.0,65.0,65.0,63.0,67.0,60.0,62.0,57.0,64.0,66.0,60.0,64.0,68.0,66.0,61.0,59.0,57.0,59.0,60.0,60.0,61.0,62.0,66.0,58.0,65.0,62.0,65.0,60.0,62.0,67.0,81.0,66.0,66.0,71.0,68.0,73.0,74.0,74.0,86.0,83.0,88.0,87.0,85.0,96.0,96.0,93.0,87.0,86.0,85.0,82.0,79.0,74.0,74.0,87.0,84.0,70.0,73.0,92.0,84.0,90.0,92.0,93.0,96.0,99.0,92.0,94.0,93.0,92.0,91.0,83.0,65.0,91.0,97.0,101.0,95.0,90.0,94.0,93.0,112.0,114.0,118.0,121.0,119.0,114.0,110.0,123.0,119.0,127.0,132.0,128.0,129.0,115.0,134.0,142.0,161.0,166.0,163.0,167.0,182.0,208.0,244.0,267.0,264.0,272.0,265.0,273.0,297.0,315.0,336.0,344.0,333.0,343.0,362.0,381.0,401.0,406.0,395.0,372.0,397.0,373.0,387.0,397.0,425.0,399.0,405.0,410.0,431.0,464.0,504.0,542.0,545.0,584.0,594.0,607.0,654.0,744.0,813.0,841.0,900.0,1002.0,1051.0,1142.0,1197.0,1345.0,1444.0,1540.0,1602.0,1657.0,1825.0,2065.0,2201.0,2330.0,2504.0,2574.0,2533.0,2755.0,3054.0,3183.0,3265.0,3355.0,3425.0,3579.0,3685.0,3867.0,3910.0,3931.0,3942.0,3900.0,3775.0,3863.0,3985.0,3867.0,3756.0,3702.0,3591.0,3560.0,3639.0,3791.0,3571.0,3414.0,3338.0,3231.0,3170.0,3269.0,3308.0,3244.0,3195.0,3079.0,3008.0,2867.0,2885.0,2951.0,2862.0,2690.0,2578.0,2475.0,2412.0,"","",""
