Date,Lower Respiratory,Diarrhea,Tuberculosis,HIV/AIDS,Malaria,Typhoid,Whooping cough,Encephalitis(brain inflammation),STI(not including HIV),Measles,Hepatitis,Salmonella,Dengue,Tetanus,COVID-19
2020-01-01,7232,5378,2986,2654,3120,202,306,290,242,357,211,236,114,92,0
2020-01-02,13570,8947,6404,4954,5820,422,820,586,592,644,410,355,190,169,0
2020-01-03,20639,14432,9609,7506,7767,766,1134,861,874,982,624,548,242,262,0
2020-01-04,27281,17664,12845,9815,10223,1022,1306,1177,1339,1330,826,768,319,390,0
2020-01-05,34716,21315,16247,12244,11512,1417,1791,1486,1777,1692,1018,996,434,492,0
2020-01-06,42086,25874,19775,14450,13166,1758,2364,1820,2205,1976,1274,1193,471,579,0
2020-01-07,49008,30685,23073,16641,15855,2035,2641,2134,2499,2239,1527,1460,523,652,0
2020-01-08,56267,34269,26058,19214,17510,2298,2932,2421,2902,2412,1720,1642,553,781,0
2020-01-09,62646,39141,29536,21545,19817,2924,3425,2641,3314,2570,1958,1899,628,882,0
2020-01-10,69015,43644,32910,24163,21342,3550,3886,2889,3745,2733,2213,2145,727,983,0
2020-01-11,75771,48087,35949,26478,22727,4029,4190,3147,3848,2900,2394,2391,834,1062,0
2020-01-12,82880,52879,39150,28734,23841,4637,4493,3421,4061,3226,2650,2639,886,1187,0
2020-01-13,89950,58907,42209,31429,25762,5122,4884,3711,4194,3494,2845,2932,966,1292,0
2020-01-14,97284,62282,45232,34035,28156,5426,5068,4038,4677,3831,3089,3125,1018,1393,0
2020-01-15,103936,65667,48746,36626,30293,5784,5481,4300,4894,4182,3326,3390,1077,1475,0
2020-01-16,111142,69918,51854,39330,32274,6383,5712,4562,5359,4439,3564,3613,1170,1554,0
2020-01-17,117404,74037,54861,41913,35258,6680,6246,4892,5628,4670,3824,3833,1259,1673,0
2020-01-18,123803,78745,58304,44528,36116,7086,6569,5200,6070,4869,4062,3997,1295,1776,0
2020-01-19,131217,82832,61747,46725,37064,7518,6926,5516,6275,5193,4316,4228,1353,1885,0
2020-01-20,137588,87934,65073,49452,38641,8096,7258,5817,6384,5609,4522,4548,1421,1965,0
2020-01-21,144770,91986,68434,52128,41426,8358,7578,6030,6745,5694,4735,4824,1494,2066,0
2020-01-22,151671,95259,71865,54608,44149,8942,7784,6303,6913,6161,4947,5007,1615,2185,17
2020-01-23,158630,100294,74899,56818,47201,9380,8205,6609,7235,6258,5165,5241,1684,2258,18
2020-01-24,164951,105309,78026,59153,48390,9823,8575,6860,7432,6421,5352,5377,1711,2341,26
2020-01-25,171600,109103,81417,61891,50699,10021,9016,7153,7741,6570,5551,5496,1778,2436,42
2020-01-26,178726,114452,84557,64430,52884,10639,9436,7452,8179,6927,5771,5746,1847,2518,56
2020-01-27,185582,119808,87816,66944,53755,10917,9848,7662,8414,7317,6023,5875,1884,2649,82
2020-01-28,192705,123209,91327,69545,56015,11100,10001,7949,8878,7590,6251,6046,1976,2760,131
2020-01-29,199429,128391,94482,71853,57963,11566,10519,8232,9118,7703,6484,6193,2087,2854,133
2020-01-30,206099,133910,97458,74149,59159,11866,11041,8495,9410,7994,6719,6366,2158,2974,171
2020-01-31,212356,138649,100533,76418,60283,12149,11460,8826,9618,8489,6901,6677,2230,3093,213
2020-02-01,219332,144163,103617,78687,62777,12719,12012,9094,9788,8983,7116,6904,2286,3206,259
2020-02-02,225715,148205,106934,81406,65434,13182,12407,9391,10186,9407,7303,7180,2402,3285,362
2020-02-03,232900,153469,110037,83821,68218,13617,12749,9717,10538,9603,7492,7471,2476,3413,426
2020-02-04,240313,158494,113244,86041,69814,14209,13139,10040,10835,10035,7699,7652,2590,3514,492
2020-02-05,246830,163683,116483,88748,70727,14754,13503,10261,11070,10259,7910,7803,2625,3601,564
2020-02-06,253892,167173,119775,91309,71902,15071,14084,10518,11208,10654,8118,8140,2681,3724,634
2020-02-07,261344,172023,122876,93745,73758,15475,14367,10771,11385,10759,8379,8280,2792,3853,719
2020-02-08,268318,176532,126039,96446,74653,15859,14833,11050,11511,10932,8616,8402,2822,3967,806
2020-02-09,274812,180222,129563,98945,77456,16375,15387,11300,11724,11036,8840,8597,2848,4090,906
2020-02-10,281789,183987,132893,101636,78973,16569,15759,11599,12051,11225,9064,8885,2956,4172,1013
2020-02-11,288897,188093,136368,104069,79870,16940,16084,11903,12313,11344,9304,9169,2984,4270,1113
2020-02-12,295483,192826,139795,106483,82834,17373,16540,12134,12689,11456,9539,9333,3053,4349,1118
2020-02-13,302880,195998,143151,109041,85331,17812,16973,12381,13026,11549,9724,9657,3168,4436,1371
2020-02-14,309172,198995,146392,111282,86882,18180,17405,12619,13173,12017,9905,9906,3278,4551,1523
2020-02-15,315588,203612,149394,113983,88360,18443,17751,12909,13483,12177,10100,10219,3394,4667,1666
2020-02-16,322263,208655,152876,116245,90325,18789,17984,13186,13958,12409,10295,10554,3502,4757,1770
2020-02-17,328892,211808,155950,118523,93355,19299,18295,13417,14316,12539,10555,10750,3548,4835,1868
2020-02-18,335754,215510,159398,120999,95493,19704,18583,13712,14479,12846,10799,10978,3669,4937,2008
2020-02-19,342454,221351,162602,123333,97075,20083,18774,14023,14723,13120,11034,11252,3790,5009,2123
2020-02-20,349480,226249,165731,125607,99678,20686,18995,14310,15185,13275,11249,11591,3834,5093,2248
2020-02-21,356368,229768,169282,127847,102748,20996,19156,14619,15602,13510,11483,11745,3877,5171,2252
2020-02-22,363153,232951,172838,130342,105171,21512,19725,14830,15913,13605,11703,11889,3989,5276,2459
2020-02-23,369506,238221,176294,132900,107654,21941,20135,15079,16367,14032,11960,12058,4048,5401,2470
