date,name,category,value,lastValue
1,Lower Respiratory,,7232,7232
1,Diarrhea,,5378,5378
1,Tuberculosis,,2986,2986
1,HIV/AIDS,,2654,2654
1,Malaria,,3120,3120
1,Typhoid,,202,202
1,Whooping cough,,306,306
1,Encephalitis(brain inflammation),,290,290
1,STI(not including HIV),,242,242
1,Measles,,357,357
1,Hepatitis,,211,211
1,Salmonella,,236,236
1,Dengue,,114,114
1,Tetanus,,92,92
1,COVID-19,,0,0
2,Lower Respiratory,,13570,7232
2,Diarrhea,,8947,5378
2,Tuberculosis,,6404,2986
2,HIV/AIDS,,4954,2654
2,Malaria,,5820,3120
2,Typhoid,,422,202
2,Whooping cough,,820,306
2,Encephalitis(brain inflammation),,586,290
2,STI(not including HIV),,592,242
2,Measles,,644,357
2,Hepatitis,,410,211
2,Salmonella,,355,236
2,Dengue,,190,114
2,Tetanus,,169,92
2,COVID-19,,0,0
3,Lower Respiratory,,20639,13570
3,Diarrhea,,14432,8947
3,Tuberculosis,,9609,6404
3,HIV/AIDS,,7506,4954
3,Malaria,,7767,5820
3,Typhoid,,766,422
3,Whooping cough,,1134,820
3,Encephalitis(brain inflammation),,861,586
3,STI(not including HIV),,874,592
3,Measles,,982,644
3,Hepatitis,,624,410
3,Salmonella,,548,355
3,Dengue,,242,190
3,Tetanus,,262,169
3,COVID-19,,0,0
4,Lower Respiratory,,27281,20639
4,Diarrhea,,17664,14432
4,Tuberculosis,,12845,9609
4,HIV/AIDS,,9815,7506
4,Malaria,,10223,7767
4,Typhoid,,1022,766
4,Whooping cough,,1306,1134
4,Encephalitis(brain inflammation),,1177,861
4,STI(not including HIV),,1339,874
4,Measles,,1330,982
4,Hepatitis,,826,624
4,Salmonella,,768,548
4,Dengue,,319,242
4,Tetanus,,390,262
4,COVID-19,,0,0
5,Lower Respiratory,,34716,27281
5,Diarrhea,,21315,17664
5,Tuberculosis,,16247,12845
5,HIV/AIDS,,12244,9815
5,Malaria,,11512,10223
5,Typhoid,,1417,1022
5,Whooping cough,,1791,1306
5,Encephalitis(brain inflammation),,1486,1177
5,STI(not including HIV),,1777,1339
5,Measles,,1692,1330
5,Hepatitis,,1018,826
5,Salmonella,,996,768
5,Dengue,,434,319
5,Tetanus,,492,390
5,COVID-19,,0,0
6,Lower Respiratory,,42086,34716
6,Diarrhea,,25874,21315
6,Tuberculosis,,19775,16247
6,HIV/AIDS,,14450,12244
6,Malaria,,13166,11512
6,Typhoid,,1758,1417
6,Whooping cough,,2364,1791
6,Encephalitis(brain inflammation),,1820,1486
6,STI(not including HIV),,2205,1777
6,Measles,,1976,1692
6,Hepatitis,,1274,1018
6,Salmonella,,1193,996
6,Dengue,,471,434
6,Tetanus,,579,492
6,COVID-19,,0,0
7,Lower Respiratory,,49008,42086
7,Diarrhea,,30685,25874
7,Tuberculosis,,23073,19775
7,HIV/AIDS,,16641,14450
7,Malaria,,15855,13166
7,Typhoid,,2035,1758
7,Whooping cough,,2641,2364
7,Encephalitis(brain inflammation),,2134,1820
7,STI(not including HIV),,2499,2205
7,Measles,,2239,1976
7,Hepatitis,,1527,1274
7,Salmonella,,1460,1193
7,Dengue,,523,471
7,Tetanus,,652,579
7,COVID-19,,0,0
8,Lower Respiratory,,56267,49008
8,Diarrhea,,34269,30685
8,Tuberculosis,,26058,23073
8,HIV/AIDS,,19214,16641
8,Malaria,,17510,15855
8,Typhoid,,2298,2035
8,Whooping cough,,2932,2641
8,Encephalitis(brain inflammation),,2421,2134
8,STI(not including HIV),,2902,2499
8,Measles,,2412,2239
8,Hepatitis,,1720,1527
8,Salmonella,,1642,1460
8,Dengue,,553,523
8,Tetanus,,781,652
8,COVID-19,,0,0
9,Lower Respiratory,,62646,56267
9,Diarrhea,,39141,34269
9,Tuberculosis,,29536,26058
9,HIV/AIDS,,21545,19214
9,Malaria,,19817,17510
9,Typhoid,,2924,2298
9,Whooping cough,,3425,2932
9,Encephalitis(brain inflammation),,2641,2421
