country,category,url,Dec 15,Dec 16,Dec 17,Dec 18,Dec 19,Dec 20,Dec 21,Dec 22,Dec 23,Dec 24,Dec 25,Dec 26,Dec 27,Dec 28,Dec 29,Dec 30,Jan 01,Jan 02,Jan 03,Jan 04,Jan 05,Jan 06,Jan 07,Jan 08,Jan 09,Jan 10,Jan 11,Jan 12,Jan 13,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,Jan 19,Jan 20,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,,,,,,,,,,,,,,,0.0,,,,,0.09,,,,0.24,,,,,0.37,,0.44,,,,,0.55,0.59,0.62,0.64,0.65,0.65,0.68,0.7,0.73,0.76,0.81
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.13,0.15,0.22,0.33,0.44,0.56,0.62,0.68,0.79,0.99,1.2,1.39,1.51,1.55,1.57,1.68,1.77,1.88,2.01,2.19
