country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,Jun 01,Jun 02,Jun 03,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,Jun 30,Jul 01,Jul 02,Jul 03,Jul 04,Jul 05,Jul 06,Jul 07,Jul 08,Jul 09,Jul 10,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,Aug 01,Aug 02,Aug 03,Aug 04,Aug 05,Aug 06,Aug 07,Aug 08,Aug 09,Aug 10,Aug 11,Aug 12,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,Aug 30,Aug 31,Sep 01,Sep 02,Sep 03,Sep 04,Sep 05,Sep 06,Sep 07,Sep 08,Sep 09,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,Oct 01,Oct 02,Oct 03,Oct 04,Oct 05,Oct 06,Oct 07,Oct 08,Oct 09,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,Oct 30,Oct 31,Nov 01,Nov 02,Nov 03,Nov 04,Nov 05,Nov 06,Nov 07,Nov 08,Nov 09,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,3.0,3.0,0.0,5.0,12.0,17.0,0.0,0.0,20.0,0.0,0.0,20.0,25.0,26.0,37.0,48.0,58.0,60.0,72.0,90.0,102.0,139.0,201.0,230.0,264.0,302.0,367.0,409.0,454.0,511.0,584.0,716.0,847.0,986.0,1171.0,1251.0,1320.0,1423.0,1468.0,1572.0,1666.0,1761.0,1825.0,1914.0,1983.0,2070.0,2160.0,2268.0,2418.0,2535.0,2629.0,2718.0,2811.0,2910.0,3007.0,3127.0,3256.0,3382.0,3517.0,3649.0,3848.0,4006.0,4154.0,4295.0,4474.0,4648.0,4838.0,4997.0,5182.0,5369.0,5558.0,5723.0,5891.0,6067.0,6253.0,6442.0,6629.0,6821.0,7019.0,7201.0,7377.0,7542.0,7728.0,7918.0,8113.0,8306.0,8503.0,8697.0,8857.0,8997.0,9134.0,9267.0,9394.0,9513.0,9626.0,9626.0,9831.0,9935.0,10050.0,10154.0,10265.0,10382.0,10484.0,10589.0,10698.0,10810.0,10919.0,11031.0,11147.0,11268.0,11385.0,11504.0,11631.0,11771.0,11920.0,12076.0,12248.0,12445.0,12685.0,12968.0,13273.0,13571.0,13907.0,14272.0,14657.0,15070.0,15500.0,15941.0,16404.0,16879.0,17348.0,17808.0,18242.0,18712.0,19195.0,19689.0,20216.0,20770.0,21355.0,21948.0,22549.0,23084.0,23691.0,24278.0,24872.0,25484.0,26159.0,26764.0,27357.0,27973.0,28615.0,29229.0,29831.0,30394.0,30950.0,31465.0,31972.0,32504.0,33055.0,33626.0,34155.0,34693.0,35214.0,35712.0,36204.0,36699.0,37187.0,37664.0,38133.0,38583.0,39025.0,39444.0,39847.0,40258.0,40667.0,41068.0,41460.0,41858.0,42228.0,42619.0,43016.0,43403.0,43782.0,44146.0,44494.0,44833.0,45158.0,45469.0,45773.0,46071.0,46364.0,46653.0,46938.0,47216.0,47488.0,47752.0,48007.0,48254.0,48496.0,48734.0,48966.0,49194.0,49413.0,49623.0,49826.0,50023.0,50214.0,50400.0,50579.0,50754.0,50914.0,51067.0,51213.0,51368.0,51530.0,51690.0,51847.0,51995.0,52136.0,52270.0,52399.0,52520.0,52658.0,52804.0,52940.0,53072.0,53225.0,53399.0,53584.0,53777.0,53988.0,54203.0,54402.0,54616.0,54839.0,55091.0,55357.0,55630.0,55880.0,56143.0,56419.0,56706.0,57026.0,57332.0,57651.0,57942.0,58272.0,58574.0,58979.0,59527.0,60169.0,60800.0,61381.0,62051.0,62693.0,63446.0,64257.0,65108.0,65975.0,66819.0,67679.0,68589.0,69591.0,70629.0,71652.0,72755.0
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,14.0,16.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,29.0,35.0,35.0,35.0,36.0,36.0,36.0,43.0,43.0,45.0,45.0,45.0,45.0,48.0,48.0,48.0,48.0,48.0,50.0,52.0,58.0,60.0,60.0,69.0,69.0,71.0,71.0,73.0,77.0,84.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,91.0,92.0,96.0,113.0,118.0,130.0,138.0,140.0,142.0,142.0,155.0,155.0,166.0,172.0,176.0,183.0,186.0,189.0,197.0,212.0,244.0,267.0,276.0,284.0,291.0,315.0,328.0,346.0,346.0,353.0,353.0,386.0,396.0,458.0,483.0,506.0,506.0,525.0,576.0,607.0,638.0,687.0,705.0,749.0,749.0,779.0,812.0,851.0,880.0,930.0,932.0,950.0,1000.0,1078.0,1109.0,1114.0,1148.0,1164.0,1164.0,1344.0,1395.0,1483.0,1483.0,1572.0,1672.0,1679.0,1735.0,1762.0,1815.0,1852.0,1879.0,1906.0,1966.0,1966.0,2015.0,2044.0,2068.0,2171.0,2222.0,2283.0,2332.0,2415.0,2471.0,2551.0,2624.0,2624.0,2654.0,2729.0,2777.0,2805.0,2876.0,2935.0,2965.0,2981.0,3033.0,3092.0,3217.0,3279.0,3335.0,3388.0,3439.0,3569.0,3749.0,3789.0,3901.0,3991.0,4117.0,4236.0,4236.0,4363.0,4475.0,4590.0,4672.0,4797.0,4905.0,4972.0,4972.0,5114.0,5211.0,5370.0,5370.0,5725.0,5725.0,5863.0,5958.0,6031.0,6246.0,6366.0,6488.0,6680.0,6846.0,7096.0,7222.0,7462.0,7622.0,7829.0,8049.0,8338.0,8582.0,8829.0,9026.0,9381.0,9644.0,9871.0,10074.0,10269.0,10558.0,10805.0,11035.0,11228.0,11577.0,11813.0,12102.0,12223.0,12335.0,12433.0,12680.0,12816.0,12953.0,13057.0,13228.0,13374.0,13451.0,13615.0,13818.0,13922.0,14134.0
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","","","","","","",1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,13.0,13.0,16.0,16.0,22.0,26.0,26.0,26.0,30.0,35.0,35.0,35.0,35.0,35.0,35.0,37.0,37.0,37.0,37.0,54.0,54.0,54.0,58.0,58.0,58.0,64.0,64.0,64.0,69.0,84.0,90.0,90.0,90.0,96.0,96.0,102.0,140.0,242.0,284.0,319.0,319.0,327.0,327.0,339.0,339.0,339.0,339.0,339.0,130.0,130.0,135.0,135.0,135.0,191.0,191.0,208.0,210.0,210.0,224.0,232.0,232.0,243.0,244.0,244.0,261.0,261.0,268.0,268.0,305.0,305.0,305.0,305.0,388.0,412.0,470.0,483.0,532.0,572.0,597.0,650.0,650.0,765.0,807.0,850.0,902.0,1017.0,1053.0,1124.0,1149.0,1187.0,1199.0,1199.0,1199.0,1199.0,1199.0,1199.0,1199.0,1199.0,1285.0,1285.0,1285.0,1378.0,1378.0,1378.0,1378.0,1378.0,1463.0,1602.0,1602.0,1602.0,1602.0,1602.0,1602.0,1694.0,1694.0,1694.0,1770.0,1770.0,1770.0,1770.0,1770.0,1805.0,1805.0,1805.0,1805.0,1914.0,1914.0,1936.0,1936.0,1936.0,1936.0,1936.0,2001.0,2001.0,2001.0,2001.0,2063.0,2063.0,2063.0,2063.0,2063.0,2095.0,2095.0,2115.0,2115.0,2115.0,2115.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2194.0,2194.0,2194.0,2213.0,2213.0,2213.0,2213.0,2242.0,2242.0,2242.0,2242.0,2267.0,2267.0,2267.0,2280.0,2280.0,2280.0,2280.0,2280.0,2294.0,2294.0,2325.0,2325.0,2325.0,2325.0,2340.0,2340.0,2340.0,2357.0,2357.0,2357.0,2357.0,2357.0,2357.0,2357.0,2411.0,2411.0,2411.0,2411.0,2411.0,2411.0,2411.0,2478.0,2496.0,2496.0,2496.0,2496.0,2496.0,2496.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2643.0,2643.0,2643.0,2643.0,2643.0,2683.0,2683.0,2745.0,2745.0,2745.0,2745.0,2745.0,2745.0,2781.0,2844.0,2844.0,2844.0,2844.0,2844.0,2844.0,2844.0,2916.0,2916.0,2916.0
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,29.0,29.0,30.0,30.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,38.0,38.0,38.0,40.0,40.0,40.0,40.0,40.0,42.0,42.0,48.0,48.0,60.0,60.0,60.0,60.0,60.0,60.0,79.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,125.0,125.0,125.0,175.0,227.0,227.0,227.0,275.0,275.0,275.0,275.0,314.0,314.0,314.0,314.0,314.0,399.0,399.0,399.0,399.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,686.0,686.0,686.0,686.0,739.0,739.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,909.0,909.0,909.0,909.0,1066.0,1066.0,1066.0,1214.0,1214.0,1214.0,1214.0,1308.0,1308.0,1308.0,1308.0,1308.0,1308.0,1308.0,1562.0,1562.0,1633.0,1633.0,1633.0,1633.0,1633.0,1724.0,1724.0,1724.0,1724.0,2002.0,2002.0,2002.0,2126.0,2126.0,2126.0,2252.0,2252.0,2252.0,2252.0,2463.0,2463.0,2463.0,2567.0,2567.0,2567.0,2567.0,2567.0,2567.0,2567.0,2921.0,2921.0,2921.0,2921.0,3172.0,3172.0,3172.0,3172.0,3172.0,3172.0,3172.0,3172.0,3172.0,3172.0,4520.0,4520.0,4520.0,4520.0,4833.0,5039.0,5039.0,5242.0,5242.0,5242.0,5242.0,5609.0,5609.0,5609.0,5923.0,5923.0,5923.0,5923.0,6283.0,6283.0,6283.0,6642.0,6642.0,6642.0,6642.0,6642.0,6642.0,6642.0,7835.0,7835.0,7835.0,7835.0,7835.0,7835.0,7835.0,8225.0,8225.0,8225.0,8225.0,9103.0,9103.0,9103.0,9594.0,9594.0
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","",2.0,2.0,"","",3.0,3.0,20.0,20.0,26.0,33.0,40.0,64.0,64.0,75.0,99.0,114.0,146.0,146.0,180.0,180.0,222.0,246.0,261.0,288.0,288.0,302.0,345.0,364.0,384.0,414.0,443.0,448.0,484.0,497.0,515.0,528.0,542.0,543.0,557.0,565.0,576.0,581.0,600.0,609.0,616.0,626.0,629.0,632.0,635.0,638.0,641.0,645.0,649.0,652.0,662.0,672.0,688.0,729.0,736.0,744.0,748.0,751.0,760.0,766.0,773.0,773.0,782.0,782.0,796.0,796.0,806.0,809.0,812.0,814.0,814.0,832.0,841.0,845.0,845.0,847.0,847.0,853.0,881.0,881.0,883.0,884.0,885.0,888.0,888.0,889.0,890.0,891.0,891.0,892.0,892.0,894.0,894.0,894.0,895.0,899.0,899.0,900.0,902.0,903.0,907.0,919.0,934.0,941.0,941.0,941.0,959.0,959.0,962.0,962.0,980.0,987.0,987.0,987.0,1000.0,1003.0,1005.0,1020.0,1020.0,1033.0,1036.0,1036.0,1038.0,1038.0,1038.0,1047.0,1052.0,1065.0,1065.0,1065.0,1066.0,1075.0,1081.0,1086.0,1100.0,1100.0,1106.0,1117.0,1117.0,1143.0,1149.0,1150.0,1153.0,1156.0,1158.0,1162.0,1175.0,1180.0,1204.0,1211.0,1213.0,1228.0,1238.0,1240.0,1249.0,1267.0,1280.0,1285.0,1292.0,1297.0,1313.0,1320.0,1328.0,1338.0,1352.0,1352.0,1357.0,1358.0,1362.0,1368.0,1370.0,1375.0,1378.0,1386.0,1408.0,1447.0,1452.0,1463.0,1466.0,1476.0,1486.0,1499.0,1514.0,1707.0,1717.0,1733.0,1748.0,1767.0,1797.0,1816.0,1846.0,1896.0,1907.0,1929.0,1950.0,1962.0,1973.0,2008.0,2028.0,2032.0,2056.0,2088.0,2123.0,2154.0,2167.0,2184.0,2197.0,2222.0,2241.0,2254.0,2271.0,2280.0,2294.0,2305.0,2305.0,2335.0,2343.0,2343.0,2381.0,2387.0,2406.0,2406.0,2421.0,2433.0,2444.0,2451.0,2459.0,2466.0,2466.0,2477.0,2477.0,2500.0,2500.0,2517.0,2530.0,2539.0,2550.0,2562.0,2565.0,2569.0,2581.0,2582.0,2586.0,2586.0,2609.0,2635.0,2641.0,2652.0,2652.0,2670.0,2686.0,2686.0
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,27.0,27.0,27.0,27.0,27.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,63.0,63.0,63.0,63.0,63.0,63.0,83.0,83.0,83.0,83.0,83.0,94.0,94.0,94.0,94.0,104.0,104.0,104.0,104.0,104.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,170.0,170.0,170.0,170.0,170.0,191.0,191.0,191.0,191.0,191.0,191.0,219.0,226.0,250.0,250.0,269.0,269.0,269.0,303.0,310.0,310.0,310.0,322.0,328.0,328.0,345.0,345.0,361.0,361.0,378.0,378.0,387.0,387.0,391.0,395.0,395.0,395.0,395.0,400.0,400.0,405.0,408.0,408.0,408.0,408.0,410.0,410.0,412.0,412.0,413.0,413.0,416.0,422.0,422.0,426.0,429.0,429.0,430.0,430.0,430.0,431.0,433.0,439.0,445.0,445.0,445.0,448.0,448.0,451.0,460.0,462.0,466.0,466.0,466.0,469.0,469.0,471.0,472.0,472.0,472.0,472.0,473.0,473.0,473.0,473.0,474.0,474.0,476.0,477.0,483.0,485.0,485.0,502.0,506.0,508.0,510.0,513.0,513.0,513.0,514.0,514.0,515.0,515.0,515.0,517.0,524.0,525.0,529.0,529.0,529.0,531.0,536.0,542.0,549.0,550.0,550.0,551.0,553.0,555.0,556.0,557.0,558.0,559.0,560.0,582.0,585.0,589.0,589.0,597.0,599.0,600.0,605.0,612.0,614.0,614.0,615.0,620.0,623.0,624.0,627.0,628.0,630.0,631.0,642.0,642.0,649.0
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","",1.0,"",2.0,"","","",0.0,0.0,3.0,4.0,4.0,10.0,10.0,14.0,27.0,27.0,27.0,56.0,72.0,72.0,88.0,88.0,99.0,99.0,142.0,193.0,233.0,271.0,509.0,555.0,650.0,658.0,685.0,730.0,730.0,803.0,820.0,820.0,820.0,855.0,855.0,855.0,1016.0,1016.0,1016.0,1017.0,1163.0,1163.0,1401.0,1403.0,1518.0,1621.0,1621.0,1806.0,1832.0,1832.0,2069.0,2077.0,2077.0,2104.0,2104.0,2265.0,2265.0,2265.0,2274.0,2579.0,2689.0,2689.0,2800.0,2954.0,3105.0,3292.0,3292.0,3292.0,3529.0,3733.0,4288.0,4400.0,4597.0,4890.0,5044.0,5356.0,5356.0,5356.0,5436.0,5904.0,5904.0,6397.0,6585.0,6752.0,6789.0,7599.0,7599.0,7908.0,8312.0,8681.0,8929.0,8929.0,9196.0,9572.0,9864.0,9864.0,9864.0,9864.0,10638.0,11281.0,11281.0,11610.0,11892.0,12041.0,12270.0,12592.0,12592.0,12592.0,12592.0,12592.0,12592.0,12592.0,12592.0,12592.0,12592.0,13711.0,14037.0,14916.0,14916.0,14916.0,14916.0,14916.0,15173.0,15173.0,15173.0,15173.0,16157.0,16157.0,16157.0,16157.0,16157.0,16157.0,16522.0,16708.0,16708.0,16708.0,16708.0,16708.0,16708.0,17255.0,17255.0,17255.0,17255.0,17255.0,17255.0,17718.0,17718.0,17718.0,17718.0,17718.0,18042.0,18042.0,18213.0,18263.0,18308.0,18469.0,18469.0,18469.0,18582.0,18599.0,18624.0,18762.0,18762.0,18762.0,18762.0,18762.0,18973.0,18973.0,19142.0,19142.0,19142.0,19142.0,19142.0,19409.0,19460.0,19604.0,19604.0,19604.0,19604.0,19604.0,19604.0,19848.0,20009.0,20009.0,20009.0,20167.0,20228.0,20271.0,20303.0,20371.0,20371.0,20431.0,20431.0,20598.0,20598.0,20690.0,20712.0,20712.0,20735.0,20735.0,20838.0,20838.0,20838.0,20838.0,20924.0,20924.0,20924.0,20924.0,20924.0,20924.0,21203.0,21203.0,21203.0,21203.0,21203.0,21333.0,21441.0,21441.0,21441.0,21441.0,21441.0,21506.0,21570.0,21570.0,21570.0,21570.0,21570.0,21570.0,21793.0,21793.0,21793.0,21793.0,21793.0,21793.0,21793.0,21793.0,22103.0,22103.0,22103.0,22103.0,22342.0,22421.0,22421.0,22421.0,22421.0,22421.0,22421.0,22421.0,22692.0,22692.0,22896.0,22896.0,22896.0,23528.0
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,11.0,55.0,55.0,56.0,58.0,61.0,67.0,67.0,73.0,82.0,88.0,90.0,106.0,109.0,113.0,113.0,121.0,123.0,152.0,165.0,175.0,186.0,191.0,218.0,230.0,236.0,246.0,260.0,270.0,289.0,315.0,326.0,328.0,328.0,328.0,335.0,349.0,356.0,362.0,371.0,380.0,390.0,390.0,390.0,390.0,405.0,421.0,435.0,458.0,466.0,477.0,502.0,536.0,542.0,554.0,567.0,585.0,615.0,657.0,697.0,726.0,750.0,760.0,781.0,792.0,823.0,848.0,863.0,890.0,944.0,982.0,999.0,1003.0,1027.0,1091.0,1155.0,1165.0,1227.0,1267.0,1301.0,1382.0,1420.0,1451.0,1463.0,1499.0,1542.0,1553.0,1553.0,1591.0,1698.0,1722.0,1780.0,1837.0,1894.0,1939.0,2014.0,2043.0,2071.0,2107.0,2154.0,2190.0,2220.0,2258.0,2307.0,2328.0,2354.0,2373.0,2373.0,2451.0,2480.0,2547.0,2583.0,2631.0,2689.0,2734.0,2780.0,2835.0,2858.0,2883.0,2920.0,3000.0,3073.0,3136.0,3163.0,3179.0,3203.0,3253.0,3321.0,3368.0,3412.0,3455.0,3509.0,3532.0,3568.0,3630.0,3699.0,3745.0,3778.0,3852.0,3884.0,3970.0,4048.0,4125.0,4200.0,4275.0,4330.0,4358.0,4400.0,4473.0,4557.0,4651.0,4711.0,4813.0,4839.0,4904.0,4978.0,5063.0,5141.0,5186.0,5257.0,5257.0,5281.0,5412.0,5479.0,5628.0,5701.0,5771.0,5817.0,5900.0,6024.0,6126.0,6205.0,6296.0,6360.0,6433.0,6518.0,6624.0,6717.0,6809.0,6913.0,7072.0,7155.0,7254.0,7371.0,7444.0,7526.0,7638.0,7752.0,7800.0,7901.0,8033.0,8122.0,8198.0,8322.0,8396.0,8423.0,8472.0,8548.0,8548.0,8694.0,8793.0,8848.0,8882.0,8944.0,9053.0,9149.0,9224.0,9291.0,9369.0,9419.0,9499.0,9560.0,9694.0,9741.0,9780.0,9822.0,9840.0,9960.0,10000.0,10000.0,10152.0
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","",1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,14.0,16.0,17.0,19.0,19.0,19.0,50.0,50.0,50.0,50.0,72.0,72.0,72.0,94.0,94.0,94.0,94.0,143.0,143.0,179.0,179.0,179.0,197.0,221.0,301.0,327.0,327.0,336.0,411.0,411.0,436.0,479.0,552.0,604.0,652.0,671.0,702.0,755.0,874.0,962.0,1011.0,1069.0,1173.0,1189.0,1288.0,1451.0,1570.0,1634.0,1850.0,1888.0,1952.0,2044.0,2057.0,2057.0,2222.0,2289.0,2410.0,2564.0,2605.0,2605.0,2808.0,2808.0,2963.0,3051.0,3099.0,3244.0,3340.0,3429.0,3429.0,3613.0,3745.0,3745.0,3823.0,3918.0,3969.0,3969.0,4033.0,4071.0,4109.0,4200.0,4259.0,4288.0,4288.0,4321.0,4356.0,4362.0,4373.0,4389.0,4485.0,4485.0,4548.0,4561.0,4574.0,4590.0,4593.0,4598.0,4599.0,4599.0,4599.0,4605.0,4605.0,4608.0,4614.0,4614.0,4614.0,4618.0,4618.0,4620.0,4641.0,4641.0,4641.0,4641.0,4647.0,4652.0,4652.0,4652.0,4652.0,4652.0,4667.0,4679.0,4679.0,4679.0,4679.0,4679.0,4679.0,4679.0,4691.0,4698.0,4698.0,4700.0,4700.0,4700.0,4711.0,4711.0,4712.0,4729.0,4729.0,4729.0,4729.0,4729.0,4736.0,4736.0,4747.0,4749.0,4749.0,4749.0,4772.0,4772.0,4782.0,4782.0,4786.0,4786.0,4793.0,4793.0,4802.0,4802.0,4804.0,4806.0,4806.0,4806.0,4806.0,4825.0,4829.0,4829.0,4829.0,4845.0,4845.0,4845.0,4852.0,4852.0,4852.0,4852.0,4854.0,4854.0,4854.0,4855.0,4855.0,4855.0,4855.0,4855.0,4855.0,4856.0,4858.0,4858.0,4862.0,4862.0,4862.0,4862.0,4863.0,4863.0,4863.0,4863.0,4866.0,4866.0,4866.0,4866.0,4866.0,4875.0,4875.0,4875.0,4879.0,4879.0,4880.0,4884.0,4884.0,4888.0,4888.0,4896.0,4900.0,4900.0,4900.0,4900.0,4907.0,4911.0
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","",1.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,15.0,23.0,23.0,27.0,27.0,33.0,33.0,33.0,33.0,34.0,34.0,40.0,40.0,40.0,46.0,46.0,52.0,52.0,73.0,73.0,117.0,117.0,117.0,170.0,170.0,253.0,260.0,322.0,322.0,322.0,357.0,372.0,399.0,428.0,474.0,503.0,519.0,545.0,565.0,588.0,611.0,648.0,675.0,687.0,700.0,715.0,726.0,759.0,759.0,778.0,790.0,803.0,820.0,828.0,836.0,836.0,837.0,839.0,844.0,846.0,848.0,848.0,848.0,850.0,850.0,853.0,854.0,854.0,858.0,858.0,858.0,858.0,860.0,860.0,863.0,865.0,865.0,866.0,866.0,866.0,866.0,868.0,871.0,871.0,872.0,872.0,873.0,873.0,873.0,874.0,874.0,880.0,880.0,884.0,885.0,886.0,887.0,889.0,889.0,889.0,889.0,889.0,915.0,915.0,915.0,915.0,922.0,926.0,926.0,935.0,936.0,936.0,936.0,936.0,938.0,939.0,942.0,942.0,942.0,944.0,945.0,946.0,949.0,949.0,951.0,952.0,956.0,959.0,970.0,971.0,972.0,981.0,982.0,986.0,987.0,995.0,998.0,1004.0,1008.0,1008.0,1012.0,1013.0,1017.0,1017.0,1018.0,1023.0,1034.0,1039.0,1040.0,1045.0,1048.0,1051.0,1081.0,1083.0,1084.0,1085.0,1087.0,1090.0,1115.0,1147.0,1149.0,1151.0,1153.0,1155.0,1164.0,1171.0,1175.0,1177.0,1178.0,1185.0,1193.0,1200.0,1203.0,1211.0,1214.0,1217.0,1223.0,1238.0,1251.0,1262.0,1274.0,1291.0,1304.0,1308.0,1321.0,1329.0,1350.0,1361.0,1365.0,1379.0,1390.0,1399.0,1404.0,1410.0,1423.0,1434.0,1437.0,1441.0,1460.0,1468.0,1473.0,1483.0,1483.0,1498.0,1499.0,1513.0,1517.0,1529.0,1538.0,1543.0,1547.0,1551.0,1561.0,1565.0,1565.0,1589.0,1591.0,1597.0,1603.0,1608.0,1616.0,1620.0,1626.0
